id,country,day,month,name_of_holiday,year_of_event,independence_from,event_commemorated_and_notes,date_mdy
116,Ireland,24.0,Apr,Independence Day,1916.0,United Kingdom of Great Britain and Ireland,Proclamation of the Irish Republic commencing the Easter Rising. Usually celebrated on Easter Monday.,4/24/1916
117,Hungary,19.0,Jun,Day of Hungarian Freedom (A magyar szabadság napja),1991.0,N/A,Restoration of Hungary's sovereignty after the withdrawal of Soviet troops in June 1991.[57][58],6/29/1991
118,Poland,11.0,Nov,Independence Day (Swieto Niepodleglosci),1918.0,Russian Soviet Federative Socialist Republic and German Empire,"Restoration of Poland's independence in 1918 after 123 years of partitions by Russia, Prussia, and Austria.",11/11/1918
119,Morocco,18.0,Nov,Independence Day,1955.0,France and Spain,Return of Mohammed V of Morocco from exile,11/18/1955
120,Romania,9.0,May,State Independence Day of Romania(Ziua Independenței de Stat a României),1877.0,Ottoman Empire,"Romania's declaration of its independence and subsequent victory in the Romanian War of Independence, part of the Russo-Turkish War of 1877–1878, against the Ottoman Empire.[77]",5/9/1877
121,Mexico,16.0,Sep,Grito de DoloresDia de la Independéncia,1810.0,Spanish Empire,Start of the Mexican War of Independence,9/16/1810
122,France,14.0,Jul,National Day or Bastille Day,1789.0,N/A,Storming of the Bastille,7/14/1789
123,Tonga,4.0,Jun,Independence Day,1970.0,United Kingdom,Termination of protectorate status in 1970,6/4/1970
124,Angola,11.0,Nov,Independence Day,1975.0,Portugal,"The Alvor Agreement, signed on 15 January 1975, granted Angola independence from Portugal on 11 November, ending the Angolan War of Independence.[7]",11/11/1975
125,Serbia,15.0,Feb,Statehood Day,1804.0,Ottoman Empire,"The beginning of First Serbian Uprising in 1804, it evolved into a Serbian Revolution, war for independence from Ottoman Empire; and the adoption of the first Constitution in 1835.",2/15/1804
126,Antigua and Barbuda,1.0,Nov,Independence Day,1981.0,United Kingdom,The effective date of the Antigua Termination of Association Order passed by the Parliament of the United Kingdom in July[8][9],11/1/1981
127,Qatar,18.0,Dec,Independence from Britain,1971.0,United Kingdom,The former is celebrated more often,12/18/1971
128,Belarus,3.0,Jul,Independence Day,1944.0,Germany,The liberation of Minsk after several years of German occupation in 1944. Two other independence days – March 25 (proclamation of the Belarusian People's Republic in 1918) and July 27 (independence from the Soviet Union in 1990) – are commemorated unofficially.[15],7/3/1944
