id,title,playstation,xbox,nintendo,pc,other,score,genre,editors_choice,release_year,release_month
5622,Castlevania Judgment,FALSE,FALSE,TRUE,FALSE,FALSE,7.5,Fighting,N,2008.0,11.0
5623,Castlevania: Order of Ecclesia,FALSE,FALSE,TRUE,FALSE,FALSE,9.0,Platformer,Y,2008.0,10.0
5624,Celebrity Sports Showdown,FALSE,FALSE,TRUE,FALSE,FALSE,4.0,Sports,N,2008.0,11.0
5625,CellZenith,FALSE,FALSE,FALSE,TRUE,FALSE,5.7,Action,N,2008.0,10.0
5626,Centipede,FALSE,FALSE,FALSE,FALSE,TRUE,8.0,Shooter,N,2008.0,12.0
5627,Cesar Millan's The Dog Whisperer (DS),FALSE,FALSE,TRUE,FALSE,FALSE,4.4,Simulation,N,2008.0,11.0
5628,Chameleon,TRUE,FALSE,FALSE,FALSE,FALSE,3.0,Puzzle,N,2008.0,5.0
5629,Championship Pony,FALSE,FALSE,TRUE,FALSE,FALSE,5.0,Sports,N,2008.0,4.0
5630,Chaos Theory,FALSE,FALSE,FALSE,TRUE,FALSE,6.5,Puzzle,N,2008.0,6.0
5631,Chaos Wars,TRUE,FALSE,FALSE,FALSE,FALSE,7.5,Strategy,N,2008.0,6.0
5632,ChartFight,FALSE,FALSE,FALSE,FALSE,TRUE,6.0,Strategy,N,2008.0,9.0
5633,Chase H.Q.,FALSE,FALSE,TRUE,FALSE,FALSE,4.5,Racing,N,2008.0,8.0
5634,Chessmaster Live,FALSE,TRUE,FALSE,FALSE,FALSE,6.4,Strategy,N,2008.0,1.0
5635,Chessmaster: The Art of Learning,TRUE,FALSE,FALSE,FALSE,FALSE,6.6,Strategy,N,2008.0,2.0
5636,Chicken Hunter,FALSE,FALSE,TRUE,FALSE,FALSE,3.5,Shooter,N,2008.0,3.0
5637,Chimps Ahoy!,FALSE,FALSE,FALSE,FALSE,TRUE,7.9,Action,N,2008.0,8.0
5638,Cho Aniki,FALSE,FALSE,TRUE,FALSE,FALSE,7.5,Shooter,N,2008.0,9.0
5639,Chopper,FALSE,FALSE,FALSE,FALSE,TRUE,6.0,Action,N,2008.0,9.0
5640,Chronicles of Mystery: Scorpio Ritual,FALSE,FALSE,FALSE,TRUE,FALSE,7.5,Adventure,N,2008.0,12.0
5641,Chrono Trigger,FALSE,FALSE,TRUE,FALSE,FALSE,8.8,RPG,Y,2008.0,11.0
5642,Chrysler Classic Racing,FALSE,FALSE,TRUE,FALSE,FALSE,4.0,Racing,N,2008.0,12.0
5643,City Connection,FALSE,FALSE,TRUE,FALSE,FALSE,5.0,Action,N,2008.0,5.0
5644,City Life Edition 2008,FALSE,FALSE,FALSE,TRUE,FALSE,6.9,Strategy,N,2008.0,10.0
5645,Classic British Motor Racing,FALSE,FALSE,TRUE,FALSE,FALSE,2.1,Racing,N,2008.0,3.0
5646,Clockwork Knight,FALSE,FALSE,FALSE,FALSE,TRUE,6.0,Action,N,2008.0,2.0
5647,Clu Clu Land,FALSE,FALSE,TRUE,FALSE,FALSE,5.0,Action,N,2008.0,9.0
5648,Clusterball Arcade,FALSE,FALSE,FALSE,FALSE,TRUE,6.9,Action,N,2008.0,10.0
5649,Cocoto Fishing Master (Wii),FALSE,FALSE,TRUE,FALSE,FALSE,4.0,Sports,N,2008.0,7.0
5650,Cocoto Fishing Master (PS2),TRUE,FALSE,FALSE,FALSE,FALSE,6.0,Sports,N,2008.0,8.0
5651,Cocoto Kart Racer,FALSE,FALSE,TRUE,FALSE,FALSE,6.4,Racing,N,2008.0,7.0
5652,Cocoto Magic Circus,FALSE,FALSE,TRUE,FALSE,FALSE,5.8,Shooter,N,2008.0,3.0
5653,Code Lyoko: Fall of X.A.N.A,FALSE,FALSE,TRUE,FALSE,FALSE,5.5,RPG,N,2008.0,7.0
5654,Code Lyoko: Quest for Infinity,TRUE,FALSE,FALSE,FALSE,FALSE,4.8,Adventure,N,2008.0,7.0
5655,Code of Honor 2: Conspiracy Island,FALSE,FALSE,FALSE,TRUE,FALSE,3.0,Shooter,N,2008.0,8.0
5656,Coffeetime Crosswords,FALSE,TRUE,FALSE,FALSE,FALSE,3.5,Puzzle,N,2008.0,7.0
5657,Columns III: Revenge of Columns,FALSE,FALSE,TRUE,FALSE,TRUE,5.5,Puzzle,N,2008.0,2.0
5658,Combat Mission: Shock Force -- Marines,FALSE,FALSE,FALSE,TRUE,FALSE,6.7,Strategy,N,2008.0,11.0
5659,Command & Conquer 3 Tiberium Wars,FALSE,FALSE,FALSE,FALSE,TRUE,7.0,Strategy,N,2008.0,7.0
5660,Command & Conquer 3: Kane's Wrath (PC),FALSE,FALSE,FALSE,TRUE,FALSE,7.9,Strategy,N,2008.0,3.0
5661,Command & Conquer 3: Kane's Wrath (Xbox 360),FALSE,TRUE,FALSE,FALSE,FALSE,7.7,Strategy,N,2008.0,6.0
5662,Command & Conquer: Red Alert 3 (PC),FALSE,FALSE,FALSE,TRUE,FALSE,8.2,Strategy,N,2008.0,10.0
5663,Command & Conquer: Red Alert 3 (Xbox 360),FALSE,TRUE,FALSE,FALSE,FALSE,7.4,Strategy,N,2008.0,11.0
5664,Command & Conquer: Red Alert 3 (Premier Edition),FALSE,FALSE,FALSE,TRUE,FALSE,8.2,Strategy,N,2008.0,11.0
5665,Command & Destroy,FALSE,FALSE,TRUE,FALSE,FALSE,4.0,Strategy,N,2008.0,3.0
5666,Commander -- Napoleon at War,FALSE,FALSE,FALSE,TRUE,FALSE,7.0,Strategy,N,2008.0,11.0
5667,Commanders: Attack of the Genos,FALSE,TRUE,FALSE,FALSE,FALSE,7.6,Strategy,N,2008.0,2.0
5668,Commando: Steel Disaster,FALSE,FALSE,TRUE,FALSE,FALSE,6.0,Action,N,2008.0,9.0
5669,Condemned 2: Bloodshot,TRUE,TRUE,FALSE,FALSE,FALSE,8.0,Action,N,2008.0,3.0
5670,Conflict: Denied Ops,TRUE,TRUE,FALSE,TRUE,FALSE,4.0,Shooter,N,2008.0,2.0
5671,Cooking Mama: World Kitchen,FALSE,FALSE,TRUE,FALSE,FALSE,7.0,Simulation,N,2008.0,11.0
5672,Corvette Evolution GT,FALSE,FALSE,TRUE,FALSE,FALSE,4.8,Racing,N,2008.0,5.0
5673,Cory in the House,FALSE,FALSE,TRUE,FALSE,FALSE,3.0,Action,N,2008.0,4.0
5674,Cosmic Carnage,FALSE,FALSE,FALSE,FALSE,TRUE,3.0,Fighting,N,2008.0,11.0
5675,Counter Force,FALSE,FALSE,TRUE,FALSE,FALSE,4.0,Action,N,2008.0,1.0
5676,Cradle of Rome,FALSE,FALSE,TRUE,FALSE,FALSE,5.9,Strategy,N,2008.0,12.0
5677,Crash Bandicoot Nitro Kart 3D,FALSE,FALSE,FALSE,FALSE,TRUE,7.8,Racing,N,2008.0,7.0
5678,Crash Commando,TRUE,FALSE,FALSE,FALSE,FALSE,8.5,Shooter,Y,2008.0,12.0
5679,Crash Time: Autobahn Pursuit,FALSE,TRUE,FALSE,FALSE,FALSE,3.5,Racing,N,2008.0,9.0
5680,Crash: Mind Over Mutant,TRUE,TRUE,TRUE,FALSE,FALSE,6.9,Platformer,N,2008.0,10.0
5681,Crash: Mind Over Mutant (DS),FALSE,FALSE,TRUE,FALSE,FALSE,3.2,Platformer,N,2008.0,10.0
5682,Crazy Frog Arcade Racer,TRUE,FALSE,FALSE,FALSE,FALSE,2.5,Racing,N,2008.0,2.0
5683,Crazy Machines 2,FALSE,FALSE,FALSE,TRUE,FALSE,6.8,Puzzle,N,2008.0,6.0
5684,Crazy Mouse,FALSE,TRUE,FALSE,FALSE,FALSE,2.5,Action,N,2008.0,10.0
5685,Crazy Penguin Catapult,FALSE,FALSE,FALSE,FALSE,TRUE,8.0,Puzzle,N,2008.0,12.0
5686,Crisis Core: Final Fantasy VII,TRUE,FALSE,FALSE,FALSE,FALSE,8.5,RPG,Y,2008.0,3.0
5687,Critter Crunch (iPhone),FALSE,FALSE,FALSE,FALSE,TRUE,8.5,Puzzle,Y,2008.0,7.0
5688,Critter Round-Up,FALSE,FALSE,TRUE,FALSE,FALSE,6.1,Action,N,2008.0,5.0
5689,Cro-Mag Rally,FALSE,FALSE,FALSE,FALSE,TRUE,7.0,Racing,N,2008.0,8.0
5690,Crosswords DS,FALSE,FALSE,TRUE,FALSE,FALSE,8.0,Puzzle,N,2008.0,5.0
5691,Cruis'n USA,FALSE,FALSE,TRUE,FALSE,FALSE,4.0,Racing,N,2008.0,4.0
5692,Crysis Warhead,FALSE,FALSE,FALSE,TRUE,FALSE,9.4,Shooter,Y,2008.0,9.0
5693,Crystal Defenders W1,FALSE,FALSE,FALSE,FALSE,TRUE,7.0,Strategy,N,2008.0,12.0
5694,CSI: Crime Scene Investigation: Dark Motives,FALSE,FALSE,TRUE,FALSE,FALSE,4.8,Adventure,N,2008.0,1.0
5695,CSI: Crime Scene Investigation: Hard Evidence,FALSE,FALSE,TRUE,FALSE,FALSE,5.8,Adventure,N,2008.0,8.0
5696,CSI: Miami,FALSE,FALSE,FALSE,FALSE,TRUE,7.0,Adventure,N,2008.0,11.0
5697,CSI: NY -- The Game,FALSE,FALSE,FALSE,TRUE,FALSE,5.8,Adventure,N,2008.0,12.0
5698,Culdcept Saga,FALSE,TRUE,FALSE,FALSE,FALSE,6.5,Strategy,N,2008.0,2.0
