id,game,release-date,release-era,genre,total-earnings,online-earnings,total-winners,total-tournaments
357,Forza Motorsport 7,2017.0,post-2010,Racing,820200.0,204000.0,124.0,12.0
358,Gran Turismo 3: A-Spec,2001.0,bw-2000-2010,Racing,3250.0,0.0,4.0,2.0
359,Gran Turismo 4,2004.0,bw-2000-2010,Racing,44000.0,0.0,5.0,2.0
360,Gran Turismo Sport,2017.0,post-2010,Racing,27511.0,0.0,75.0,7.0
361,GRID (2019),2019.0,post-2010,Racing,218.75,0.0,3.0,1.0
362,iRacing.com,2008.0,bw-2000-2010,Racing,1450129.0,1321135.0,823.0,105.0
363,KartRider,2004.0,bw-2000-2010,Racing,567366.4,0.0,76.0,20.0
364,Live for Speed,2003.0,bw-2000-2010,Racing,11599.14,2380.0,22.0,9.0
365,Mad Skills Motocross 2,2017.0,post-2010,Racing,20163.0,0.0,12.0,1.0
366,Mario Kart 8 Deluxe,2017.0,post-2010,Racing,1754.44,0.0,30.0,4.0
367,NASCAR Heat 4,2019.0,post-2010,Racing,200500.0,200500.0,34.0,5.0
368,NASCAR Thunder 2002,2001.0,bw-2000-2010,Racing,7679.25,0.0,0.0,1.0
369,NASCAR Thunder 2003,2002.0,bw-2000-2010,Racing,5933.5,0.0,0.0,1.0
370,Need for Speed Carbon,2006.0,bw-2000-2010,Racing,36322.58,0.0,12.0,4.0
371,Need for Speed: Most Wanted,2005.0,bw-2000-2010,Racing,35694.54,0.0,18.0,7.0
372,Need for Speed: ProStreet,2007.0,bw-2000-2010,Racing,32208.46,0.0,12.0,3.0
373,Need for Speed: Shift,2009.0,bw-2000-2010,Racing,10500.0,0.0,3.0,1.0
374,Need for Speed: Underground,2003.0,bw-2000-2010,Racing,35000.0,0.0,3.0,1.0
375,Need for Speed: Underground 2,2004.0,bw-2000-2010,Racing,35629.48,0.0,8.0,3.0
376,Project Cars,2015.0,post-2010,Racing,67908.21,57305.5,50.0,113.0
377,Project Cars 2,2017.0,post-2010,Racing,66150.0,8000.0,37.0,22.0
378,Project Gotham Racing 2,2003.0,bw-2000-2010,Racing,35000.0,0.0,4.0,2.0
379,Project Gotham Racing 3,2005.0,bw-2000-2010,Racing,297286.9,0.0,33.0,10.0
380,Project Gotham Racing 4,2007.0,bw-2000-2010,Racing,25208.46,0.0,5.0,4.0
381,RaceRoom Racing Experience,2013.0,post-2010,Racing,144863.7,70755.0,143.0,20.0
382,rFactor,2005.0,bw-2000-2010,Racing,15083.56,15083.56,51.0,4.0
383,rFactor 2,2013.0,post-2010,Racing,1224920.0,160308.3,196.0,43.0
384,Speedrunners,2016.0,post-2010,Racing,50.0,50.0,3.0,1.0
385,Trackmania (2020),2020.0,post-2010,Racing,57379.27,57379.27,85.0,46.0
386,TrackMania 2: Canyon,2011.0,post-2010,Racing,22098.74,5539.7,21.0,36.0
387,TrackMania 2: Stadium,2013.0,post-2010,Racing,198363.9,90723.54,345.0,281.0
388,Trackmania 2: Valley,2013.0,post-2010,Racing,779.34,0.0,6.0,2.0
389,TrackMania Nations,2006.0,bw-2000-2010,Racing,93381.66,40000.0,18.0,8.0
390,TrackMania Nations Forever,2008.0,bw-2000-2010,Racing,167386.7,20831.9,109.0,73.0
391,Trackmania Turbo,2016.0,post-2010,Racing,679.41,679.41,6.0,2.0
392,Trackmania United,2006.0,bw-2000-2010,Racing,1027.5,0.0,3.0,1.0
393,Trackmania United Forever,2008.0,bw-2000-2010,Racing,0.0,0.0,0.0,0.0
394,Trials Fusion,2014.0,post-2010,Racing,0.0,0.0,0.0,0.0
395,Turbo Racing League,2013.0,post-2010,Racing,1000000.0,500000.0,16.0,9.0
396,Carom 3D,1999.0,pre-2000,Sports,60500.0,0.0,11.0,4.0
397,Dream league Soccer,2019.0,post-2010,Sports,0.0,0.0,0.0,0.0
398,FIFA 03,2002.0,bw-2000-2010,Sports,54066.44,0.0,10.0,3.0
399,FIFA 04,2003.0,bw-2000-2010,Sports,40000.0,0.0,3.0,3.0
400,FIFA 05,2004.0,bw-2000-2010,Sports,57728.01,0.0,5.0,8.0
401,FIFA 06,2005.0,bw-2000-2010,Sports,112464.5,0.0,23.0,12.0
402,FIFA 07,2006.0,bw-2000-2010,Sports,237812.2,0.0,42.0,13.0
403,FIFA 08,2007.0,bw-2000-2010,Sports,207129.9,0.0,68.0,17.0
404,FIFA 09,2008.0,bw-2000-2010,Sports,121618.3,6296.92,52.0,19.0
405,FIFA 10,2009.0,bw-2000-2010,Sports,117026.7,26879.5,64.0,48.0
406,FIFA 11,2010.0,bw-2000-2010,Sports,93983.77,8829.75,72.0,78.0
407,FIFA 12,2011.0,post-2010,Sports,54431.52,7152.1,53.0,66.0
408,FIFA 13,2012.0,post-2010,Sports,458427.8,10232.23,53.0,62.0
409,FIFA 14,2013.0,post-2010,Sports,96347.81,8970.33,57.0,69.0
410,FIFA 15,2014.0,post-2010,Sports,144374.0,27934.84,169.0,352.0
411,FIFA 16,2015.0,post-2010,Sports,117828.1,944.17,61.0,28.0
412,FIFA 17,2016.0,post-2010,Sports,1482613.0,0.0,156.0,48.0
413,FIFA 18,2017.0,post-2010,Sports,2233698.0,12430.61,238.0,48.0
414,FIFA 19,2018.0,post-2010,Sports,3242642.0,9614.51,303.0,48.0
415,FIFA 20,2019.0,post-2010,Sports,1813714.0,751322.7,275.0,54.0
416,FIFA 2000,1999.0,pre-2000,Sports,50000.0,0.0,4.0,1.0
417,FIFA 2001,2000.0,bw-2000-2010,Sports,46000.0,0.0,9.0,2.0
418,FIFA 2002 World Cup,2002.0,bw-2000-2010,Sports,43000.0,0.0,8.0,1.0
419,FIFA 21,2020.0,post-2010,Sports,0.0,0.0,0.0,0.0
420,FIFA Online 3,2012.0,post-2010,Sports,1434342.0,0.0,89.0,9.0
421,FIFA Online 4,2018.0,post-2010,Sports,729240.0,50000.0,102.0,5.0
422,Guitar Hero 5,2009.0,bw-2000-2010,Sports,10500.0,0.0,3.0,1.0
423,Guitar Hero III: Legends of Rock,2007.0,bw-2000-2010,Sports,19000.0,0.0,8.0,2.0
424,Guitar Hero: World Tour,2008.0,bw-2000-2010,Sports,0.0,0.0,0.0,0.0
425,Just Dance 2014,2014.0,post-2010,Sports,0.0,0.0,3.0,1.0
426,Madden NFL 19,2018.0,post-2010,Sports,125000.0,0.0,5.0,3.0
427,Madden NFL 2004,2003.0,bw-2000-2010,Sports,1500.0,0.0,3.0,1.0
428,Madden NFL 2006,2005.0,bw-2000-2010,Sports,100000.0,0.0,1.0,1.0
429,Madden NFL 2007,2006.0,bw-2000-2010,Sports,100000.0,0.0,1.0,1.0
430,Madden NFL 2008,2007.0,bw-2000-2010,Sports,100000.0,0.0,1.0,1.0
431,Madden NFL 2009,2008.0,bw-2000-2010,Sports,100000.0,0.0,1.0,1.0
432,Madden NFL 2013,2012.0,post-2010,Sports,400000.0,0.0,8.0,1.0
433,Madden NFL 2016,2015.0,post-2010,Sports,50000.0,0.0,8.0,1.0
434,Madden NFL 2017,2016.0,post-2010,Sports,1004000.0,0.0,42.0,5.0
435,Madden NFL 2018,2017.0,post-2010,Sports,279676.6,259000.0,40.0,3.0
436,Mario Tennis Aces,2018.0,post-2010,Sports,61.3,61.3,6.0,2.0
437,NBA 2K Online,2012.0,post-2010,Sports,0.0,0.0,0.0,0.0
438,NBA 2K18,2017.0,post-2010,Sports,1000000.0,0.0,91.0,4.0
439,NBA 2K19,2018.0,post-2010,Sports,0.0,0.0,0.0,0.0
440,NHL '94,1993.0,pre-2000,Sports,3818.56,0.0,25.0,8.0
441,NHL 12,2011.0,post-2010,Sports,702.93,0.0,6.0,2.0
442,NHL 13,2012.0,post-2010,Sports,70000.0,0.0,1.0,1.0
443,NHL 14,2013.0,post-2010,Sports,3023.96,0.0,6.0,3.0
444,NHL 15,2014.0,post-2010,Sports,3157.16,0.0,3.0,3.0
445,NHL 17,2016.0,post-2010,Sports,0.0,0.0,0.0,0.0
446,NHL 18,2017.0,post-2010,Sports,102700.0,12700.0,20.0,6.0
447,NHL 19,2018.0,post-2010,Sports,22566.67,3000.0,10.0,8.0
448,Pro Evolution Soccer 2008,2007.0,bw-2000-2010,Sports,2084.15,0.0,6.0,3.0
449,Pro Evolution Soccer 2009,2008.0,bw-2000-2010,Sports,1395.97,1395.97,5.0,2.0
450,Pro Evolution Soccer 2013,2012.0,post-2010,Sports,0.0,0.0,0.0,0.0
451,Pro Evolution Soccer 2014,2013.0,post-2010,Sports,29410.25,0.0,4.0,1.0
452,Pro Evolution Soccer 2015,2014.0,post-2010,Sports,26544.76,0.0,3.0,1.0
453,Pro Evolution Soccer 2016,2015.0,post-2010,Sports,27243.84,0.0,17.0,6.0
454,Pro Evolution Soccer 2017,2016.0,post-2010,Sports,514697.7,0.0,39.0,16.0
455,Pro Evolution Soccer 2018,2017.0,post-2010,Sports,250000.0,0.0,20.0,3.0
456,Pro Evolution Soccer 2019,2019.0,post-2010,Sports,216000.0,0.0,25.0,2.0
457,Pro Evolution Soccer 3,2003.0,bw-2000-2010,Sports,25000.0,0.0,8.0,2.0
458,Pro Evolution Soccer 4,2004.0,bw-2000-2010,Sports,40550.64,0.0,11.0,2.0
459,Pro Evolution Soccer 5,2005.0,bw-2000-2010,Sports,32000.0,0.0,4.0,1.0
460,Pro Evolution Soccer 6,2006.0,bw-2000-2010,Sports,20216.82,0.0,5.0,2.0
461,Rocket League,2015.0,post-2010,Sports,9172179.0,5088314.0,1096.0,1090.0
462,Soccer Stars,2018.0,post-2010,Sports,0.0,0.0,0.0,0.0
463,Artifact,2018.0,post-2010,Collectible Card Game,119168.5,107532.7,275.0,166.0
464,Artifact 2.0,2020.0,post-2010,Collectible Card Game,221.2,221.2,5.0,5.0
465,Faeria,2017.0,post-2010,Collectible Card Game,4100.0,4100.0,12.0,5.0
466,Gwent,2016.0,post-2010,Collectible Card Game,841757.2,86366.0,320.0,110.0
467,Hand of the Gods,2017.0,post-2010,Collectible Card Game,94434.2,21934.2,48.0,36.0
468,Hearthstone,2014.0,post-2010,Collectible Card Game,23651978.0,5169799.0,2431.0,901.0
469,Legends of Runeterra,2020.0,post-2010,Collectible Card Game,118481.0,118481.0,30.0,5.0
470,Magic: The Gathering Arena,2018.0,post-2010,Collectible Card Game,6012000.0,658000.0,241.0,38.0
471,Magic: The Gathering Online,2002.0,bw-2000-2010,Collectible Card Game,1218000.0,0.0,130.0,10.0
472,Pokemon TCG,1996.0,pre-2000,Collectible Card Game,0.0,0.0,0.0,0.0
473,Shadowverse,2016.0,post-2010,Collectible Card Game,3211177.0,130800.0,239.0,42.0
474,Shardbound,2017.0,post-2010,Collectible Card Game,0.0,0.0,0.0,0.0
475,The Elder Scrolls: Legends,2017.0,post-2010,Collectible Card Game,5000.0,0.0,3.0,1.0
476,Yu-Gi-Oh! Duel Links,2016.0,post-2010,Collectible Card Game,48746.72,48746.72,328.0,219.0
477,Catherine,2011.0,post-2010,Puzzle Game,1545.0,75.0,11.0,7.0
478,Catherine: Full Body,2019.0,post-2010,Puzzle Game,185.0,0.0,3.0,1.0
479,Cultris II,2011.0,post-2010,Puzzle Game,190.95,190.95,3.0,1.0
480,Jstris,2014.0,post-2010,Puzzle Game,225.0,225.0,8.0,1.0
481,Magical Drop III,1997.0,pre-2000,Puzzle Game,130.0,0.0,3.0,1.0
482,Pac-man,1981.0,pre-2000,Puzzle Game,0.0,0.0,0.0,0.0
483,Panel Attack,2020.0,post-2010,Puzzle Game,40.0,40.0,3.0,1.0
484,Puyo Puyo Champions,2019.0,post-2010,Puzzle Game,2482.3,410.5,14.0,5.0
485,Puyo Puyo Tetris,2014.0,post-2010,Puzzle Game,3422.84,1805.09,31.0,16.0
486,Tetr.io,2020.0,post-2010,Puzzle Game,2718.1,2718.1,13.0,10.0
487,Tetris,1989.0,pre-2000,Puzzle Game,16026.38,526.38,27.0,7.0
488,Tetris Ultimate,2014.0,post-2010,Puzzle Game,221.0,0.0,3.0,1.0
489,Twinkle Star Sprites,1996.0,pre-2000,Puzzle Game,100.0,100.0,3.0,1.0
490,Wise Star 2,2008.0,bw-2000-2010,Puzzle Game,12000.0,0.0,3.0,1.0
491,Apex Legends,2019.0,post-2010,Battle Royale,4528142.0,2513721.0,1166.0,249.0
492,Fall Guys,2020.0,post-2010,Battle Royale,284273.8,284273.8,240.0,5.0
493,Fortnite,2017.0,post-2010,Battle Royale,99349617.0,57224995.0,4453.0,672.0
494,Free Fire,2017.0,post-2010,Battle Royale,1306392.0,380150.0,323.0,15.0
495,H1Z1,2016.0,post-2010,Battle Royale,2067122.0,0.0,119.0,13.0
496,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,2017.0,post-2010,Battle Royale,3839853.0,1111350.0,1081.0,40.0
497,PLAYERUNKNOWN’S BATTLEGROUNDS,2017.0,post-2010,Battle Royale,24591304.0,4889778.0,2822.0,301.0
498,Radical Heights,2018.0,post-2010,Battle Royale,120000.0,120000.0,12.0,2.0
499,Ring of Elysium,2018.0,post-2010,Battle Royale,70000.0,70000.0,9.0,4.0
500,Rocket Arena,2020.0,post-2010,Battle Royale,100000.0,100000.0,24.0,3.0
501,Rules Of Survival,2017.0,post-2010,Battle Royale,0.0,0.0,0.0,0.0
502,Spellbreak,2020.0,post-2010,Battle Royale,50000.0,50000.0,42.0,1.0
503,Gears 5,2019.0,post-2010,Third-Person Shooter,1223000.0,543000.0,140.0,18.0
504,Gears of War,2006.0,bw-2000-2010,Third-Person Shooter,252195.6,0.0,33.0,18.0
505,Gears of War 2,2008.0,bw-2000-2010,Third-Person Shooter,135000.0,0.0,0.0,5.0
506,Gears of War 3,2011.0,post-2010,Third-Person Shooter,7255.81,2700.0,13.0,4.0
507,Gears of War 4,2016.0,post-2010,Third-Person Shooter,3087285.0,32285.0,135.0,41.0
508,Gears of War: Ultimate Edition,2015.0,post-2010,Third-Person Shooter,170000.0,0.0,39.0,3.0
509,The Division 2,2019.0,post-2010,Third-Person Shooter,27250.0,27250.0,40.0,2.0
