id,Title,Artist,Sex,Medium,Location,# of Locations,Sale Price in Dollars,Included because
675,"The Avenue, Holland",Katherine Sopie Dreier,Female,Oil,New York,1.0,300.0,Requested by Organizers
676,"Study in Repose, 1909",Jo Davidson,Male,Bronze,New York,1.0,5000.0,Requested by Organizers
677,The Sightless,Nathaniel Dolinsky,Male,Oil,New York,1.0,600.0,Requested by Organizers
678,"Quai de la Tour Melle, Paris",Ailee Dresser,Female,Oil,New York,1.0,100.0,Submitted by Artist
679,Madame Dubois,Ailee Dresser,Female,Oil,New York,1.0,100.0,Submitted by Artist
680,Notre Dame Spring,Ailee Dresser,Female,Oil,New York,1.0,300.0,Submitted by Artist
681,A Pine Tree,O.N Chaffee,Male,Oil,New York,1.0,800.0,Submitted by Artist
682,Electra Statuette,Mrs M.Mussleman Carr,Female,Bronze,New York,1.0,50.0,Requested by Organizers
683,Crime,Arthos Casarini,Male,Pastel,New York,1.0,90.0,Requested by Organizers
684,Indian Grinding Corn Statuette,Mrs M.Mussleman Carr,Female,Bronze,New York,1.0,40.0,Requested by Organizers
685,Jungle,Robert W. Chanler,Male,Screen,New York,1.0,3500.0,Requested by Organizers
686,L'Allegro,Charles H. Davis,Male,Oil,New York,1.0,1500.0,Requested by Organizers
687,Tristesse,Richard H. Duffy,Male,Plaster,New York,1.0,75.0,Requested by Organizers
688,Hopi Snake Dance,Robert W. Chanler,Male,Screen,New York,1.0,5000.0,Requested by Organizers
689,Leopard & Deer,Robert W. Chanler,Male,Screen,New York,1.0,1200.0,Requested by Organizers
690,Porcupine,Robert W. Chanler,Male,Screen,New York,1.0,2000.0,Requested by Organizers
691,Interior,Guy Pe'ne du Bois,Male,Oil,New York,1.0,300.0,Requested by Organizers
692,Twentieth-century Youth,Guy Pe'ne du Bois,Male,Oil,New York,1.0,200.0,Requested by Organizers
693,"Cascade, Bois de Boulogne",Guy Pe'ne du Bois,Male,Oil,New York,1.0,200.0,Requested by Organizers
694,Virginia,Guy Pe'ne du Bois,Male,Oil,New York,1.0,200.0,Requested by Organizers
695,The Politician,Guy Pe'ne du Bois,Male,Oil,New York,1.0,200.0,Requested by Organizers
696,"Evening North Sierra, 1910",Leon Dabo,Male,Oil,New York,1.0,1000.0,Requested by Organizers
697,Sweat Shop Girls in the Country,Edith Dimock,Female,Watercolor,New York,1.0,35.0,Requested by Organizers
698,A Garden,G. Ruger Donoho,Male,Oil,New York,1.0,2000.0,Requested by Organizers
699,Le Laboureur,Auguste Elise'e Chabaud,Male,Oil,New York,1.0,270.0,Requested by Organizers
700,Roses,Emilie Charmy,Female,Oil,New York,1.0,108.0,Requested by Organizers
701,"Paysage now, L'Kstaqye,1910",Emilie Charmy,Female,Oil,New York,1.0,135.0,Requested by Organizers
702,Soir,Emilie Charmy,Female,Oil,New York,1.0,135.0,Requested by Organizers
703,Ajaccio,Emilie Charmy,Female,Oil,New York,1.0,135.0,Requested by Organizers
704,#Colline des pauvres,Paul Ce'zanne,Male,Oil,New York,1.0,6700.0,Requested by Organizers
705,Melun now Jas de Bouffan,Paul Ce'zanne,Male,Oil,New York,1.0,8000.0,Requested by Organizers
706,Liseuse now The Reader,Charles Camoin,Male,Oil,New York,1.0,162.0,Requested by Organizers
707,Collioure,Charles Camoin,Male,Oil,New York,1.0,216.0,Requested by Organizers
708,The King &Queen surrounded by Swift Nudes,Marcel Duchamp,Male,Oil,New York,1.0,324.0,Requested by Organizers
709,Nude Descending a Staircase,Marcel Duchamp,Male,Oil,New York,1.0,324.0,Requested by Organizers
710,"Nu; now, Jeune Hommetiste das untrain",Marcel Duchamp,Male,Oil,New York,1.0,162.0,Requested by Organizers
711,"Route de Laon,1912",Robert Delaunay,Male,Oil,New York,1.0,270.0,Requested by Organizers
712,"La Ville de Paris, 1910-1912",Robert Delaunay,Male,Oil,New York,1.0,5400.0,Requested by Organizers
713,Vals et vallons,Georges Leon Dufrenoy,Male,Oil,New York,1.0,540.0,Requested by Organizers
714,Sienne,Georges Leon Dufrenoy,Male,Oil,New York,1.0,540.0,Requested by Organizers
715,Matermite,Maurice Denis,Male,Oil,New York,1.0,1080.0,Requested by Organizers
716,A la fene'tre,Maurice Denis,Male,Oil,New York,1.0,1620.0,Requested by Organizers
717,La Plage,Maurice Denis,Male,Oil,New York,1.0,8100.0,Requested by Organizers
718,La Fore't,Maurice Denis,Male,Oil,New York,1.0,864.0,Requested by Organizers
719,Matermite,Maurice Denis,Male,Oil,New York,1.0,1080.0,Requested by Organizers
720,Nausicaa,Maurice Denis,Male,Oil,New York,1.0,5400.0,Requested by Organizers
721,Leopold Str.,Raoul Dufy,Male,Oil,New York,1.0,540.0,Requested by Organizers
722,The English Channel,Raoul Dufy,Male,Oil,New York,1.0,540.0,Requested by Organizers
723,"La Fore't a"" Martigues",Andre'Derain,Male,Oil,New York,1.0,378.0,Requested by Organizers
724,Blue Bowl,Katherine Sopie Dreier,Female,Oil,New York,1.0,300.0,Requested by Organizers
725,Torre del greco,Henri-Lucien Doucet,Male,Watercolor,New York,1.0,26.0,Requested by Organizers
726,Vesuvius,Henri-Lucien Doucet,Male,Watercolor,New York,1.0,26.0,Requested by Organizers
727,Orsay,Henri-Lucien Doucet,Male,Watercolor,New York,1.0,26.0,Requested by Organizers
728,Still Life,Andrew Dasburg,Male,Oil,New York,1.0,250.0,Requested by Organizers
729,Still Life,Andrew Dasburg,Male,Oil,New York,1.0,250.0,Requested by Organizers
730,"The Barrier, 1912",Gustave Cimiotti Jr,Male,Oil,New York,1.0,750.0,Requested by Organizers
731,Facade Architecturale,Raymond Duchamp-Villon,Male,Plaster,New York,1.0,5400.0,Requested by Organizers
732,Hillside 1912,Gustave Cimiotti Jr,Male,Oil,New York,1.0,300.0,Requested by Organizers
733,Torse of a Young Man,Raymond Duchamp-Villon,Male,Terracotta,New York,1.0,135.0,Requested by Organizers
734,Torse of a Young Man,Raymond Duchamp-Villon,Male,Plaster,New York,1.0,54.0,Requested by Organizers
735,Fille des bois,Raymond Duchamp-Villon,Male,Bronze,New York,1.0,270.0,Requested by Organizers
736,Danseurs also titled Les Petitis Danseurs,Raymond Duchamp-Villon,Male,Terracotta,New York,1.0,67.5,Requested by Organizers
