id,Title,Artist,Sex,Medium,Location,# of Locations,Sale Price in Dollars,Included because
101,Musikanten,Wilhelm Gimmi,Male,Oil,New York,1.0,136.5,Requested by Organizers
102,Conversation Provencale; Elsewhere La Sieste,Pierre Bonnard,Male,Oil,New York,1.0,2700.0,Requested by Organizers
103,Nordischer Fischerhafen,Julius Seyler,Male,Oil,New York,1.0,325.0,Requested by Organizers
104,"La Femme aux phlox; now titled Woman with Phlox, 1910",Albert Gleizes,Male,Oil,"New York, Chicago & Boston",3.0,189.0,Requested by Organizers
105,"#L’Homme au balcon; now titled Man on a Balcony (Portrait of Dr. Theo Morinaud), 1912",Albert Gleizes,Male,Oil,New York & Chicago,2.0,540.0,Requested by Organizers
106,Maskenfest,Hanz Bolz,Male,Engraving,New York,1.0,13.5,Requested by Organizers
107,Bar,Hanz Bolz,Male,Engraving,New York,1.0,16.2,Requested by Organizers
108,Ostende,Hanz Bolz,Male,Engraving,New York,1.0,13.5,Requested by Organizers
109,Morning,Adolph Kleiminger,Male,Oil,New York & Chicago,2.0,400.0,Requested by Organizers
110,N.E.A.,Morton Schamberg,Male,Oil,New York,1.0,100.0,Requested by Organizers
111,Eglise St. Nicolas,Hanz Bolz,Male,Engraving,New York,1.0,10.8,Requested by Organizers
112,Fleurs,Pierre Girieud,Male,Oil,New York,1.0,162.0,Requested by Organizers
113,Fleurs,Pierre Girieud,Male,Oil,New York,1.0,162.0,Requested by Organizers
114,Vitraux,Pierre Girieud,Male,Oil,"New York, Chicago & Boston",3.0,81.0,Requested by Organizers
115,Vitraux,Pierre Girieud,Male,Oil,"New York, Chicago & Boston",3.0,81.0,Requested by Organizers
116,"Hommage à Gauguin, 1906",Pierre Girieud,Male,Gouache,"New York, Chicago & Boston",3.0,189.0,Requested by Organizers
117,"Hommage à Gauguin, 1906",Pierre Girieud,Male,Gouache,"New York, Chicago & Boston",3.0,189.0,Requested by Organizers
118,Odalisques au miroir,Jaqueline Marval,Female,Oil,New York,1.0,675.0,Requested by Organizers
119,Le Violon,Georges Braque,Male,Oil,New York,1.0,202.5,Requested by Organizers
120,Anvers,Georges Braque,Male,Oil,New York,1.0,202.5,Requested by Organizers
121,La Foret,Georges Braque,Male,Oil,New York,1.0,216.0,Requested by Organizers
122,Wirtsgarten in Steglitz 1991,Ernst Ludwig Kirchner,Male,Oil,"New York, Chicago & Boston",3.0,162.5,Requested by Organizers
123,Portrait,Emile-Antoine Bourdelle,Male,Oil,New York,1.0,270.0,Requested by Organizers
124,Figure,Morton Schamberg,Male,Oil,New York,1.0,100.0,Requested by Organizers
125,#Observatoire de Meudon,Emile-Antoine Bourdelle,Male,Oil,New York,1.0,270.0,Requested by Organizers
126,Viole d’amour,Charles Guerin,Male,Oil,New York,1.0,1340.0,Requested by Organizers
127,Dame à la rose,Charles Guerin,Male,Oil,New York,1.0,3240.0,Requested by Organizers
128,Improvisation 27 (Garden of Love II) 1912,Wassily Kandinsky,Male,Oil,New York & Chicago,2.0,731.0,Submitted by Artist
129,Aquarelle,Henri Edmond Cross,Male,Watercolor,"New York, Chicago & Boston",3.0,121.5,Requested by Organizers
130,Landscape,Morton Schamberg,Male,Oil,New York,1.0,100.0,Requested by Organizers
131,"#Still Life, No. 1, 1912",Marsden Hartley,Male,Oil,New York,1.0,720.0,Requested by Organizers
132,"Still Life, No. 2",Marsden Hartley,Male,Oil,New York,1.0,300.0,Requested by Organizers
133,"Drawings, No. 1",Marsden Hartley,Male,Drawing,New York,1.0,48.0,Requested by Organizers
134,"Drawings, No. 2",Marsden Hartley,Male,Drawing,New York,1.0,48.0,Requested by Organizers
135,"Drawings, No. 3",Marsden Hartley,Male,Drawing,New York,1.0,48.0,Requested by Organizers
136,"Drawings, No. 4",Marsden Hartley,Male,Drawing,New York,1.0,48.0,Requested by Organizers
137,"Drawings, No. 5",Marsden Hartley,Male,Drawing,New York,1.0,48.0,Requested by Organizers
138,"Drawings, No. 6",Marsden Hartley,Male,Drawing,New York,1.0,48.0,Requested by Organizers
139,Amandiers en fleurs,Henri Edmond Cross,Male,Oil,New York & Chicago,2.0,1215.0,Requested by Organizers
140,Still Life,Samuel Halpert,Male,Oil,New York,1.0,300.0,Requested by Organizers
141,La Clairiere,Henri Edmond Cross,Male,Oil,New York,1.0,4050.0,Requested by Organizers
142,Le Berger; now titled The Shepherd,Eugene [Eugeniusz] Zak,Male,Oil,New York & Chicago,2.0,450.0,Requested by Organizers
143,En Été,Eugene [Eugeniusz] Zak,Male,Oil,"New York, Chicago & Boston",3.0,340.0,Requested by Organizers
144,View of New York,Samuel Halpert,Male,Oil,New York,1.0,400.0,Requested by Organizers
145,"Dame mit grünem Schirm, 1912",Julius Hess,Male,Oil,New York,1.0,292.5,Requested by Organizers
146,Lithographs Nos. 1-4,Edvard Munch,Male,Lithograph,New York,1.0,200.0,Requested by Organizers
147,"Paysage, No. 1",Andre Dunoyer de Segonzac,Male,Oil,New York & Chicago,2.0,216.0,Requested by Organizers
148,Scene du paturage; no titled Pasture,Andre Dunoyer de Segonzac,Male,Oil,New York & Chicago,2.0,216.0,Requested by Organizers
149,"Paysage, No. III",Andre Dunoyer de Segonzac,Male,Oil,New York & Chicago,2.0,216.0,Requested by Organizers
150,"Paysage, 1912",Andre Dunoyer de Segonzac,Male,Drawing,New York,1.0,54.0,Requested by Organizers
151,Wisdom and Destiny,Henry G Keller,Male,Oil,New York & Chicago,2.0,2500.0,Requested by Organizers
152,"Drawings, Nos. 1 to 5; elsewhere titled Nudes, 1912",Andre Dunoyer de Segonzac,Male,Drawing,New York & Chicago,2.0,162.0,Requested by Organizers
153,"Paysage , No. II, 1912",Andre Dunoyer de Segonzac,Male,Oil,New York,1.0,216.0,Requested by Organizers
154,"Une Bucolique, 1912",Andre Dunoyer de Segonzac,Male,Oil,"New York, Chicago & Boston",3.0,405.0,Requested by Organizers
155,Portrait,Morgan Russell,Male,Oil,New York,1.0,120.0,Requested by Organizers
156,"Capucines, 1912",Morgan Russell,Male,Oil,New York,1.0,60.0,Requested by Organizers
157,"Der Niessen, 1910",Ferdinand Hodler,Male,Oil,"New York, Chicago & Boston",3.0,812.5,Requested by Organizers
158,"Die heilige Stunde (Fragment), 1910",Ferdinand Hodler,Male,Oil,New York,1.0,4875.0,Requested by Organizers
159,The Valley,Henry G. Keller,Male,Oil,New York & Chicago,2.0,300.0,Requested by Organizers
160,"Paysage, 1912",Rodolph Levy,Male,Oil,New York,1.0,325.0,Requested by Organizers
161,Flowers,Walter Pach,Male,Oil,New York,1.0,87.5,Requested by Organizers
162,"#Portrait; now titled Portrait of Gigi Cavigli of Arezzo, 1912",Walter Pach,Male,Oil,New York,1.0,350.0,Requested by Organizers
163,Girls Bathing,Walter Pach,Male,Oil,New York,1.0,195.0,Requested by Organizers
164,"#Casentino Mountains, 1912",Walter Pach,Male,Oil,New York & Chicago,2.0,180.0,Requested by Organizers
165,The Wall of City,Walter Pach,Male,Oil,New York & Chicago,2.0,195.0,Requested by Organizers
166,Mary,Walter Pach,Male,Etching,New York & Chicago,2.0,10.0,Requested by Organizers
167,"Renoir's ""Liseuse"", now titled d'Apres Renoir, 1912",Walter Pach,Male,Etching,New York,1.0,10.0,Requested by Organizers
168,"Gothic Virgin, 1912",Walter Pach,Male,Etching,New York & Chicago,2.0,10.0,Requested by Organizers
169,"St. Germain-des-Pres--Nght; now titled St. Germain des Pres--Night, 1912",Walter Pach,Male,Etching,New York & Chicago,2.0,10.0,Requested by Organizers
170,Leslie,Albert Abendschein,Male,Oil,New York,1.0,550.0,Requested by Organizers
171,Le Bouquet aux feuilles rouges,Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,1620.0,Requested by Organizers
172,"Fleurs (fond rouge), ca. 1905",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,1350.0,Requested by Organizers
173,Pegase sur un roc,Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,2700.0,Requested by Organizers
174,Fecondite (etude),Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,2700.0,Requested by Organizers
175,"Vase de fleurs avec geranium, No. 115, 1912",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,1620.0,Requested by Organizers
176,"Papillons, No. 121, 1908",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,405.0,Requested by Organizers
177,"Roses sur fond vert, No. 116, 1912",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,810.0,Requested by Organizers
178,"Papillon, No. 38",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,1350.0,Requested by Organizers
179,Central Valley,Albert Abendschein,Male,Oil,New York,1.0,550.0,Requested by Organizers
180,"Profil noir sur fond or, No. 111; now titled Paul Gauguin, 1912; now dated 1903-5",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,1350.0,Requested by Organizers
181,"Fleurs, No. 75, 1911",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,2700.0,Requested by Organizers
182,"Phaeton, No. 114; now called The Fall of Phaeton, 1912",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,2160.0,Requested by Organizers
183,"Deux Tetes dans les fleurs, ca. 1905",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,2160.0,Requested by Organizers
184,"Vieillard, 1912",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,1350.0,Requested by Organizers
185,"Muse sure Pegase, No. 110, 1912",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,2160.0,Requested by Organizers
186,Barque,Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,2700.0,Requested by Organizers
187,Le Char d'Apollon,Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,4050.0,Requested by Organizers
188,Fleurs dans un pot de gres,Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,2160.0,Requested by Organizers
189,Initiation a letude,Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,675.0,Requested by Organizers
190,California,Sidney Dale Shaw,Male,Oil,New York,1.0,500.0,Requested by Organizers
191,Warriors Fighting,"Julius Wentscher, d.j.",Male,Tempera,New York,1.0,270.0,Requested by Organizers
192,Fleurs dans un pot de gres,Odilon Redon,Male,Pastel,"New York, Chicago & Boston",3.0,205.0,Requested by Organizers
193,"Profil mystique (Mystic Profile), 1885; now dated ca. 1892",Odilon Redon,Male,Drawing,"New York, Chicago & Boston",3.0,780.0,Requested by Organizers
194,"Songe d'Orient, 1885",Odilon Redon,Male,Pastel,"New York, Chicago & Boston",3.0,650.0,Requested by Organizers
195,"Corbeille de fleurs, 1910",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,195.0,Requested by Organizers
196,"Coquelicots, 1909",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,520.0,Requested by Organizers
197,"Barque, 1900",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,390.0,Requested by Organizers
198,"Vase de fleurs, bleu 1912",Odilon Redon,Male,Oil,New York,1.0,520.0,Requested by Organizers
199,"Vase de fleurs, gris, 1912",Odilon Redon,Male,Oil,New York,1.0,520.0,Requested by Organizers
200,"Prometheus, 1900",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,390.0,Requested by Organizers
201,"Tete en fleurs, 1900",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,300.0,Requested by Organizers
202,Going to the Bath,Kathleen McEnery,Female,Oil,New York,1.0,600.0,Requested by Organizers
203,Southwestern Country,Sidney Dale Shaw,Male,Oil,New York,1.0,350.0,Requested by Organizers
204,"#Le Silence; now titled Silence, ca. 1911",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,540.0,Requested by Organizers
205,Monstre et Angelique,Odilon Redon,Male,Oil,New York,1.0,455.0,Requested by Organizers
206,"Deux Etres sublunaires ailes dans lespace, 1909",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,585.0,Requested by Organizers
207,"Ohannes, 1900",Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,520.0,Requested by Organizers
208,"Fleurs de champ dans un vase; now titled Lilas, géranium, capucines et folles avoines dans un pot noir",Odilon Redon,Male,Pastel,"New York, Chicago & Boston",3.0,1080.0,Requested by Organizers
209,"Roger and Angelica, 1912; now dated ca. 1910",Odilon Redon,Male,Pastel,New York,1.0,810.0,Requested by Organizers
210,"Tête d’Orphée; now titled Orpheus, ca. 1903–10",Odilon Redon,Male,Pastel,"New York, Chicago & Boston",3.0,405.0,Requested by Organizers
211,Topanza,Sidney Dale Shaw,Male,Oil,New York,1.0,350.0,Requested by Organizers
212,Le Bateau Rouge,Odilon Redon,Male,Oil,"New York, Chicago & Boston",3.0,270.0,Requested by Organizers
213,"Vor der Stadt, 1912",F. M. Jansen,Male,Oil,New York,1.0,195.0,Requested by Organizers
214,"Ragusa, 1911",F. M. Jansen,Male,Pastel,New York,1.0,19.5,Requested by Organizers
215,Fresco,Howard Coluzzi,Male,Fresco,New York,1.0,500.0,Requested by Organizers
216,"Garda See Riva, 1912",F. M. Jansen,Male,Etching,New York,1.0,19.5,Requested by Organizers
217,"Fiume, 1911",F. M. Jansen,Male,Drawing,New York,1.0,19.5,Requested by Organizers
218,"Vor der Stadt, 1912",F. M. Jansen,Male,Watercolor,New York,1.0,19.5,Requested by Organizers
219,"Die Ernte, 1912",F. M. Jansen,Male,Etching,New York,1.0,19.5,Requested by Organizers
220,"Garda See, 1912",F. M. Jansen,Male,Etching,New York,1.0,19.5,Requested by Organizers
221,"Ein Park, 1910",F. M. Jansen,Male,Drawing,New York,1.0,19.5,Requested by Organizers
222,"Cypressen, 1912",F. M. Jansen,Male,Etching,New York,1.0,19.5,Requested by Organizers
223,"Triest, 1911",F. M. Jansen,Male,Drawing,New York,1.0,19.5,Requested by Organizers
224,"Das Dorf, 1912",F. M. Jansen,Male,Etching,New York,1.0,19.5,Requested by Organizers
225,"Trient, 1912",F. M. Jansen,Male,Etching,New York,1.0,19.5,Requested by Organizers
226,Winter Garden,Kenneth Frazier,Male,Oil,New York,1.0,500.0,Requested by Organizers
227,"Sarajewo, 1911",F. M. Jansen,Male,Drawing,New York,1.0,19.5,Requested by Organizers
228,"Affiche ""Le Divan Japonais""; now titled Le Divan Japonais, 1892-93",Henri Toulouse-Lautrec,Male,Lithograph,New York & Chicago,2.0,675.0,Requested by Organizers
229,"La Tresse, 1891",Henri Toulouse-Lautrec,Male,Oil,"New York, Chicago & Boston",3.0,3240.0,Requested by Organizers
230,"Dessin, No. 3200; now titled Study for “Action in Chains (Monument to Louis-Auguste Blanqui)”",Aristide Maillol,Male,Drawing,New York,1.0,55.0,Requested by Organizers
231,"Dessin, No. 1769",Aristide Maillol,Male,Drawing,New York,1.0,50.0,Requested by Organizers
232,"Dessin, No. 4114",Aristide Maillol,Male,Drawing,New York,1.0,165.0,Requested by Organizers
233,"Dessin, No. 4117",Aristide Maillol,Male,Drawing,New York,1.0,65.0,Requested by Organizers
234,"Dessin, No. 4120",Aristide Maillol,Male,Drawing,New York,1.0,38.0,Requested by Organizers
235,Shade Hat,Kenneth Frazier,Male,Oil,New York,1.0,500.0,Requested by Organizers
236,"Dessin, No. 4118",Aristide Maillol,Male,Drawing,New York,1.0,165.0,Requested by Organizers
237,"Vieh mit Hirten unter Baumen, 1911",Julius Paul Junghanns,Male,Oil,New York,1.0,260.0,Requested by Organizers
238,Les Abres; now titled Landscape 1907,Pablo Picasso,Male,Gouache,"New York, Chicago & Boston",3.0,243.0,Requested by Organizers
239,"Mme. Soler, 1903",Pablo Picasso,Male,Oil,"New York, Chicago & Boston",3.0,1350.0,Requested by Organizers
240,"Tete d'homme, 1912",Pablo Picasso,Male,Oil,"New York, Chicago & Boston",3.0,486.0,Requested by Organizers
241,Study,Kenneth Frazier,Male,Oil,New York,1.0,500.0,Requested by Organizers
242,"La Femme au pot de moutarde; now titled Woman with Mustard Pot, 1910",Pablo Picasso,Male,Oil,"New York, Chicago & Boston",3.0,675.0,Requested by Organizers
243,A Stevedore,Jack B. Yeats,Male,Oil,New York,1.0,118.0,Requested by Organizers
244,The Barrel Man,Jack B. Yeats,Male,Oil,New York,1.0,118.0,Requested by Organizers
245,Strand Races,Jack B. Yeats,Male,Oil,New York,1.0,118.0,Requested by Organizers
246,The Last Corinthian,Jack B. Yeats,Male,Oil,New York,1.0,118.0,Requested by Organizers
247,The Circus Dwarf,Jack B. Yeats,Male,Oil,New York,1.0,590.0,Requested by Organizers
248,Alfred Kirstien 1863-1992,Ernst Ludwig Kirchner,Male,Watercolor,"New York, Chicago & Boston",3.0,81.0,Requested by Organizers
249,Sous la lampe; elsewhere titled Mother and Children,Nicolas Tarkhoff,Male,Oil,New York & Chicago,2.0,540.0,Requested by Organizers
250,"Etude, No. 2",Fernand Léger,Male,Oil,"New York, Chicago & Boston",3.0,216.0,Requested by Organizers
251,"Etude, No. 1",Fernand Léger,Male,Oil,"New York, Chicago & Boston",3.0,216.0,Requested by Organizers
252,La Route,Felix-Edouard Vallotton,Male,Oil,New York,1.0,594.0,Requested by Organizers
253,La Coiffure,Felix-Edouard Vallotton,Male,Oil,New York & Chicago,2.0,1620.0,Requested by Organizers
254,La Lecture,Felix-Edouard Vallotton,Male,Oil,New York & Chicago,2.0,1620.0,Requested by Organizers
255,Venise,Pierre Laprade,Male,Oil,New York,1.0,1080.0,Requested by Organizers
256,Roses Oranges,Pierre Laprade,Male,Oil,New York & Chicago,2.0,675.0,Requested by Organizers
257,San Giovanni,Pierre Laprade,Male,Watercolor,New York,1.0,202.5,Requested by Organizers
258,Le Triton,Pierre Laprade,Male,Watercolor,New York,1.0,189.0,Requested by Organizers
259,Rome,Pierre Laprade,Male,Watercolor,New York,1.0,216.0,Requested by Organizers
260,Villia Borghese,Pierre Laprade,Male,Watercolor,New York,1.0,189.0,Requested by Organizers
261,"S. Remy, Dieppe; now titled Church in Dieppe, 1912",Walter Sickert,Male,Oil,"New York, Chicago & Boston",3.0,1675.0,Requested by Organizers
262,"Land and Sea, 1912",Homer Boss,Male,Oil,New York,1.0,1500.0,Requested by Organizers
263,"Le Centenaire [de la Révolution]; now titled Centennial of Independence, 1892",Henri-Julian Rousseau,Male,Oil,"New York, Chicago & Boston",3.0,6750.0,Requested by Organizers
264,"Cheval attaqué par un jaguar, 1910",Henri-Julian Rousseau,Male,Oil,"New York, Chicago & Boston",3.0,1350.0,Requested by Organizers
265,Portrait,Marie Laurencin (1885-1956),Female,Watercolor,"New York, Chicago & Boston",3.0,81.0,Requested by Organizers
266,Desdemona,Marie Laurencin (1885-1956),Female,Watercolor,"New York, Chicago & Boston",3.0,81.0,Requested by Organizers
267,Jeune Fille avec eventail,Marie Laurencin (1885-1956),Female,Drawing,"New York, Chicago & Boston",3.0,81.0,Requested by Organizers
268,Jeune Fille,Marie Laurencin (1885-1956),Female,Drawing,"New York, Chicago & Boston",3.0,81.0,Requested by Organizers
269,La Toilette Des Jeunes filles,Marie Laurencin (1885-1956),Female,Oil,"New York, Chicago & Boston",3.0,540.0,Requested by Organizers
270,La Poetesse,Marie Laurencin (1885-1956),Female,Oil,"New York, Chicago & Boston",3.0,216.0,Requested by Organizers
271,Nature Morte,,Female,Oil,"New York, Chicago & Boston",3.0,108.0,Requested by Organizers
272,Portrait; elsewhere girl in blue and gold,Homer Boss,Male,Oil,New York,1.0,1500.0,Requested by Organizers
273,Two Drawings,Roger de La Fresnaye,Male,Drawing,New York & Chicago,2.0,27.0,Requested by Organizers
274,Two Drawings,Roger de La Fresnaye,Male,Drawing,New York & Chicago,2.0,27.0,Requested by Organizers
275,"Paysage, No 2",Roger de La Fresnaye,Male,Oil,"New York, Chicago & Boston",3.0,162.0,Requested by Organizers
276,"Paysage, No. 1",Roger de La Fresnaye,Male,Oil,New York & Chicago,2.0,162.0,Requested by Organizers
277,"Paysage, No 1",Roger de La Fresnaye,Male,Oil,"New York, Chicago & Boston",3.0,162.0,Requested by Organizers
278,"Marseilles, Calm Sea; now titled Port of Marseilles, 1901",Paul Signac,Male,Oil,"New York, Chicago & Boston",3.0,945.0,Requested by Organizers
279,"Drawings, Nos. 1-6, 1912",Wilhelm Lehmbruck,Male,Etching,New York,1.0,27.0,Requested by Organizers
280,The Little Tower; now titled A Small Tower,James Pryde,Male,Oil,New York & Chicago,2.0,390.0,Requested by Organizers
281,Dream,Kathleen McEnery,Female,Oil,New York,1.0,400.0,Requested by Organizers
282,Movement,Bernard Gussow,Male,Oil,New York,1.0,800.0,Requested by Organizers
283,"Weinberg-Arbeiter, 1909",Max Slevogt,Male,Oil,"New York, Chicago & Boston",3.0,1950.0,Requested by Organizers
284,Jeune Marin,Henri Matisse,Male,Oil,New York,1.0,1350.0,Requested by Organizers
285,Panneau rouge,Henri Matisse,Male,Oil,New York,1.0,4050.0,Requested by Organizers
286,Le Luxe II,Henri Matisse,Male,Tempera,New York,1.0,1350.0,Requested by Organizers
287,Les Capucines,Henri Matisse,Male,Oil,New York,1.0,1080.0,Requested by Organizers
288,Figures,Bernard Gussow,Male,Oil,New York & Chicago,2.0,300.0,Requested by Organizers
289,"Drawing, No. 839",Henri Matisse,Male,Drawing,New York,1.0,67.5,Requested by Organizers
290,"Drawing, No. 840",Henri Matisse,Male,Drawing,New York,1.0,67.5,Requested by Organizers
291,"#La Danse a la source; now titled Dances at the Spring, 1912",Francis Picabia,Male,Oil,New York & Chicago,2.0,675.0,Requested by Organizers
292,"La Procession, Seville, 1912",Francis Picabia,Male,Oil,"New York, Chicago & Boston",3.0,1080.0,Requested by Organizers
293,Paris,Francis Picabia,Male,Oil,"New York, Chicago & Boston",3.0,486.0,Requested by Organizers
294,"Souvenir de Grimaldi, Italie",Francis Picabia,Male,Oil,"New York, Chicago & Boston",3.0,405.0,Requested by Organizers
295,Inferno,Friedrich August Weinzheimer,Male,Drawing,New York,1.0,130.0,Requested by Organizers
296,Badende Frauen,Friedrich August Weinzheimer,Male,Drawing,"New York, Chicago & Boston",3.0,97.5,Requested by Organizers
297,Ciboure,Felix E. Tobeen,Male,Oil,"New York, Chicago & Boston",3.0,270.0,Requested by Organizers
298,L'Ecuyere,Felix E. Tobeen,Male,Oil,"New York, Chicago & Boston",3.0,270.0,Requested by Organizers
299,Les Pelotaris,Felix E. Tobeen,Male,Drawing,"New York, Chicago & Boston",3.0,135.0,Requested by Organizers
300,"#Collines à Arles, now titled Mountains at Saint-Rémy (Montagnes a Saint-Rémy), 1889",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3.0,16200.0,Requested by Organizers
301,"Bal à Arles; now titled La salle de danse à Arles, 1888",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3.0,9450.0,Requested by Organizers
302,"Le Zouave, 1888",Vincent Van Gogh,Male,Drawing,"New York, Chicago & Boston",3.0,1890.0,Requested by Organizers
303,"Montmartre, 1888",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3.0,2600.0,Requested by Organizers
304,"L’Olivier; now titled Landscape with Figures, 1889",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3.0,6500.0,Requested by Organizers
305,"Dans les bois; now titled Undergrowth with Two Figures, 1889",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3.0,10400.0,Requested by Organizers
306,In the Woods,Charles H. Pepper,Male,Oil,New York,1.0,1000.0,Requested by Organizers
307,"Le Grand Olivier; now titled The Olive Plantation, 1889",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3.0,5200.0,Requested by Organizers
308,"Nature morte. Souliers de bois, ca. 1887, now dated 1888",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3.0,2600.0,Requested by Organizers
309,"Nature morte. Écrevisses, 1887",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3.0,2600.0,Requested by Organizers
310,"Moulin de Montmartre, 1886",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3.0,2600.0,Requested by Organizers
311,"Paysage d’Arles; now titled Olive Tree, 1889",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3.0,5200.0,Requested by Organizers
312,"Des Pommes, ca. 1884",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3.0,2600.0,Requested by Organizers
313,"Cruches en étain, 1882",Vincent Van Gogh,Male,Oil,"New York, Chicago & Boston",3.0,2600.0,Requested by Organizers
314,"Compositions, Nos. 3109–3118",Georges Rouault,Male,Drawing,"New York, Chicago & Boston",3.0,810.0,Requested by Organizers
315,"La Parade, 1907",Georges Rouault,Male,Gouache,"New York, Chicago & Boston",3.0,540.0,Requested by Organizers
316,"Compositions, Nos. 3100–3108",Georges Rouault,Male,Drawing,"New York, Chicago & Boston",3.0,810.0,Requested by Organizers
317,#Le Rocher,Henri Manguin,Male,Oil,New York,1.0,864.0,Requested by Organizers
318,Baigneuse,Henri Manguin,Male,Oil,New York,1.0,702.0,Requested by Organizers
319,La Toilette,Henri Manguin,Male,Oil,New York,1.0,378.0,Requested by Organizers
320,"Arbres en fleurs; now titled Puteaux: Les Fumées et les arbres en fleur, 1912",Jacques Villon,Male,Oil,"New York, Chicago & Boston",3.0,270.0,Requested by Organizers
321,"Fillette au piano, 1912",Jacques Villon,Male,Oil,"New York, Chicago & Boston",3.0,270.0,Requested by Organizers
322,"Étude pour jeune femme; now titled Study for Young Woman, 1912",Jacques Villon,Male,Oil,New York & Chicago,2.0,135.0,Requested by Organizers
323,"Étude pour Puteaux, No. 1; now titled Sketch for Puteaux",Jacques Villon,Male,Oil,"New York, Chicago & Boston",3.0,81.0,Requested by Organizers
324,"Étude pour Puteaux, No 2",Jacques Villon,Male,Oil,"New York, Chicago & Boston",3.0,108.0,Requested by Organizers
325,"Nu, 1907",Georges Rouault,Male,Gouache,"New York, Chicago & Boston",3.0,540.0,Requested by Organizers
326,"Étude pour Puteaux, No. 3;",Jacques Villon,Male,Oil,"New York, Chicago & Boston",3.0,108.0,Requested by Organizers
327,"Étude pour Puteaux, No. 4,",Jacques Villon,Male,Oil,"New York, Chicago & Boston",3.0,108.0,Requested by Organizers
328,Étude pour fillette au piano,Jacques Villon,Male,Oil,"New York, Chicago & Boston",3.0,135.0,Requested by Organizers
329,#Jeune Femme; now titled Young Girl,Jacques Villon,Male,Oil,New York & Chicago,2.0,270.0,Requested by Organizers
330,Woodcuts Nos. 1-6,Olga Oppenheimer,Female,Wood,"New York, Chicago & Boston",3.0,16.25,Requested by Organizers
331,Honfleur,Georges Seurat,Male,Oil,"New York, Chicago & Boston",3.0,2020.0,Requested by Organizers
332,Wintersport,Max Mayrshofer,Male,Drawing,New York,1.0,25.0,Requested by Organizers
333,Badende Frauen,Max Mayrshofer,Male,Drawing,New York,1.0,22.75,Requested by Organizers
334,Landschaft,Max Mayrshofer,Male,Drawing,New York,1.0,22.75,Requested by Organizers
335,Landschaft,Max Mayrshofer,Male,Drawing,New York,1.0,26.0,Requested by Organizers
336,Volksmenge,Max Mayrshofer,Male,Drawing,New York,1.0,22.75,Requested by Organizers
337,Rennreiter,Max Mayrshofer,Male,Drawing,New York,1.0,26.0,Requested by Organizers
338,"#Chateau fort; now titled The Stronghold, 1912",Amadeo de Sousa-Cardoza,Male,Oil,New York & Chicago,2.0,81.0,Requested by Organizers
339,"Le Prince et la meute, 1912",Amadeo de Sousa-Cardoza,Male,Oil,"New York, Chicago & Boston",3.0,324.0,Requested by Organizers
340,"Avant la corrida, 1912",Amadeo de Sousa-Cardoza,Male,Oil,"New York, Chicago & Boston",3.0,216.0,Requested by Organizers
341,"Return from the Chase, 1912",Amadeo de Sousa-Cardoza,Male,Oil,New York & Chicago,2.0,54.0,Requested by Organizers
342,"Saut du lapin; now titled The Leap of the Rabbit, 1912",Amadeo de Sousa-Cardoza,Male,Oil,New York & Chicago,2.0,67.5,Requested by Organizers
