id,season,number,production_code,episode_title,guest_star,role
73,3.0,052–317,8F13,Homer at the Bat,Jose Canseco,Himself
74,3.0,052–317,8F13,Homer at the Bat,Roger Clemens,Himself
75,3.0,052–317,8F13,Homer at the Bat,Terry Cashman,"Sings ""Talkin' Softball"" (parody of the song Talkin' Baseball)"
76,3.0,052–317,8F13,Homer at the Bat,"Ken Griffey, Jr.",Himself
77,3.0,052–317,8F13,Homer at the Bat,Don Mattingly,Himself
78,3.0,052–317,8F13,Homer at the Bat,Steve Sax,Himself
79,3.0,052–317,8F13,Homer at the Bat,Mike Scioscia,Himself
80,3.0,052–317,8F13,Homer at the Bat,Ozzie Smith,Himself
81,3.0,052–317,8F13,Homer at the Bat,Darryl Strawberry,Himself
82,3.0,053–318,8F15,Separate Vocations,Steve Allen,Electronically altered voice of Bart
83,3.0,053–318,8F15,Separate Vocations,Marcia Wallace,Edna Krabappel
84,3.0,054–319,8F17,Dog of Death,Frank Welker,Santa's Little Helper
85,3.0,055–320,8F19,Colonel Homer,Beverly D'Angelo,Lurleen Lumpkin
86,3.0,056–321,8F20,Black Widower,Kelsey Grammer,Sideshow Bob
87,3.0,057–322,8F21,The Otto Show,Christopher Guest,Nigel Tufnel
88,3.0,057–322,8F21,The Otto Show,Michael McKean,David St. Hubbins
89,3.0,058–323,8F22,Bart's Friend Falls in Love,Phil Hartman,Troy McClure
90,3.0,058–323,8F22,Bart's Friend Falls in Love,Kimmy Robertson,Samantha Stanky
91,3.0,058–323,8F22,Bart's Friend Falls in Love,Marcia Wallace,Edna Krabappel
92,3.0,058–323,8F23,"Brother, Can You Spare Two Dimes?",Danny DeVito,Herbert Powell
93,3.0,058–323,8F23,"Brother, Can You Spare Two Dimes?",Joe Frazier,Himself
94,4.0,060–401,8F24,Kamp Krusty,Gene Merlino,"Sings ""South of the Border"""
95,4.0,060–401,8F24,Kamp Krusty,Marcia Wallace,Edna Krabappel
96,4.0,061–402,8F18,A Streetcar Named Marge,Phil Hartman,Troy McClure; Lionel Hutz
97,4.0,061–402,8F18,A Streetcar Named Marge,Jon Lovitz,Llewellyn Sinclair; Ms. Sinclair
98,4.0,061–402,8F18,A Streetcar Named Marge,Lona Williams,Debra Jo Smallwood
99,4.0,063–404,9F02,Lisa the Beauty Queen,Bob Hope,Himself
100,4.0,063–404,9F02,Lisa the Beauty Queen,Lona Williams,Amber Dempsey
101,4.0,064–405,9F04,Treehouse of Horror III,Marcia Wallace,Edna Krabappel
102,4.0,065–406,9F03,Itchy & Scratchy: The Movie,Neil Armstrong (archival),Himself
103,4.0,065–406,9F03,Itchy & Scratchy: The Movie,Marcia Wallace,Edna Krabappel
104,4.0,066–407,9F05,Marge Gets a Job,Phil Hartman,Troy McClure; Lionel Hutz
105,4.0,066–407,9F05,Marge Gets a Job,Tom Jones,Himself
106,4.0,066–407,9F05,Marge Gets a Job,Marcia Wallace,Edna Krabappel
107,4.0,067–408,9F06,New Kid on the Block,Sara Gilbert,Laura Powers
108,4.0,067–408,9F06,New Kid on the Block,Phil Hartman,Lionel Hutz
109,4.0,067–408,9F06,New Kid on the Block,Pamela Reed,Ruth Powers
110,4.0,068–409,9F07,Mr. Plow,Phil Hartman,Troy McClure
111,4.0,068–409,9F07,Mr. Plow,Linda Ronstadt,Herself
