id,city,state,city_size,mode,n,percent,moe,state_abb,state_region
189,Carbondale city,Illinois,Small,Bike,381.0,3.6,1.2,IL,North Central
190,Carlsbad city,New Mexico,Small,Bike,0.0,0.0,0.3,NM,West
191,Carmel city,Indiana,Small,Bike,137.0,0.3,0.2,IN,North Central
192,Carol Stream village,Illinois,Small,Bike,66.0,0.3,0.4,IL,North Central
193,Carpentersville village,Illinois,Small,Bike,7.0,0.0,0.1,IL,North Central
194,Carrboro town,North Carolina,Small,Bike,605.0,5.3,2.1,NC,South
195,Carrollton city,Georgia,Small,Bike,43.0,0.5,0.4,GA,South
196,Carson city,California,Small,Bike,85.0,0.2,0.2,CA,West
197,Carson City,Nevada,Small,Bike,261.0,1.1,0.6,NV,West
198,Carteret borough,New Jersey,Small,Bike,61.0,0.6,0.6,NJ,Northeast
199,Casa Grande city,Arizona,Small,Bike,48.0,0.3,0.2,AZ,West
200,Casper city,Wyoming,Small,Bike,195.0,0.7,0.3,WY,West
201,Casselberry city,Florida,Small,Bike,72.0,0.6,0.5,FL,South
202,Castle Rock town,Colorado,Small,Bike,18.0,0.1,0.1,CO,West
203,Cathedral City city,California,Small,Bike,50.0,0.2,0.2,CA,West
204,Cedar City city,Utah,Small,Bike,117.0,1.0,0.5,UT,West
205,Cedar Falls city,Iowa,Small,Bike,146.0,0.7,0.4,IA,North Central
206,Cedar Hill city,Texas,Small,Bike,19.0,0.1,0.1,TX,South
207,Cedar Park city,Texas,Small,Bike,42.0,0.2,0.2,TX,South
208,Centerville city,Ohio,Small,Bike,3.0,0.0,4.1,OH,North Central
209,Central city,Louisiana,Small,Bike,0.0,0.0,0.3,LA,South
210,Ceres city,California,Small,Bike,78.0,0.5,0.6,CA,West
211,Cerritos city,California,Small,Bike,35.0,0.2,0.2,CA,West
212,Chambersburg borough,Pennsylvania,Small,Bike,28.0,0.3,0.4,PA,Northeast
213,Champaign city,Illinois,Small,Bike,1075.0,2.7,0.6,IL,North Central
214,Champlin city,Minnesota,Small,Bike,52.0,0.4,0.3,MN,North Central
215,Chanhassen city,Minnesota,Small,Bike,35.0,0.3,0.4,MN,North Central
216,Chapel Hill town,North Carolina,Small,Bike,583.0,2.2,0.5,NC,South
217,Charleston city,Illinois,Small,Bike,110.0,1.1,0.7,IL,North Central
218,Charleston city,West Virginia,Small,Bike,49.0,0.2,0.1,WV,South
219,Charlottesville city,Virginia,Small,Bike,753.0,3.7,0.9,VA,South
220,Chaska city,Minnesota,Small,Bike,24.0,0.2,0.2,MN,North Central
221,Chelsea city,Massachusetts,Small,Bike,136.0,0.8,0.6,MA,Northeast
222,Chester city,Pennsylvania,Small,Bike,104.0,0.9,0.8,PA,Northeast
223,Chesterfield city,Missouri,Small,Bike,14.0,0.1,0.1,MO,North Central
224,Cheyenne city,Wyoming,Small,Bike,207.0,0.7,0.3,WY,West
225,Chicago Heights city,Illinois,Small,Bike,99.0,0.9,0.8,IL,North Central
226,Chico city,California,Small,Bike,2239.0,5.8,1.0,CA,West
227,Chicopee city,Massachusetts,Small,Bike,129.0,0.5,0.6,MA,Northeast
228,Chillicothe city,Ohio,Small,Bike,14.0,0.2,0.2,OH,North Central
229,Chino city,California,Small,Bike,97.0,0.3,0.2,CA,West
230,Chino Hills city,California,Small,Bike,206.0,0.6,0.7,CA,West
231,Christiansburg town,Virginia,Small,Bike,0.0,0.0,0.3,VA,South
232,Cicero town,Illinois,Small,Bike,312.0,0.9,0.5,IL,North Central
233,Citrus Heights city,California,Small,Bike,137.0,0.4,0.2,CA,West
234,Claremont city,California,Small,Bike,296.0,2.0,0.7,CA,West
235,Clarksville town,Indiana,Small,Bike,27.0,0.3,0.3,IN,North Central
236,Clearfield city,Utah,Small,Bike,39.0,0.3,0.3,UT,West
237,Cleburne city,Texas,Small,Bike,0.0,0.0,0.3,TX,South
238,Clermont city,Florida,Small,Bike,18.0,0.2,0.2,FL,South
239,Cleveland city,Tennessee,Small,Bike,51.0,0.3,0.3,TN,South
240,Cleveland Heights city,Ohio,Small,Bike,197.0,0.9,0.3,OH,North Central
241,Cliffside Park borough,New Jersey,Small,Bike,39.0,0.3,0.3,NJ,Northeast
242,Clifton city,New Jersey,Small,Bike,59.0,0.1,0.2,NJ,Northeast
243,Clinton city,Iowa,Small,Bike,58.0,0.5,0.4,IA,North Central
244,Clinton city,Mississippi,Small,Bike,0.0,0.0,0.3,MS,South
245,Clinton city,Utah,Small,Bike,13.0,0.1,0.2,UT,West
246,Clovis city,California,Small,Bike,156.0,0.4,0.2,CA,West
247,Clovis city,New Mexico,Small,Bike,58.0,0.4,0.3,NM,West
248,Coachella city,California,Small,Bike,15.0,0.1,0.2,CA,West
249,Coconut Creek city,Florida,Small,Bike,110.0,0.4,0.3,FL,South
250,Coeur d'Alene city,Idaho,Small,Bike,191.0,0.9,0.5,ID,West
251,College Park city,Maryland,Small,Bike,433.0,3.3,1.2,MD,South
252,College Station city,Texas,Small,Bike,1126.0,2.6,0.5,TX,South
253,Colleyville city,Texas,Small,Bike,25.0,0.2,0.3,TX,South
254,Collierville town,Tennessee,Small,Bike,5.0,0.0,0.1,TN,South
255,Collinsville city,Illinois,Small,Bike,31.0,0.3,0.3,IL,North Central
256,Colton city,California,Small,Bike,133.0,0.6,0.6,CA,West
257,Columbia city,Tennessee,Small,Bike,54.0,0.4,0.5,TN,South
258,Columbus city,Indiana,Small,Bike,99.0,0.5,0.2,IN,North Central
259,Columbus city,Mississippi,Small,Bike,5.0,0.1,0.1,MS,South
260,Columbus city,Nebraska,Small,Bike,52.0,0.5,0.5,NE,North Central
261,Commerce City city,Colorado,Small,Bike,10.0,0.0,0.1,CO,West
262,Compton city,California,Small,Bike,154.0,0.5,0.2,CA,West
263,Concord city,New Hampshire,Small,Bike,93.0,0.4,0.3,NH,Northeast
264,Concord city,North Carolina,Small,Bike,34.0,0.1,0.1,NC,South
265,Conroe city,Texas,Small,Bike,126.0,0.5,0.5,TX,South
266,Conway city,Arkansas,Small,Bike,104.0,0.4,0.2,AR,South
267,Cookeville city,Tennessee,Small,Bike,34.0,0.3,0.3,TN,South
268,Coon Rapids city,Minnesota,Small,Bike,101.0,0.3,0.2,MN,North Central
269,Cooper City city,Florida,Small,Bike,16.0,0.1,0.1,FL,South
270,Coppell city,Texas,Small,Bike,9.0,0.0,0.1,TX,South
271,Copperas Cove city,Texas,Small,Bike,25.0,0.2,0.2,TX,South
272,Coral Gables city,Florida,Small,Bike,144.0,0.7,0.5,FL,South
273,Corcoran city,California,Small,Bike,52.0,1.3,1.1,CA,West
274,Corinth city,Texas,Small,Bike,23.0,0.2,0.4,TX,South
275,Cornelius town,North Carolina,Small,Bike,7.0,0.1,0.1,NC,South
276,Coronado city,California,Small,Bike,527.0,4.8,1.3,CA,West
277,Corsicana city,Texas,Small,Bike,31.0,0.3,0.4,TX,South
278,Corvallis city,Oregon,Small,Bike,2804.0,11.2,1.5,OR,West
279,Cottage Grove city,Minnesota,Small,Bike,64.0,0.4,0.3,MN,North Central
280,Cottonwood Heights city,Utah,Small,Bike,49.0,0.3,0.2,UT,West
281,Council Bluffs city,Iowa,Small,Bike,132.0,0.4,0.2,IA,North Central
282,Covina city,California,Small,Bike,134.0,0.6,0.4,CA,West
283,Covington city,Kentucky,Small,Bike,50.0,0.3,0.3,KY,South
284,Cranston city,Rhode Island,Small,Bike,92.0,0.3,0.2,RI,Northeast
285,Crest Hill city,Illinois,Small,Bike,0.0,0.0,0.3,IL,North Central
286,Crestview city,Florida,Small,Bike,11.0,0.1,0.2,FL,South
287,Crown Point city,Indiana,Small,Bike,0.0,0.0,0.2,IN,North Central
288,Crystal city,Minnesota,Small,Bike,9.0,0.1,0.1,MN,North Central
289,Crystal Lake city,Illinois,Small,Bike,0.0,0.0,0.1,IL,North Central
290,Cudahy city,California,Small,Bike,74.0,0.8,0.8,CA,West
291,Culver City city,California,Small,Bike,219.0,1.1,0.5,CA,West
292,Cumberland city,Maryland,Small,Bike,0.0,0.0,0.4,MD,South
293,Cupertino city,California,Small,Bike,221.0,0.9,0.5,CA,West
294,Cutler Bay town,Florida,Small,Bike,28.0,0.2,0.2,FL,South
295,Cuyahoga Falls city,Ohio,Small,Bike,56.0,0.2,0.3,OH,North Central
296,Cypress city,California,Small,Bike,168.0,0.7,0.4,CA,West
297,Dalton city,Georgia,Small,Bike,29.0,0.2,0.3,GA,South
298,Dana Point city,California,Small,Bike,75.0,0.4,0.3,CA,West
299,Danbury city,Connecticut,Small,Bike,51.0,0.1,0.1,CT,Northeast
300,Dania Beach city,Florida,Small,Bike,102.0,0.7,0.5,FL,South
301,Danville city,Illinois,Small,Bike,28.0,0.2,0.2,IL,North Central
302,Danville city,Virginia,Small,Bike,33.0,0.2,0.1,VA,South
303,Danville town,California,Small,Bike,29.0,0.2,0.2,CA,West
304,Daphne city,Alabama,Small,Bike,91.0,0.9,1.3,AL,South
305,Darien city,Illinois,Small,Bike,30.0,0.3,0.3,IL,North Central
306,Davie town,Florida,Small,Bike,216.0,0.5,0.3,FL,South
307,Davis city,California,Small,Bike,5691.0,18.6,1.8,CA,West
308,Daytona Beach city,Florida,Small,Bike,429.0,1.9,0.7,FL,South
309,De Pere city,Wisconsin,Small,Bike,75.0,0.6,0.4,WI,North Central
310,Dearborn city,Michigan,Small,Bike,110.0,0.3,0.1,MI,North Central
311,Dearborn Heights city,Michigan,Small,Bike,32.0,0.2,0.2,MI,North Central
312,Decatur city,Alabama,Small,Bike,0.0,0.0,0.1,AL,South
313,Decatur city,Illinois,Small,Bike,54.0,0.2,0.1,IL,North Central
314,Deer Park city,Texas,Small,Bike,65.0,0.4,0.5,TX,South
315,Deerfield Beach city,Florida,Small,Bike,306.0,0.9,0.4,FL,South
316,DeKalb city,Illinois,Small,Bike,301.0,1.5,0.6,IL,North Central
317,Del City city,Oklahoma,Small,Bike,0.0,0.0,0.3,OK,South
318,Del Rio city,Texas,Small,Bike,125.0,0.9,0.5,TX,South
319,DeLand city,Florida,Small,Bike,159.0,1.6,1.2,FL,South
320,Delano city,California,Small,Bike,41.0,0.3,0.4,CA,West
321,Delaware city,Ohio,Small,Bike,46.0,0.3,0.2,OH,North Central
322,Delray Beach city,Florida,Small,Bike,188.0,0.7,0.4,FL,South
323,Deltona city,Florida,Small,Bike,58.0,0.2,0.2,FL,South
324,Denison city,Texas,Small,Bike,34.0,0.4,0.4,TX,South
325,Derby city,Kansas,Small,Bike,9.0,0.1,0.1,KS,North Central
326,Des Moines city,Washington,Small,Bike,24.0,0.2,0.3,WA,West
327,Des Plaines city,Illinois,Small,Bike,167.0,0.6,0.3,IL,North Central
328,Desert Hot Springs city,California,Small,Bike,0.0,0.0,0.4,CA,West
