id,Name,Type,Sugar Free?,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Sodium (mg),Caffeine (mg),Serving Weight (g),Serving Description (fl oz),200 Calorie Weight (g)
183,Fruit Punch Drink Frozen Concentrate,Juice,TRUE,162.0,0.0,0.2,41.4,0.0,8.0,0.0,34.8,1.0,123.457
184,Fruit Punch Drink Frozen Concentrate,Juice,TRUE,162.0,0.0,0.2,41.4,0.0,8.0,0.0,34.8,1.0,123.457
185,Fruit Punch Drink Frozen Concentrate Prepared With Water,Juice,TRUE,46.0,0.0,0.06,11.66,0.0,5.0,0.0,30.9,1.0,434.783
186,Fruit Punch Drink With Added Nutrients Canned,Juice,FALSE,47.0,0.0,0.0,11.94,11.29,38.0,0.0,31.0,1.0,425.532
187,Fruit Punch Drink Without Added Nutrients Canned,Juice,FALSE,48.0,0.0,0.0,11.97,11.29,10.0,0.0,210.0,6.0,416.667
188,Fruit Punch Juice Drink Frozen Concentrate,Juice,TRUE,175.0,0.7,0.3,43.1,0.0,10.0,0.0,35.2,1.0,114.286
189,Fruit Punch Juice Drink Frozen Concentrate,Juice,TRUE,175.0,0.7,0.3,43.1,0.0,10.0,0.0,35.2,1.0,114.286
190,Fruit Punch Juice Drink Frozen Concentrate Prepared With Water,Juice,FALSE,42.0,0.17,0.07,11.4,11.4,5.0,0.0,29.3,1.0,476.19
191,Fruit Punch-Flavor Drink A Without Added Sodium Prepared With Water,Juice,FALSE,37.0,0.01,0.0,9.47,9.23,7.0,0.0,32.7,1.0,540.541
192,Fruit Smoothie Juice Drink No Dairy,Juice,FALSE,50.0,0.15,0.63,12.4,7.67,2.0,0.0,27.0,1.0,400.0
193,Fruit Smoothie Light,Juice,FALSE,52.0,0.62,2.62,9.72,7.02,31.0,0.0,27.0,1.0,384.615
194,Fruit Smoothie Nfs,Juice,FALSE,63.0,1.08,2.37,11.65,8.28,29.0,0.0,27.0,1.0,317.46
195,Fruit Smoothie With Whole Fruit And Dairy,Juice,FALSE,63.0,1.08,2.37,11.65,8.28,29.0,0.0,27.0,1.0,317.46
196,Fruit Smoothie With Whole Fruit And Dairy Added Protein,Juice,FALSE,77.0,1.22,7.31,9.72,7.2,41.0,0.0,27.0,1.0,259.74
197,Fruit Smoothie With Whole Fruit No Dairy,Juice,FALSE,53.0,0.28,0.64,13.1,8.2,2.0,0.0,27.0,1.0,377.358
198,Fruit Smoothie With Whole Fruit No Dairy Added Protein,Juice,FALSE,75.0,0.37,6.22,12.61,7.61,13.0,0.0,27.0,1.0,266.667
199,Fuze Orange Mango Fortified With Vitamins A C E B6,Juice,FALSE,38.0,0.06,0.68,9.2,9.0,10.0,0.0,500.0,16.0,526.316
200,Gerolsteiner Brunnen Gmbh & Co. Kggerolsteiner Naturally Sparkling Mineral Water,Water,TRUE,0.0,0.0,0.0,0.0,0.0,13.0,0.0,240.0,8.0,0.0
201,Ginger Ale,Soda,FALSE,34.0,0.0,0.0,8.0,8.0,7.0,0.0,30.5,1.0,588.235
202,Goat Milk,Milk,FALSE,69.0,4.14,3.56,4.45,4.45,50.0,0.0,30.5,1.0,289.855
203,Grape Drink Canned,Juice,FALSE,61.0,0.0,0.0,15.72,13.06,16.0,0.0,31.3,1.0,327.869
204,Grape Juice,Juice,FALSE,60.0,0.13,0.37,14.77,14.2,5.0,0.0,253.0,16.0,333.333
205,Grape Juice (With Added Vitamin C),Juice,FALSE,60.0,0.13,0.37,14.77,14.2,5.0,0.0,253.0,16.0,333.333
206,Grape Juice Canned Or Bottled Unsweetened With Added Ascorbic Acid And Calcium,Juice,FALSE,62.0,0.13,0.37,14.77,14.2,5.0,0.0,253.0,16.0,322.581
207,Grape Juice Drink Canned,Juice,FALSE,57.0,0.0,0.0,14.55,14.11,9.0,0.0,31.3,1.0,350.877
208,Grape Juice Drink Light,Juice,FALSE,21.0,0.05,0.13,5.17,4.97,4.0,0.0,30.0,1.0,952.381
209,Grape Soda,Soda,TRUE,43.0,0.0,0.0,11.2,0.0,15.0,0.0,31.0,1.0,465.116
210,Grapefruit Juice,Juice,FALSE,39.0,0.68,0.51,7.74,7.96,2.0,0.0,240.0,8.0,512.821
211,Grapefruit Juice 100% With Calcium Added,Juice,FALSE,38.0,0.1,0.5,8.69,8.33,1.0,0.0,31.0,1.0,526.316
212,Grapefruit Juice White Bottled Unsweetened Ocean Spray,Juice,FALSE,37.0,0.64,0.54,7.51,7.69,2.0,0.0,247.0,16.0,540.541
213,Grapefruit Juice White Canned Or Bottled Unsweetened,Juice,FALSE,37.0,0.66,0.55,7.54,7.69,2.0,0.0,247.0,16.0,540.541
214,Grapefruit Juice White Canned Sweetened,Juice,FALSE,46.0,0.09,0.58,11.13,11.03,2.0,0.0,250.0,16.0,434.783
215,Grapefruit Juice White Frozen Concentrate Unsweetened Diluted With 3 Volume Water,Juice,FALSE,41.0,0.13,0.55,9.73,9.63,1.0,0.0,247.0,16.0,487.805
216,Grapefruit Juice White Frozen Concentrate Unsweetened Undiluted,Juice,FALSE,146.0,0.48,1.97,34.56,34.16,3.0,0.0,207.0,6.0,136.986
217,Green Tea,Tea,TRUE,0.0,0.0,0.0,0.0,0.0,7.0,12.0,473.0,16.0,0.0
218,High Fat Milk (3.7% Fat),Milk,TRUE,64.0,3.66,3.28,4.65,0.0,49.0,0.0,244.0,16.0,312.5
219,Horchata,Milk,FALSE,54.0,0.71,0.48,11.52,9.36,14.0,0.0,228.0,16.0,370.37
220,Horchata Beverage Made With Milk,Milk,FALSE,90.0,0.61,1.4,19.71,9.6,10.0,0.0,248.0,16.0,222.222
221,Horchata Beverage Made With Water,Milk,FALSE,87.0,0.11,1.09,20.48,8.07,4.0,0.0,248.0,16.0,229.885
222,Hot Chocolate / Cocoa Made With Dry Mix And Fat Free Milk,Milk,FALSE,82.0,0.6,3.81,15.41,13.11,103.0,2.0,248.0,16.0,243.902
223,Hot Chocolate / Cocoa Made With Dry Mix And Low Fat Milk,Milk,FALSE,89.0,1.37,3.81,15.44,13.21,105.0,2.0,248.0,16.0,224.719
224,Hot Chocolate / Cocoa Made With Dry Mix And Non-Dairy Milk,Milk,FALSE,88.0,1.62,2.19,16.05,12.95,114.0,2.0,248.0,16.0,227.273
225,Hot Chocolate / Cocoa Made With Dry Mix And Reduced Fat Milk,Milk,FALSE,96.0,2.25,3.75,15.27,13.09,108.0,2.0,248.0,16.0,208.333
226,Hot Chocolate / Cocoa Made With Dry Mix And Whole Milk,Milk,FALSE,106.0,3.35,3.62,15.27,13.08,104.0,2.0,248.0,16.0,188.679
227,Hot Chocolate / Cocoa Ready To Drink,Milk,FALSE,91.0,1.61,2.68,16.45,15.32,66.0,3.0,248.0,16.0,219.78
228,Hot Chocolate / Cocoa Ready To Drink Made With Non-Dairy Milk,Milk,FALSE,83.0,1.02,1.23,17.23,15.23,73.0,3.0,248.0,16.0,240.964
229,Hot Chocolate / Cocoa Ready To Drink Made With Non-Dairy Milk And Whipped Cream,Milk,FALSE,95.0,2.68,1.3,16.54,14.64,71.0,3.0,248.0,16.0,210.526
230,Hot Chocolate / Cocoa Ready To Drink Made With Nonfat Milk,Milk,FALSE,78.0,0.06,2.74,16.58,15.34,62.0,3.0,248.0,16.0,256.41
231,Hot Chocolate / Cocoa Ready To Drink Made With Nonfat Milk And Whipped Cream,Milk,FALSE,90.0,1.77,2.75,15.92,14.75,60.0,3.0,248.0,16.0,222.222
232,Hot Chocolate / Cocoa Ready To Drink With Whipped Cream,Milk,FALSE,103.0,3.24,2.69,15.8,14.73,64.0,3.0,248.0,16.0,194.175
233,Hot Cocoa,Milk,FALSE,77.0,2.34,3.52,10.74,9.66,44.0,2.0,250.0,16.0,259.74
234,Ice Mocha,Coffee,FALSE,60.0,0.98,1.48,11.42,9.23,31.0,20.0,265.0,16.0,333.333
235,Iced Cafe Mocha,Coffee,FALSE,50.0,0.95,1.55,8.9,8.07,39.0,35.0,31.0,1.0,400.0
236,Iced Cafe Mocha Decaffeinated,Coffee,FALSE,51.0,0.95,1.56,8.94,8.11,39.0,2.0,31.0,1.0,392.157
237,Iced Cafe Mocha Decaffeinated Nonfat,Coffee,FALSE,43.0,0.06,1.59,9.02,8.13,37.0,2.0,31.0,1.0,465.116
238,Iced Cafe Mocha Decaffeinated With Non-Dairy Milk,Coffee,FALSE,46.0,0.62,0.72,9.38,8.05,43.0,2.0,31.0,1.0,434.783
239,Iced Cafe Mocha Nonfat,Coffee,FALSE,43.0,0.07,1.59,8.98,8.09,37.0,35.0,31.0,1.0,465.116
240,Iced Cafe Mocha With Non-Dairy Milk,Coffee,FALSE,46.0,0.61,0.72,9.34,8.01,43.0,35.0,31.0,1.0,434.783
241,Iced Coffee Brewed,Coffee,TRUE,1.0,0.02,0.09,0.0,0.0,2.0,31.0,30.0,1.0,20000.0
242,Iced Coffee Brewed Decaffeinated,Coffee,TRUE,0.0,0.0,0.08,0.0,0.0,2.0,1.0,30.0,1.0,0.0
243,Iced Coffee Pre-Lightened And Pre-Sweetened,Coffee,FALSE,30.0,1.1,0.25,4.91,4.95,6.0,27.0,31.0,1.0,666.667
244,Iced Latte,Coffee,FALSE,27.0,1.05,1.72,2.76,2.6,28.0,37.0,30.0,1.0,740.741
245,Iced Latte Decaffeinated,Coffee,FALSE,27.0,1.05,1.72,2.77,2.62,28.0,0.0,30.0,1.0,740.741
246,Iced Latte Decaffeinated Flavored,Coffee,FALSE,40.0,1.02,1.66,6.08,5.93,27.0,0.0,31.0,1.0,500.0
247,Iced Latte Decaffeinated Nonfat,Coffee,FALSE,19.0,0.07,1.76,2.85,2.63,25.0,0.0,30.0,1.0,1052.632
248,Iced Latte Decaffeinated Nonfat Flavored,Coffee,FALSE,32.0,0.07,1.7,6.16,5.94,24.0,0.0,31.0,1.0,625.0
249,Iced Latte Decaffeinated With Non-Dairy Milk,Coffee,FALSE,23.0,0.68,0.8,3.27,2.57,32.0,0.0,30.0,1.0,869.565
250,Iced Latte Decaffeinated With Non-Dairy Milk Flavored,Coffee,FALSE,35.0,0.66,0.77,6.56,5.87,31.0,0.0,31.0,1.0,571.429
251,Iced Latte Flavored,Coffee,FALSE,39.0,1.01,1.66,6.06,5.9,27.0,36.0,31.0,1.0,512.821
252,Iced Latte Nonfat,Coffee,FALSE,19.0,0.07,1.75,2.84,2.62,25.0,37.0,30.0,1.0,1052.632
253,Iced Latte Nonfat Flavored,Coffee,FALSE,32.0,0.07,1.69,6.14,5.91,24.0,36.0,31.0,1.0,625.0
254,Iced Latte With Non-Dairy Milk,Coffee,FALSE,22.0,0.68,0.8,3.26,2.55,32.0,37.0,30.0,1.0,909.091
255,Iced Latte With Non-Dairy Milk Flavored,Coffee,FALSE,35.0,0.66,0.77,6.53,5.84,31.0,36.0,31.0,1.0,571.429
256,Iced Tea / Lemonade Juice Drink,Tea,FALSE,33.0,0.03,0.2,9.17,7.2,12.0,10.0,30.0,1.0,606.061
257,Iced Tea / Lemonade Juice Drink Diet,Tea,TRUE,2.0,0.0,0.0,0.57,0.0,4.0,4.0,30.0,1.0,10000.0
258,Iced Tea / Lemonade Juice Drink Light,Juice,FALSE,21.0,0.04,0.22,6.13,3.86,13.0,9.0,30.0,1.0,952.381
259,Instand Decaffeinated Coffee,Coffee,TRUE,3.0,0.0,0.1,0.64,0.0,4.0,1.0,30.0,1.0,6666.667
260,Instant Cafe Mocha Sweetened,Coffee,FALSE,460.0,15.87,5.29,74.04,58.2,317.0,360.0,13.0,1.0,43.478
261,Instant Chicory Coffee,Coffee,TRUE,3.0,0.0,0.09,0.75,0.0,7.0,21.0,29.9,1.0,6666.667
262,Instant Coffee,Coffee,TRUE,3.0,0.0,0.1,0.63,0.0,4.0,26.0,30.0,1.0,6666.667
263,Instant Coffee 50% Less Caffeine Reconstituted,Coffee,TRUE,3.0,0.0,0.12,0.61,0.0,4.0,13.0,30.0,1.0,6666.667
264,Instant Coffee with Sugar ,Coffee,FALSE,16.0,0.0,0.1,3.98,3.36,4.0,25.0,31.0,1.0,1250.0
265,Juice Apple And Grape Blend With Added Ascorbic Acid,Juice,FALSE,50.0,0.12,0.16,12.46,10.92,7.0,0.0,250.0,8.0,400.0
266,Juice Apple Grape And Pear Blend With Added Ascorbic Acid And Calcium,Juice,FALSE,52.0,0.12,0.17,12.96,9.95,5.0,0.0,250.0,8.0,384.615
267,Kefir Ns As To Fat Content,Milk,FALSE,52.0,0.92,3.59,7.34,6.91,38.0,0.0,244.0,16.0,384.615
268,Kiwi Strawberry Juice Drink,Juice,FALSE,47.0,0.0,0.0,12.26,11.63,11.0,0.0,473.0,16.0,425.532
269,Latte,Coffee,FALSE,43.0,1.68,2.76,4.27,4.2,41.0,36.0,30.0,1.0,465.116
270,Latte Decaffeinated,Coffee,FALSE,43.0,1.68,2.77,4.29,4.23,42.0,0.0,30.0,1.0,465.116
271,Latte Decaffeinated Flavored,Coffee,FALSE,55.0,1.63,2.68,7.46,7.39,40.0,0.0,31.0,1.0,363.636
272,Latte Decaffeinated Nonfat,Coffee,FALSE,30.0,0.1,2.83,4.42,4.25,37.0,0.0,30.0,1.0,666.667
273,Latte Decaffeinated Nonfat Flavored,Coffee,FALSE,42.0,0.09,2.74,7.59,7.42,36.0,0.0,31.0,1.0,476.19
274,Latte Decaffeinated With Non-Dairy Milk,Coffee,FALSE,35.0,1.08,1.28,5.09,4.14,48.0,0.0,30.0,1.0,571.429
275,Latte Decaffeinated With Non-Dairy Milk Flavored,Coffee,FALSE,47.0,1.04,1.24,8.22,7.3,47.0,0.0,31.0,1.0,425.532
276,Latte Flavored,Coffee,FALSE,54.0,1.62,2.67,7.42,7.35,40.0,35.0,31.0,1.0,370.37
277,Latte Nonfat,Coffee,FALSE,30.0,0.1,2.82,4.4,4.23,37.0,36.0,30.0,1.0,666.667
278,Latte Nonfat Flavored,Coffee,FALSE,42.0,0.09,2.73,7.55,7.38,36.0,35.0,31.0,1.0,476.19
279,Latte With Non-Dairy Milk,Coffee,FALSE,35.0,1.07,1.28,5.07,4.12,48.0,36.0,30.0,1.0,571.429
280,Latte With Non-Dairy Milk Flavored,Coffee,FALSE,47.0,1.04,1.23,8.18,7.26,47.0,35.0,31.0,1.0,425.532
281,Lemonade Frozen Concentrate Pink,Juice,FALSE,192.0,0.69,0.22,48.86,46.46,4.0,0.0,36.4,1.0,104.167
282,Lemonade Frozen Concentrate Pink,Juice,FALSE,192.0,0.69,0.22,48.86,46.46,4.0,0.0,36.4,1.0,104.167
283,Lemonade Frozen Concentrate Pink Prepared With Water,Juice,FALSE,43.0,0.15,0.05,10.81,10.28,4.0,0.0,30.9,1.0,465.116
284,Lemonade Frozen Concentrate White,Juice,FALSE,196.0,0.7,0.22,49.89,44.46,7.0,0.0,36.5,1.0,102.041
285,Lemonade Frozen Concentrate White,Juice,FALSE,196.0,0.7,0.22,49.89,44.46,7.0,0.0,36.5,1.0,102.041
286,Lemonade Frozen Concentrate White Prepared With Water,Juice,FALSE,40.0,0.04,0.07,10.42,9.98,4.0,0.0,30.9,1.0,500.0
287,Lemonade Fruit Flavored Drink,Juice,FALSE,25.0,0.07,0.0,6.55,6.5,12.0,0.0,31.0,1.0,800.0
288,Lemonade Fruit Juice Drink Light Fortified With Vitamin E And C,Juice,FALSE,21.0,0.0,0.0,5.0,5.0,5.0,0.0,240.0,8.0,952.381
289,Limeade Frozen Concentrate Prepared With Water,Juice,FALSE,52.0,0.0,0.0,13.79,13.27,3.0,0.0,30.9,1.0,384.615
290,Lipton Brisk Tea Black Ready-To-Drink Lemon,Tea,FALSE,35.0,0.0,0.0,8.81,8.69,21.0,2.0,30.6,1.0,571.429
291,Low Calorie Cola,Soda,TRUE,0.0,0.0,0.0,0.1,0.0,16.0,11.0,29.6,1.0,0.0
292,Low Carb Monster Energy Drink,Energy Drink,FALSE,5.0,0.0,0.0,1.38,1.38,75.0,30.0,240.0,8.0,4000.0
293,Low-Fat Milk 1%,Milk,FALSE,42.0,0.97,3.37,4.99,5.2,44.0,0.0,244.0,16.0,476.19
294,Low-Fat Milk 2%,Milk,FALSE,50.0,1.98,3.3,4.8,5.06,47.0,0.0,244.0,16.0,400.0
295,Lowfat Buttermilk,Milk,FALSE,40.0,1.07,3.31,4.79,5.36,148.0,0.0,245.0,16.0,500.0
296,Lowfat Chocolate Milk,Milk,FALSE,76.0,1.9,2.99,12.13,9.55,66.0,1.0,250.0,16.0,263.158
297,Macchiato,Coffee,FALSE,23.0,0.8,1.16,2.72,1.68,24.0,142.0,30.0,1.0,869.565
298,Macchiato Sweetened,Coffee,FALSE,38.0,0.76,1.11,6.91,5.91,23.0,136.0,31.0,1.0,526.316
299,Malted Drink Mix Chocolate A Prepared With Whole Milk,Other,FALSE,85.0,3.29,3.37,11.2,6.68,60.0,3.0,265.0,8.0,235.294
300,Malted Drink Mix Natural With Added Nutrients A Prepared With Whole Milk,Other,FALSE,86.0,3.21,3.67,10.67,8.37,72.0,0.0,265.0,8.0,232.558
301,Meal Supplement Drink Canned Peanut Flavor,Other,TRUE,101.0,3.07,3.5,14.74,0.0,54.0,0.0,158.0,16.0,198.02
302,Milk And Soy Chocolate Drink,Milk,FALSE,101.0,1.69,4.22,17.3,8.44,63.0,0.0,237.0,8.0,198.02
303,Milk Beverage Reduced Fat Flavored And Sweetened Ready-To-Drink Added Calcium Vitamin A And Vitamin D,Milk,FALSE,77.0,1.83,3.05,12.08,11.4,49.0,0.0,244.0,16.0,259.74
304,Milk Buttermilk Fluid Cultured Reduced Fat,Milk,FALSE,56.0,2.0,4.1,5.3,5.3,105.0,0.0,245.0,16.0,357.143
305,Milk Canned Evaporated With Added Vitamin D And Without Added Vitamin A,Milk,FALSE,134.0,7.56,6.81,10.04,10.04,106.0,0.0,31.5,1.0,149.254
306,Milk Chocolate Fluid Commercial Whole With Added Vitamin A And Vitamin D,Milk,FALSE,83.0,3.39,3.17,10.34,9.54,60.0,1.0,250.0,16.0,240.964
307,Milk Chocolate Lowfat With Added Vitamin A And Vitamin D,Milk,FALSE,64.0,1.11,3.46,10.15,9.94,65.0,1.0,250.0,16.0,312.5
308,Milk Dry Nonfat Calcium Reduced,Milk,TRUE,354.0,0.2,35.5,51.8,0.0,2280.0,0.0,28.4,1.0,56.497
309,Milk Dry Nonfat Instant With Added Vitamin A And Vitamin D,Milk,FALSE,358.0,0.72,35.1,52.19,52.19,549.0,0.0,68.0,16.0,55.866
310,Milk Evaporated 2% Fat With Added Vitamin A And Vitamin D,Milk,FALSE,107.0,2.0,6.67,15.74,6.67,100.0,0.0,252.0,16.0,186.916
311,Milk Fluid 1% Fat Without Added Vitamin A And Vitamin D,Milk,FALSE,42.0,0.97,3.37,4.99,5.2,44.0,0.0,244.0,16.0,476.19
312,Milk Fluid Nonfat Calcium Fortified (Fat Free Or Skim),Milk,FALSE,35.0,0.18,3.4,4.85,4.85,52.0,0.0,247.0,16.0,571.429
313,Milk Imitation Non-Soy,Milk,FALSE,46.0,2.0,1.6,5.3,5.3,55.0,0.0,244.0,16.0,434.783
314,Milk Low Sodium Fluid,Milk,FALSE,61.0,3.46,3.1,4.46,4.46,3.0,0.0,244.0,16.0,327.869
315,Milk Lowfat Fluid 1% Milkfat Protein Fortified With Added Vitamin A And Vitamin D,Milk,TRUE,48.0,1.17,3.93,5.52,0.0,58.0,0.0,246.0,16.0,416.667
316,Milk Lowfat Fluid 1% Milkfat With Added Nonfat Milk Solids Vitamin A And Vitamin D,Milk,TRUE,43.0,0.97,3.48,4.97,0.0,52.0,0.0,245.0,16.0,465.116
317,Milk Malted,Milk,FALSE,65.0,1.96,3.13,8.65,8.0,70.0,0.0,256.0,16.0,307.692
318,Milk Nonfat Fluid Protein Fortified With Added Vitamin A And Vitamin D (Fat Free And Skim),Milk,TRUE,41.0,0.25,3.96,5.56,0.0,59.0,0.0,246.0,16.0,487.805
319,Milk Nonfat Fluid With Added Nonfat Milk Solids Vitamin A And Vitamin D (Fat Free Or Skim),Milk,FALSE,37.0,0.25,3.57,5.02,5.02,53.0,0.0,245.0,16.0,540.541
320,Milk Reduced Fat Fluid 2% Milkfat Protein Fortified With Added Vitamin A And Vitamin D,Milk,FALSE,56.0,1.98,3.95,5.49,5.26,59.0,0.0,246.0,16.0,357.143
321,Milk Reduced Fat Fluid 2% Milkfat With Added Nonfat Milk Solids And Vitamin A And Vitamin D,Milk,TRUE,51.0,1.92,3.48,4.97,0.0,52.0,0.0,245.0,16.0,392.157
322,Milk Reduced Fat Fluid 2% Milkfat With Added Nonfat Milk Solids Without Added Vitamin A,Milk,TRUE,56.0,1.98,3.95,5.49,0.0,59.0,0.0,245.0,16.0,357.143
323,Milk Shake Bottled Chocolate,Other,FALSE,150.0,6.66,3.7,20.36,13.39,80.0,5.0,31.0,1.0,133.333
324,Milk Shake Home Recipe Chocolate,Other,FALSE,120.0,6.18,3.4,13.64,12.72,55.0,1.0,28.0,1.0,166.667
325,Milk Shake Home Recipe Chocolate Light,Other,FALSE,97.0,3.32,3.98,12.81,12.57,54.0,1.0,28.0,1.0,206.186
326,Milk Shake Home Recipe Flavors Other Than Chocolate,Other,FALSE,116.0,6.18,3.28,11.9,11.16,57.0,0.0,28.0,1.0,172.414
327,Milk Shake Home Recipe Flavors Other Than Chocolate Light,Oher,FALSE,94.0,2.43,3.9,14.23,11.59,55.0,0.0,28.0,1.0,212.766
328,Milk Shake With Malt,Other,FALSE,127.0,6.3,3.68,14.06,12.48,70.0,0.0,28.0,1.0,157.48
329,Milk Shakes Thick Chocolate,Other,FALSE,119.0,2.7,3.05,21.15,20.85,111.0,2.0,28.4,1.0,168.067
330,Milk Shakes Thick Vanilla,Other,FALSE,112.0,3.03,3.86,17.75,17.75,95.0,0.0,28.4,1.0,178.571
331,Milk Whole 3.25% Milkfat Without Added Vitamin A And Vitamin D,Milk,FALSE,61.0,3.27,3.15,4.78,5.05,43.0,0.0,244.0,16.0,327.869
332,Minute Maid Lemonada Limeade,Juice,FALSE,50.0,0.0,0.0,13.75,12.92,6.0,0.0,240.0,8.0,400.0
333,Minute Maid Lemonade,Juice,FALSE,46.0,0.0,0.0,12.08,11.67,6.0,0.0,240.0,8.0,434.783
334,Mixed Berry Powerade Zero,Energy Drink,TRUE,0.0,0.0,0.0,0.14,0.0,42.0,0.0,360.0,12.0,0.0
335,Mixed Vegetable And Fruit Juice Drink With Added Nutrients,Juice,FALSE,29.0,0.01,0.04,7.47,2.1,21.0,0.0,247.0,8.0,689.655
336,Motts Light Apple Juice,Juice,FALSE,22.0,0.1,0.0,5.1,4.8,13.0,0.0,240.0,8.0,909.091
337,Nestle Boost Plus Nutritional Drink Ready-To-Drink,Other,FALSE,138.0,5.38,5.38,17.29,8.46,77.0,0.0,237.0,8.0,144.928
338,Non-Dairy Milk Nfs,Milk,FALSE,32.0,1.25,1.12,3.95,3.24,58.0,0.0,244.0,16.0,625.0
339,Nutritional Drink Or Shake High Protein Ready-To-Drink (Slim Fast),Other,FALSE,58.0,2.88,6.59,0.85,0.6,72.0,0.0,248.0,16.0,344.828
340,Nutritional Drink Or Shake High Protein Ready-To-Drink Nfs,Other,FALSE,58.0,2.88,6.59,0.85,0.6,72.0,0.0,256.0,16.0,344.828
341,Nutritional Drink Or Shake Ready-To-Drink (Carnation Instant Breakfast),Other,FALSE,91.0,1.96,5.46,12.93,13.08,89.0,3.0,248.0,16.0,219.78
342,Nutritional Drink Or Shake Ready-To-Drink (Kellogg's Special K Protein),Other,FALSE,64.0,1.6,3.2,9.2,5.95,73.0,0.0,32.0,1.0,312.5
343,Nutritional Drink Or Shake Ready-To-Drink (Muscle Milk),Other,FALSE,49.0,2.01,5.87,2.06,0.78,95.0,0.0,256.0,16.0,408.163
344,Nutritional Drink Or Shake Ready-To-Drink Light (Muscle Milk),Other,FALSE,38.0,1.15,4.78,2.1,0.38,27.0,0.0,256.0,16.0,526.316
345,Nuts Coconut Milk Frozen (Liquid Expressed From Grated Meat And Water),Milk,TRUE,202.0,20.8,1.61,5.58,0.0,12.0,0.0,240.0,16.0,99.01
346,Oatmeal Beverage With Milk,Milk,FALSE,82.0,1.57,1.69,15.59,14.08,21.0,0.0,248.0,16.0,243.902
347,Oatmeal Beverage With Water,Other,FALSE,43.0,0.12,0.25,10.64,9.36,4.0,0.0,31.0,1.0,465.116
348,Ocean Spray Cran Cherry,Juice,FALSE,46.0,0.0,0.19,12.76,12.2,7.0,0.0,248.0,8.0,434.783
349,Ocean Spray Cran Grape,Juice,FALSE,54.0,0.0,0.21,13.16,12.6,19.0,0.0,240.0,8.0,370.37
350,Ocean Spray Cran Lemonade,Juice,FALSE,45.0,0.0,0.07,11.12,10.4,52.0,0.0,247.0,8.0,444.444
351,Ocean Spray Cran Pomegranate,Juice,FALSE,47.0,0.01,0.07,12.56,12.0,12.0,0.0,248.0,8.0,425.532
352,Ocean Spray Cran Raspberry Juice Drink,Juice,FALSE,49.0,0.0,0.28,11.96,11.4,14.0,0.0,248.0,8.0,408.163
353,Ocean Spray Cran-Energy Cranberry Energy Juice Drink,Energy Drink,FALSE,15.0,0.0,0.0,3.75,3.75,21.0,23.0,250.0,8.0,1333.333
354,Ocean Spray Cranberry-Apple Juice Drink Bottled,Juice,FALSE,56.0,0.0,0.29,13.68,13.12,19.0,0.0,249.0,16.0,357.143
355,Ocean Spray Diet Cran Cherry,Juice,FALSE,4.0,0.0,0.21,0.7,0.22,8.0,0.0,237.0,8.0,5000.0
356,Ocean Spray Diet Cranberry Juice,Juice,FALSE,4.0,0.0,0.07,0.8,0.25,7.0,0.0,237.0,8.0,5000.0
357,Ocean Spray Light Cranberry,Juice,FALSE,19.0,0.01,0.22,4.72,3.97,15.0,0.0,248.0,8.0,1052.632
358,Ocean Spray Light Cranberry And Raspberry Flavored Juice,Juice,FALSE,26.0,0.0,0.73,5.77,5.02,2.0,0.0,242.0,8.0,769.231
359,Ocean Spray Light Cranberry Concord Grape,Juice,FALSE,23.0,0.02,0.36,5.78,5.02,8.0,0.0,248.0,8.0,869.565
360,Ocean Spray Ruby Red Cranberry,Juice,FALSE,45.0,0.01,0.07,11.58,11.02,11.0,0.0,227.0,8.0,444.444
361,Ocean Spray White Cranberry Peach,Juice,FALSE,45.0,0.01,0.13,11.88,11.32,11.0,0.0,247.0,8.0,444.444
362,Ocean Spray White Cranberry Strawberry Flavored Juice Drink,Juice,FALSE,49.0,0.01,0.22,11.98,11.42,3.0,0.0,247.0,8.0,408.163
363,Orange And Apricot Juice Drink Canned,Juice,FALSE,51.0,0.1,0.3,12.7,12.06,2.0,0.0,31.2,1.0,392.157
364,Orange Breakfast Drink Ready-To-Drink With Added Nutrients,Juice,FALSE,53.0,0.0,0.0,13.2,8.02,54.0,0.0,31.6,1.0,377.358
365,Orange Drink Breakfast Type With Juice And Pulp Frozen Concentrate,Juice,FALSE,153.0,0.0,0.4,39.0,38.05,26.0,0.0,36.3,1.0,130.719
366,Orange Drink Breakfast Type With Juice And Pulp Frozen Concentrate,Juice,FALSE,153.0,0.0,0.4,39.0,38.05,26.0,0.0,36.3,1.0,130.719
367,Orange Drink Breakfast Type With Juice And Pulp Frozen Concentrate Prepared With Water,Juice,FALSE,45.0,0.0,0.12,11.32,11.05,10.0,0.0,31.3,1.0,444.444
368,Orange Drink Canned With Added Vitamin C,Juice,FALSE,49.0,0.07,0.0,12.34,11.03,3.0,0.0,31.0,1.0,408.163
369,Orange Juice,Juice,FALSE,45.0,0.2,0.7,10.4,8.4,1.0,0.0,248.0,16.0,444.444
370,Orange Juice (canned),Juice,FALSE,47.0,0.15,0.68,11.01,8.76,4.0,0.0,249.0,16.0,425.532
371,Orange Juice 100% Nfs,Juice,FALSE,48.0,0.12,0.68,11.45,8.31,2.0,0.0,31.0,1.0,416.667
