id,Name,Type,Sugar Free?,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Sodium (mg),Caffeine (mg),Serving Weight (g),Serving Description (fl oz),200 Calorie Weight (g)
45,Chocolate Milk Made From Dry Mix With Whole Milk,Milk,FALSE,82.0,3.19,3.24,10.06,9.77,49.0,0.0,248.0,16.0,243.902
46,Chocolate Milk Made From Light Syrup Ns As To Type Of Milk,Milk,FALSE,64.0,1.91,3.03,8.58,8.03,51.0,1.0,248.0,16.0,312.5
47,Chocolate Milk Made From Light Syrup With Fat Free Milk,Milk,FALSE,49.0,0.19,3.12,8.67,8.04,49.0,1.0,248.0,16.0,408.163
48,Chocolate Milk Made From Light Syrup With Low Fat Milk,Milk,FALSE,56.0,0.97,3.12,8.7,8.13,51.0,1.0,248.0,16.0,357.143
49,Chocolate Milk Made From Light Syrup With Non-Dairy Milk,Milk,FALSE,55.0,1.22,1.5,9.37,7.91,61.0,1.0,248.0,16.0,363.636
50,Chocolate Milk Made From Light Syrup With Reduced Fat Milk,Milk,FALSE,63.0,1.85,3.06,8.53,8.01,54.0,1.0,248.0,16.0,317.46
51,Chocolate Milk Made From Light Syrup With Whole Milk,Milk,FALSE,73.0,2.96,2.93,8.53,8.0,50.0,1.0,248.0,16.0,273.973
52,Chocolate Milk Made From No Sugar Added Dry Mix Ns As To Type Of Milk (Nesquik),Milk,FALSE,65.0,2.35,3.52,7.39,6.04,70.0,0.0,248.0,16.0,307.692
53,Chocolate Milk Made From No Sugar Added Dry Mix With Fat Free Milk (Nesquik),Milk,FALSE,49.0,0.47,3.62,7.49,6.05,68.0,0.0,248.0,16.0,408.163
54,Chocolate Milk Made From No Sugar Added Dry Mix With Low Fat Milk (Nesquik),Milk,FALSE,56.0,1.32,3.62,7.52,6.15,70.0,0.0,248.0,16.0,357.143
55,Chocolate Milk Made From No Sugar Added Dry Mix With Non-Dairy Milk (Nesquik),Milk,FALSE,55.0,1.59,1.84,8.25,5.91,80.0,0.0,248.0,16.0,363.636
56,Chocolate Milk Made From No Sugar Added Dry Mix With Reduced Fat Milk (Nesquik),Milk,FALSE,64.0,2.29,3.55,7.34,6.02,72.0,0.0,248.0,16.0,312.5
57,Chocolate Milk Made From No Sugar Added Dry Mix With Whole Milk (Nesquik),Milk,FALSE,74.0,3.5,3.41,7.34,6.01,69.0,0.0,248.0,16.0,270.27
58,Chocolate Milk Made From Reduced Sugar Mix Ns As To Type Of Milk,Milk,FALSE,65.0,2.35,3.52,7.39,6.04,70.0,0.0,248.0,16.0,307.692
59,Chocolate Milk Made From Reduced Sugar Mix With Fat Free Milk,Milk,FALSE,49.0,0.47,3.62,7.49,6.05,68.0,0.0,248.0,16.0,408.163
60,Chocolate Milk Made From Reduced Sugar Mix With Low Fat Milk,Milk,FALSE,56.0,1.32,3.62,7.52,6.15,70.0,0.0,248.0,16.0,357.143
61,Chocolate Milk Made From Reduced Sugar Mix With Non-Dairy Milk,Milk,FALSE,55.0,1.59,1.84,8.25,5.91,80.0,0.0,248.0,16.0,363.636
62,Chocolate Milk Made From Reduced Sugar Mix With Reduced Fat Milk,Milk,FALSE,64.0,2.29,3.55,7.34,6.02,72.0,0.0,248.0,16.0,312.5
63,Chocolate Milk Made From Reduced Sugar Mix With Whole Milk,Milk,FALSE,74.0,3.5,3.41,7.34,6.01,69.0,0.0,248.0,16.0,270.27
64,Chocolate Milk Made From Sugar Free Syrup Ns As To Type Of Milk,Milk,FALSE,50.0,2.04,3.22,6.02,4.48,82.0,2.0,248.0,16.0,400.0
65,Chocolate Milk Made From Sugar Free Syrup With Fat Free Milk,Milk,FALSE,35.0,0.32,3.31,6.12,4.49,80.0,2.0,248.0,16.0,571.429
66,Chocolate Milk Made From Sugar Free Syrup With Low Fat Milk,Milk,FALSE,42.0,1.1,3.31,6.14,4.58,82.0,2.0,248.0,16.0,476.19
67,Chocolate Milk Made From Sugar Free Syrup With Non-Dairy Milk,Milk,FALSE,41.0,1.35,1.68,6.81,4.36,91.0,2.0,248.0,16.0,487.805
68,Chocolate Milk Made From Sugar Free Syrup With Reduced Fat Milk,Milk,FALSE,49.0,1.99,3.25,5.98,4.46,84.0,2.0,248.0,16.0,408.163
69,Chocolate Milk Made From Sugar Free Syrup With Whole Milk,Milk,FALSE,59.0,3.1,3.12,5.98,4.45,81.0,2.0,248.0,16.0,338.983
70,Chocolate Milk Made From Syrup Ns As To Type Of Milk,Milk,FALSE,80.0,1.77,2.83,13.16,12.4,59.0,2.0,248.0,16.0,250.0
71,Chocolate Milk Made From Syrup With Fat Free Milk,Milk,FALSE,65.0,0.07,2.92,13.25,12.4,56.0,2.0,248.0,16.0,307.692
72,Chocolate Milk Made From Syrup With Low Fat Milk,Milk,FALSE,72.0,0.84,2.92,13.28,12.5,58.0,2.0,248.0,16.0,277.778
73,Chocolate Milk Made From Syrup With Non-Dairy Milk,Milk,FALSE,71.0,1.09,1.31,13.94,12.28,68.0,2.0,248.0,16.0,281.69
74,Chocolate Milk Made From Syrup With Reduced Fat Milk,Milk,FALSE,79.0,1.72,2.86,13.11,12.38,61.0,2.0,248.0,16.0,253.165
75,Chocolate Milk Made From Syrup With Whole Milk,Milk,FALSE,89.0,2.82,2.73,13.11,12.37,57.0,2.0,248.0,16.0,224.719
76,Chocolate Milk Ready To Drink Low Fat,Milk,FALSE,62.0,1.0,3.46,9.86,9.94,65.0,1.0,31.0,1.0,322.581
77,Chocolate Milk Ready To Drink Low Fat (Nesquik),Milk,FALSE,62.0,1.0,3.46,9.86,9.94,65.0,1.0,248.0,16.0,322.581
78,Chocolate Milk Ready To Drink Low Fat No Sugar Added (Nesquik),Milk,FALSE,62.0,1.0,3.46,9.86,9.94,65.0,1.0,248.0,16.0,322.581
79,Chocolate Milk Ready To Drink Reduced Sugar Ns As To Milk,Milk,FALSE,54.0,1.04,3.43,7.68,7.29,66.0,0.0,248.0,16.0,370.37
80,Chocolate Syrup Prepared With Whole Milk,Milk,FALSE,90.0,2.96,3.07,12.78,11.31,47.0,2.0,282.0,8.0,222.222
81,Citrus Energy Drink,Energy Drink,FALSE,45.0,0.0,0.0,11.27,10.42,10.0,13.0,240.0,8.0,444.444
82,Citrus Fruit Juice Drink Frozen Concentrate Prepared With Water,Juice,FALSE,46.0,0.03,0.34,11.42,8.13,4.0,0.0,31.0,1.0,434.783
83,Citrus Green Tea,Tea,TRUE,1.0,0.0,0.0,0.31,0.0,26.0,5.0,265.0,16.0,20000.0
84,Clam And Tomato Juice Canned,Juice,FALSE,48.0,0.2,0.6,10.95,3.31,362.0,0.0,30.2,1.0,416.667
85,Club Soda,Soda,TRUE,0.0,0.0,0.0,0.0,0.0,21.0,0.0,29.6,1.0,0.0
86,Coca-Cola Powerade Lemon-Lime Flavored Ready-To-Drink,Soda,FALSE,32.0,0.05,0.0,7.84,6.11,42.0,0.0,30.5,1.0,625.0
87,Coconut Milk,Milk,TRUE,197.0,21.33,2.02,2.81,0.0,13.0,0.0,226.0,16.0,101.523
88,Coconut Milk Sweetened Fortified With Calcium Vitamins A B12 D2,Milk,FALSE,31.0,2.08,0.21,2.92,2.5,19.0,0.0,240.0,16.0,645.161
89,Coconut Water,Juice,FALSE,19.0,0.2,0.72,3.71,2.61,105.0,0.0,240.0,16.0,1052.632
90,Coconut Water Ready-To-Drink Unsweetened,Juice,FALSE,18.0,0.0,0.22,4.24,3.92,26.0,0.0,245.0,16.0,1111.111
91,Coffee,Coffee,TRUE,1.0,0.02,0.12,0.0,0.0,2.0,40.0,29.6,1.0,20000.0
92,Coffee Ready To Drink Milk Based Sweetened,Coffee,FALSE,71.0,1.38,1.98,12.6,10.67,26.0,28.0,262.0,16.0,281.69
93,Coffee Ready To Drink Vanilla Light Milk Based Sweetened,Coffee,FALSE,36.0,1.07,2.14,4.27,3.91,34.0,18.0,281.0,16.0,555.556
94,Coffee Substitute Cereal Grain Beverage A Prepared With Whole Milk,Coffee,TRUE,65.0,3.3,3.3,5.6,0.0,49.0,0.0,185.0,6.0,307.692
95,Coffee Substitute Cereal Grain Beverage Prepared With Water,Other,FALSE,6.0,0.04,0.1,1.3,0.08,5.0,0.0,30.1,1.0,3333.333
96,Coffee Turkish,Coffee,FALSE,26.0,0.02,0.11,6.49,6.48,2.0,37.0,31.0,1.0,769.231
97,Cola Soft Drink,Soda,FALSE,42.0,0.25,0.0,10.36,9.94,3.0,9.0,30.7,1.0,476.19
98,Cranberry Juice Cocktail,Juice,FALSE,52.0,0.34,0.0,12.25,11.41,2.0,0.0,271.0,16.0,384.615
99,Cranberry Juice Cocktail Bottled,Juice,FALSE,54.0,0.1,0.0,13.52,11.87,2.0,0.0,31.6,1.0,370.37
100,Cranberry Juice Cocktail Bottled Low Calorie With Calcium Saccharin And Corn Sweetener,Juice,FALSE,19.0,0.01,0.02,4.6,4.59,3.0,0.0,29.6,1.0,1052.632
101,Cranberry Juice Cocktail Frozen Concentrate,Juice,FALSE,201.0,0.0,0.05,51.45,42.5,4.0,0.0,36.2,1.0,99.502
102,Cranberry Juice Cocktail Frozen Concentrate,Juice,FALSE,201.0,0.0,0.05,51.45,42.5,4.0,0.0,36.2,1.0,99.502
103,Cranberry Juice Cocktail Frozen Concentrate Prepared With Water,Juice,FALSE,47.0,0.0,0.01,11.81,9.76,4.0,0.0,29.6,1.0,425.532
104,Cranberry-Apple Juice Drink Bottled,Juice,FALSE,63.0,0.11,0.0,15.85,14.5,2.0,0.0,30.6,1.0,317.46
105,Cranberry-Apple Juice Drink Low Calorie With Vitamin C Added,Juice,FALSE,19.0,0.0,0.1,4.7,4.6,5.0,0.0,240.0,8.0,1052.632
106,Cranberry-Apricot Juice Drink Bottled,Juice,TRUE,64.0,0.0,0.2,16.2,0.0,2.0,0.0,30.6,1.0,312.5
107,Cranberry-Grape Juice Drink Bottled,Juice,TRUE,56.0,0.1,0.2,14.0,0.0,3.0,0.0,30.6,1.0,357.143
108,Cream Soda,Soda,FALSE,51.0,0.0,0.0,13.3,13.3,12.0,0.0,30.9,1.0,392.157
109,Cuban Coffee,Coffee,FALSE,33.0,0.17,0.11,7.86,6.28,13.0,199.0,31.0,1.0,606.061
110,Cytosport Muscle Milk Ready-To-Drink,Milk,FALSE,52.0,2.17,5.87,2.28,0.78,95.0,0.0,414.0,14.0,384.615
111,Dairy Drink Mix Chocolate Reduced Calorie With Aspartame A Prepared With Water And Ice,Milk,FALSE,29.0,0.23,2.19,4.51,2.89,61.0,2.0,243.0,8.0,689.655
112,Dairy Drink Mix Chocolate Reduced Calorie With Low-Calorie Sweeteners A,Milk,FALSE,329.0,2.6,25.0,51.4,32.94,659.0,25.0,21.0,0.75,60.79
113,Dairy Drink Mix Chocolate Reduced Calorie With Low-Calorie Sweeteners A,Milk,FALSE,329.0,2.6,25.0,51.4,32.94,659.0,25.0,21.0,0.75,60.79
114,Decaf Coffee,Coffee,TRUE,0.0,0.0,0.1,0.0,0.0,2.0,1.0,29.6,1.0,0.0
115,Diet Cola,Juice,FALSE,20.0,0.0,0.0,5.16,5.16,4.0,9.0,29.6,1.0,1000.0
116,Diet Green Tea,Tea,FALSE,4.0,0.0,0.0,0.93,0.93,6.0,4.0,269.0,16.0,5000.0
117,Diet Pepper Cola,Soda,TRUE,1.0,0.0,0.12,0.12,0.0,4.0,0.0,29.6,1.0,20000.0
118,Eggnog,Milk,FALSE,88.0,4.19,4.55,8.05,8.05,54.0,0.0,254.0,16.0,227.273
119,Eggnog Lowfat / Light,Milk,FALSE,74.0,3.17,4.74,6.51,6.62,61.0,0.0,256.0,16.0,270.27
120,Eggnog-Flavor Mix A Prepared With Whole Milk,Milk,FALSE,95.0,3.02,2.93,14.2,12.66,55.0,0.0,272.0,8.0,210.526
121,Energy Drink Amp,Energy Drink,FALSE,46.0,0.08,0.25,12.08,12.08,27.0,31.0,240.0,8.0,434.783
122,Energy Drink Amp Sugar Free,Energy Drink,TRUE,2.0,0.0,0.0,1.03,0.0,31.0,30.0,240.0,8.0,10000.0
123,Energy Drink Full Throttle,Energy Drink,FALSE,46.0,0.08,0.25,12.08,12.08,35.0,33.0,240.0,8.0,434.783
124,Energy Drink Monster Fortified With Vitamins C B2 B3 B6 B12,Energy Drink,FALSE,47.0,0.0,0.47,11.28,10.93,77.0,33.0,240.0,8.0,425.532
125,Energy Drink Red Bull,Energy Drink,FALSE,43.0,0.0,0.46,10.23,10.22,39.0,29.0,258.0,8.4,465.116
126,Energy Drink Red Bull Sugar Free With Added Caffeine Niacin Pantothenic Acid Vitamins B6 And B12,Energy Drink,TRUE,5.0,0.08,0.25,0.7,0.0,83.0,30.0,250.0,8.3,4000.0
127,Energy Drink Rockstar,Energy Drink,FALSE,58.0,0.22,0.34,12.7,12.26,16.0,33.0,31.0,1.0,344.828
128,Energy Drink Rockstar Sugar Free,Energy Drink,TRUE,4.0,0.08,0.25,0.7,0.0,52.0,33.0,240.0,8.0,5000.0
129,Energy Drink Sugar Free,Energy Drink,TRUE,4.0,0.0,0.42,0.42,0.0,42.0,32.0,240.0,8.0,5000.0
130,Energy Drink Vault Citrus Flavor,Energy Drink,FALSE,49.0,0.0,0.0,12.99,12.99,12.0,19.0,31.0,1.0,408.163
131,Energy Drink Vault Zero Sugar-Free Citrus Flavor,Energy Drink,TRUE,1.0,0.08,0.25,0.7,0.0,14.0,19.0,246.0,8.0,20000.0
132,Espresso,Coffee,TRUE,9.0,0.18,0.12,1.67,0.0,14.0,212.0,29.6,1.0,2222.222
133,Espresso Decaffeineted,Coffee,TRUE,9.0,0.18,0.1,1.69,0.0,14.0,1.0,29.6,1.0,2222.222
134,Fluid Replacement 5% Glucose In Water,Water,FALSE,18.0,0.0,0.0,5.0,4.64,4.0,0.0,240.0,16.0,1111.111
135,Fortified Fruit Juice Smoothie,Juice,FALSE,71.0,0.0,0.42,16.67,12.08,4.0,0.0,240.0,8.0,281.69
136,Frozen Coffee Drink,Coffee,FALSE,67.0,0.93,1.53,13.4,13.24,25.0,33.0,31.0,1.0,298.507
137,Frozen Coffee Drink Decaffeinated,Coffee,FALSE,67.0,0.94,1.53,13.46,13.3,25.0,0.0,31.0,1.0,298.507
138,Frozen Coffee Drink Decaffeinated Nonfat,Coffee,FALSE,60.0,0.06,1.57,13.53,13.32,22.0,0.0,31.0,1.0,333.333
139,Frozen Coffee Drink Decaffeinated Nonfat With Whipped Cream,Coffee,FALSE,75.0,1.98,1.63,12.96,12.76,23.0,0.0,31.0,1.0,266.667
140,Frozen Coffee Drink Decaffeinated With Non-Dairy Milk,Coffee,FALSE,64.0,0.7,1.21,13.52,12.66,25.0,0.0,31.0,1.0,312.5
141,Frozen Coffee Drink Decaffeinated With Non-Dairy Milk And Whipped Cream,Coffee,FALSE,77.0,2.49,0.82,13.29,12.68,28.0,0.0,31.0,1.0,259.74
142,Frozen Coffee Drink Decaffeinated With Whipped Cream,Coffee,FALSE,81.0,2.81,1.6,12.89,12.75,25.0,0.0,31.0,1.0,246.914
143,Frozen Coffee Drink Nonfat,Coffee,FALSE,59.0,0.06,1.56,13.47,13.25,22.0,33.0,31.0,1.0,338.983
144,Frozen Coffee Drink Nonfat With Whipped Cream,Other,FALSE,74.0,1.98,1.63,12.9,12.7,23.0,31.0,31.0,1.0,270.27
145,Frozen Coffee Drink With Non-Dairy Milk,Coffee,FALSE,62.0,0.6,0.71,13.82,13.17,28.0,33.0,31.0,1.0,322.581
146,Frozen Coffee Drink With Non-Dairy Milk And Whipped Cream,Coffee,FALSE,77.0,2.48,0.82,13.23,12.62,28.0,31.0,31.0,1.0,259.74
147,Frozen Coffee Drink With Whipped Cream,Coffee,FALSE,81.0,2.8,1.6,12.83,12.69,25.0,31.0,31.0,1.0,246.914
148,Frozen Mocha Coffee Drink,Coffee,FALSE,66.0,0.91,1.48,13.04,12.24,37.0,34.0,31.0,1.0,303.03
149,Frozen Mocha Coffee Drink Decaffeinated,Coffee,FALSE,66.0,0.91,1.49,13.1,12.3,38.0,2.0,31.0,1.0,303.03
150,Frozen Mocha Coffee Drink Decaffeinated Nonfat,Coffee,FALSE,59.0,0.06,1.52,13.17,12.32,35.0,2.0,31.0,1.0,338.983
151,Frozen Mocha Coffee Drink Decaffeinated Nonfat With Whipped Cream,Coffee,FALSE,73.0,1.93,1.59,12.63,11.83,35.0,2.0,31.0,1.0,273.973
152,Frozen Mocha Coffee Drink Decaffeinated With Non-Dairy Milk,Coffee,FALSE,62.0,0.59,0.69,13.51,12.24,41.0,2.0,31.0,1.0,322.581
153,Frozen Mocha Coffee Drink Decaffeinated With Non-Dairy Milk And Whipped Cream,Coffee,FALSE,76.0,2.42,0.8,12.95,11.76,40.0,2.0,31.0,1.0,263.158
154,Frozen Mocha Coffee Drink Decaffeinated With Whipped Cream,Coffee,FALSE,80.0,2.73,1.56,12.56,11.82,37.0,2.0,31.0,1.0,250.0
155,Frozen Mocha Coffee Drink Nonfat,Coffee,FALSE,59.0,0.06,1.51,13.11,12.26,35.0,34.0,31.0,1.0,338.983
156,Frozen Mocha Coffee Drink Nonfat With Whipped Cream,Coffee,FALSE,73.0,1.92,1.58,12.58,11.78,35.0,32.0,31.0,1.0,273.973
157,Frozen Mocha Coffee Drink With Non-Dairy Milk,Coffee,FALSE,61.0,0.59,0.69,13.45,12.18,41.0,33.0,31.0,1.0,327.869
158,Frozen Mocha Coffee Drink With Non-Dairy Milk And Whipped Cream,Coffee,FALSE,76.0,2.41,0.8,12.9,11.7,40.0,32.0,31.0,1.0,263.158
159,Frozen Mocha Coffee Drink With Whipped Cream,Coffee,FALSE,80.0,2.72,1.55,12.51,11.76,37.0,32.0,31.0,1.0,250.0
160,Fruit And Vegetable Smoothie,Juice,FALSE,60.0,0.62,1.69,13.22,7.9,22.0,0.0,27.0,1.0,333.333
161,Fruit And Vegetable Smoothie Added Protein,Juice,FALSE,83.0,0.69,7.58,12.68,7.29,33.0,0.0,27.0,1.0,240.964
162,Fruit Flavored Drink Containing Less Than 3% Fruit Juice With High Vitamin C,Juice,FALSE,27.0,0.0,0.0,6.67,5.0,36.0,0.0,238.0,8.0,740.741
163,Fruit Flavored Drink Less Than 3% Juice Not Fortified With Vitamin C,Juice,FALSE,64.0,0.0,0.0,16.03,15.85,36.0,0.0,238.0,8.0,312.5
164,Fruit Flavored Drink Reduced Sugar Greater Than 3% Fruit Juice High Vitamin C Added Calcium,Juice,FALSE,29.0,0.37,0.0,6.67,5.0,25.0,0.0,240.0,8.0,689.655
165,Fruit Flavored Drink With High Vitamin C Aed Reconstituted,Juice,FALSE,41.0,0.0,0.0,10.45,9.75,5.0,0.0,31.0,1.0,487.805
166,Fruit Flavored Smoothie Drink Frozen Light No Dairy,Juice,FALSE,12.0,0.01,0.0,3.19,3.18,5.0,0.0,30.0,1.0,1666.667
167,Fruit Flavored Smoothie Drink Frozen No Dairy,Juice,FALSE,28.0,0.0,0.0,7.6,7.56,4.0,0.0,30.0,1.0,714.286
168,Fruit Juice Drink Citrus Carbonated,Juice,FALSE,30.0,0.09,0.47,7.01,5.9,8.0,0.0,31.0,1.0,666.667
169,Fruit Juice Drink Diet,Juice,TRUE,1.0,0.0,0.0,0.47,0.0,5.0,0.0,30.0,1.0,20000.0
170,Fruit Juice Drink Greater Than 3% Fruit Juice High Vitamin C And Added Thiamin,Juice,FALSE,54.0,0.0,0.13,13.16,12.11,61.0,0.0,237.0,8.0,370.37
171,Fruit Juice Drink Greater Than 3% Juice High Vitamin C,Juice,FALSE,46.0,0.11,0.13,11.35,10.69,8.0,0.0,238.0,8.0,434.783
172,Fruit Juice Drink Noncitrus Carbonated,Juice,FALSE,33.0,0.08,0.23,8.35,8.1,11.0,0.0,31.0,1.0,606.061
