id,Date,State,Total Confirmed Cases,Total Deaths
127,Mon 10/10,Idaho,497106,5190
128,Mon 10/10,Illinois,3780406,39777
129,Mon 10/10,Indiana,1925645,24748
130,Mon 10/10,Iowa,857944,10097
131,Mon 10/10,Kansas,880654,9590
132,Mon 10/10,Kentucky,1609141,17111
133,Mon 10/10,Louisiana,1457916,18112
134,Mon 10/10,Maine,291984,2611
135,Mon 10/10,Maryland,1254937,15423
136,Mon 10/10,Massachusetts,2060884,21771
137,Mon 10/10,Michigan,2849047,38767
138,Mon 10/10,Minnesota,1670765,13695
139,Mon 10/10,Mississippi,929079,12928
140,Mon 10/10,Missouri,1673684,21719
141,Mon 10/10,Montana,311995,3555
142,Mon 10/10,Nebraska,538494,4551
143,Mon 10/10,Nevada,848770,11521
144,Mon 10/10,New Hampshire,351929,2709
145,Mon 10/10,New Jersey,2759767,34791
146,Mon 10/10,New Mexico,620306,8597
147,Mon 10/10,New York,6145553,71257
148,Mon 10/10,North Carolina,3210837,26862
149,Mon 10/10,North Dakota,270288,2422
150,Mon 10/10,Northern Mariana Islands,13171,40
151,Mon 10/10,Ohio,3153743,39950
152,Mon 10/10,Oklahoma,1200650,14884
153,Mon 10/10,Oregon,899013,8590
154,Mon 10/10,Pennsylvania,3267569,47323
155,Mon 10/10,Puerto Rico,997185,5183
156,Mon 10/10,Rhode Island,427242,3674
157,Mon 10/10,South Carolina,1712281,18390
158,Mon 10/10,South Dakota,262213,3033
159,Mon 10/10,Tennessee,2285845,27627
160,Mon 10/10,Texas,7889760,91068
161,Mon 10/10,Utah,1040427,5028
162,Mon 10/10,Vermont,143049,728
163,Mon 10/10,Virgin Islands,23207,123
164,Mon 10/10,Virginia,2098414,21973
165,Mon 10/10,Washington,1824762,14432
166,Mon 10/10,West Virginia,602461,7450
167,Mon 10/10,Wisconsin,1873754,15303
168,Mon 10/10,Wyoming,177165,1899
169,Tue 10/11,Alabama,1527825,20489
170,Tue 10/11,Alaska,297176,1350
171,Tue 10/11,American Samoa,8244,34
172,Tue 10/11,Arizona,2275235,31406
173,Tue 10/11,Arkansas,954552,12321
174,Tue 10/11,California,11294061,96280
175,Tue 10/11,Colorado,1668303,13550
176,Tue 10/11,Connecticut,902655,11385
177,Tue 10/11,Delaware,310527,3121
178,Tue 10/11,District of Columbia,168719,1392
179,Tue 10/11,Florida,7134231,81764
180,Tue 10/11,Georgia,2825163,38808
181,Tue 10/11,Guam,59616,402
182,Tue 10/11,Hawaii,348570,1691
183,Tue 10/11,Idaho,497140,5190
184,Tue 10/11,Illinois,3784876,39791
185,Tue 10/11,Indiana,1925645,24748
186,Tue 10/11,Iowa,858989,10097
187,Tue 10/11,Kansas,880659,9590
188,Tue 10/11,Kentucky,1600312,17111
189,Tue 10/11,Louisiana,1458331,18121
190,Tue 10/11,Maine,291985,2611
191,Tue 10/11,Maryland,1255656,15427
192,Tue 10/11,Massachusetts,2060884,21771
193,Tue 10/11,Michigan,2852997,38868
194,Tue 10/11,Minnesota,1670765,13695
195,Tue 10/11,Mississippi,930438,12945
196,Tue 10/11,Missouri,1674069,21754
197,Tue 10/11,Montana,312145,3555
198,Tue 10/11,Nebraska,538917,4551
199,Tue 10/11,Nevada,849199,11530
200,Tue 10/11,New Hampshire,352606,2713
201,Tue 10/11,New Jersey,2761439,34795
202,Tue 10/11,New Mexico,621166,8598
203,Tue 10/11,New York,6154746,71298
204,Tue 10/11,North Carolina,3210837,26862
205,Tue 10/11,North Dakota,270288,2430
206,Tue 10/11,Northern Mariana Islands,13171,40
207,Tue 10/11,Ohio,3153743,39950
208,Tue 10/11,Oklahoma,1201654,14884
209,Tue 10/11,Oregon,899013,8590
210,Tue 10/11,Pennsylvania,3267569,47323
211,Tue 10/11,Puerto Rico,997431,5189
212,Tue 10/11,Rhode Island,427242,3674
213,Tue 10/11,South Carolina,1715434,18468
214,Tue 10/11,South Dakota,262213,3033
215,Tue 10/11,Tennessee,2288558,27673
216,Tue 10/11,Texas,7890116,91071
217,Tue 10/11,Utah,1040427,5028
218,Tue 10/11,Vermont,143049,728
219,Tue 10/11,Virgin Islands,23207,123
220,Tue 10/11,Virginia,2099159,21986
221,Tue 10/11,Washington,1825045,14440
222,Tue 10/11,West Virginia,603256,7450
223,Tue 10/11,Wisconsin,1876979,15321
224,Tue 10/11,Wyoming,177635,1904
225,Wed 10/12,Alabama,1528319,20498
226,Wed 10/12,Alaska,297740,1350
227,Wed 10/12,American Samoa,8244,34
228,Wed 10/12,Arizona,2277635,31455
229,Wed 10/12,Arkansas,954822,12334
230,Wed 10/12,California,11294895,96308
231,Wed 10/12,Colorado,1668964,13556
232,Wed 10/12,Connecticut,903688,11402
233,Wed 10/12,Delaware,310699,3121
234,Wed 10/12,District of Columbia,168760,1392
235,Wed 10/12,Florida,7135916,81807
236,Wed 10/12,Georgia,2828618,38882
237,Wed 10/12,Guam,59616,402
238,Wed 10/12,Hawaii,349598,1696
239,Wed 10/12,Idaho,497815,5201
240,Wed 10/12,Illinois,3786686,39802
241,Wed 10/12,Indiana,1925645,24748
242,Wed 10/12,Iowa,859502,10126
243,Wed 10/12,Kansas,883481,9598
244,Wed 10/12,Kentucky,1600312,17111
245,Wed 10/12,Louisiana,1458706,18127
246,Wed 10/12,Maine,292622,2621
247,Wed 10/12,Maryland,1257630,15455
248,Wed 10/12,Massachusetts,2060884,21771
249,Wed 10/12,Michigan,2861595,38919
250,Wed 10/12,Minnesota,1670765,13695
251,Wed 10/12,Mississippi,930438,12945
252,Wed 10/12,Missouri,1674352,21755
253,Wed 10/12,Montana,312145,3555
254,Wed 10/12,Nebraska,538917,4551
255,Wed 10/12,Nevada,849471,11531
256,Wed 10/12,New Hampshire,352870,2713
257,Wed 10/12,New Jersey,2763340,34809
258,Wed 10/12,New Mexico,621483,8601
259,Wed 10/12,New York,6158609,71373
260,Wed 10/12,North Carolina,3220858,26895
261,Wed 10/12,North Dakota,270288,2430
262,Wed 10/12,Northern Mariana Islands,13171,40
263,Wed 10/12,Ohio,3153743,39950
264,Wed 10/12,Oklahoma,1201654,14884
265,Wed 10/12,Oregon,902319,8622
266,Wed 10/12,Pennsylvania,3280190,47442
267,Wed 10/12,Puerto Rico,998050,5193
268,Wed 10/12,Rhode Island,427242,3674
269,Wed 10/12,South Carolina,1715434,18468
270,Wed 10/12,South Dakota,262837,3046
271,Wed 10/12,Tennessee,2289243,27680
272,Wed 10/12,Texas,7894182,91103
273,Wed 10/12,Utah,1040427,5028
274,Wed 10/12,Vermont,143683,732
275,Wed 10/12,Virgin Islands,23233,123
276,Wed 10/12,Virginia,2100503,22001
277,Wed 10/12,Washington,1826080,14468
278,Wed 10/12,West Virginia,603583,7455
279,Wed 10/12,Wisconsin,1878410,15324
280,Wed 10/12,Wyoming,177635,1904
281,Thu 10/13,Alabama,1528739,20505
282,Thu 10/13,Alaska,297740,1350
283,Thu 10/13,American Samoa,8250,34
284,Thu 10/13,Arizona,2277635,31455
285,Thu 10/13,Arkansas,955208,12347
286,Thu 10/13,California,11316398,96442
287,Thu 10/13,Colorado,1669742,13566
288,Thu 10/13,Connecticut,904258,11402
289,Thu 10/13,Delaware,310819,3121
290,Thu 10/13,District of Columbia,168796,1392
291,Thu 10/13,Florida,7137526,81865
292,Thu 10/13,Georgia,2828618,38882
293,Thu 10/13,Guam,59616,402
294,Thu 10/13,Hawaii,349598,1696
295,Thu 10/13,Idaho,497858,5201
296,Thu 10/13,Illinois,3788958,39823
297,Thu 10/13,Indiana,1930022,24748
298,Thu 10/13,Iowa,859632,10126
299,Thu 10/13,Kansas,883481,9600
300,Thu 10/13,Kentucky,1600312,17111
301,Thu 10/13,Louisiana,1459031,18130
302,Thu 10/13,Maine,293090,2621
303,Thu 10/13,Maryland,1258336,15464
304,Thu 10/13,Massachusetts,2069848,21841
305,Thu 10/13,Michigan,2861595,38919
306,Thu 10/13,Minnesota,1676151,13738
307,Thu 10/13,Mississippi,930438,12945
