id,ORGANIZATION,SITE,LATITUDE,LONGITUDE,DATE,AVERAGE SURFACE TEMPERATURE (degrees C),NUMBER OF SAMPLES TAKEN
100,Boston University School of Education GLOBE v-School,BU- Commonwealth Mall,42.349004,-71.093363,9/10/2019,25.3,9.0
101,Boston University School of Education GLOBE v-School,BU Muddy River,42.34956,-71.092269,9/10/2019,25.4,9.0
102,Boston University School of Education GLOBE v-School,BU Beach,42.351284,-71.106007,9/19/2019,28.5,9.0
103,Boston University School of Education GLOBE v-School,BU Beach,42.351284,-71.106007,9/19/2019,27.9,9.0
104,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,9/19/2019,37.6,3.0
105,Wellesley Middle School,Sprague Baseball Field (Outfield),42.304306,-71.292635,9/19/2019,24.0,1.0
106,Wellesley Middle School,Sprague Baseball Field (Outfield),42.304306,-71.292635,9/20/2019,29.3,1.0
107,Wellesley Middle School,Sprague Baseball Field (Outfield),42.304306,-71.292635,9/23/2019,32.9,1.0
108,Boston University School of Education GLOBE v-School,BU Beach,42.351284,-71.106007,9/26/2019,29.1,9.0
109,Boston University School of Education GLOBE v-School,BU Beach,42.351284,-71.106007,9/26/2019,29.1,9.0
110,Boston University School of Education GLOBE v-School,BU COMM PLAZA,42.349145,-71.102338,9/26/2019,38.1,9.0
111,Boston University School of Education GLOBE v-School,BU- Commonwealth Mall,42.349004,-71.093363,9/27/2019,23.5,2.0
112,Boston University School of Education GLOBE v-School,BU- Commonwealth Mall,42.349004,-71.093363,10/8/2019,15.9,3.0
113,Boston University School of Education GLOBE v-School,BU COMM PLAZA,42.349145,-71.102338,10/8/2019,15.8,1.0
114,Boston University School of Education GLOBE v-School,BU COMM PLAZA,42.349145,-71.102338,10/8/2019,15.8,3.0
115,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,10/8/2019,17.3,9.0
116,Boston University School of Education GLOBE v-School,BU- Commonwealth Mall,42.349004,-71.093363,10/10/2019,39.9,9.0
