id,ORGANIZATION,SITE,LATITUDE,LONGITUDE,DATE,AVERAGE SURFACE TEMPERATURE (degrees C),NUMBER OF SAMPLES TAKEN
294,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,10/29/2021,7.7,3.0
295,Boston University School of Education GLOBE v-School,Mountford St. / Lenox St. Island,42.349035,-71.109894,10/29/2021,10.6,3.0
296,Boston University School of Education GLOBE v-School,Nickerson Field,42.353,-71.119,10/29/2021,3.5,9.0
297,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,10/31/2021,15.1,9.0
298,Boston University School of Education GLOBE v-School,BU Beach,42.351284,-71.106007,11/2/2021,11.5,2.0
299,Boston University School of Education GLOBE v-School,Charlesgate & Beacon,42.350087,-71.092711,11/2/2021,4.7,3.0
300,Boston University School of Education GLOBE v-School,Marsh Plaza,42.350278,-71.106389,11/2/2021,12.9,9.0
301,Boston University School of Education GLOBE v-School,Packards Corner,42.351755,-71.124736,11/2/2021,4.9,3.0
302,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,11/3/2021,15.4,9.0
303,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,11/3/2021,6.5,3.0
304,Boston University School of Education GLOBE v-School,Mountford St. / Lenox St. Island,42.349035,-71.109894,11/3/2021,12.0,3.0
305,Boston University School of Education GLOBE v-School,Nickerson Field,42.353,-71.119,11/3/2021,2.8,9.0
306,Boston University School of Education GLOBE v-School,BU Beach,42.351284,-71.106007,11/4/2021,10.2,2.0
307,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,11/4/2021,13.7,9.0
308,Boston University School of Education GLOBE v-School,Charlesgate & Beacon,42.350087,-71.092711,11/4/2021,-0.7,3.0
309,Boston University School of Education GLOBE v-School,Marsh Plaza,42.350278,-71.106389,11/4/2021,11.2,9.0
310,Boston University School of Education GLOBE v-School,Packards Corner,42.351755,-71.124736,11/4/2021,0.2,3.0
311,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,11/5/2021,-1.8,3.0
312,Boston University School of Education GLOBE v-School,Nickerson Field,42.353,-71.119,11/5/2021,4.9,9.0
313,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,11/8/2021,10.1,9.0
314,Boston University School of Education GLOBE v-School,BU Beach,42.351284,-71.106007,11/9/2021,11.6,2.0
315,Boston University School of Education GLOBE v-School,Charlesgate & Beacon,42.350087,-71.092711,11/9/2021,11.6,3.0
316,Boston University School of Education GLOBE v-School,Marsh Plaza,42.350278,-71.106389,11/9/2021,18.2,9.0
317,Boston University School of Education GLOBE v-School,Packards Corner,42.351755,-71.124736,11/9/2021,12.9,3.0
318,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,11/10/2021,19.2,9.0
319,Boston University School of Education GLOBE v-School,Mountford St. / Lenox St. Island,42.349035,-71.109894,11/10/2021,14.0,3.0
320,Boston University School of Education GLOBE v-School,Nickerson Field,42.353,-71.119,11/10/2021,13.5,9.0
321,Boston University School of Education GLOBE v-School,Marsh Plaza,42.350278,-71.106389,11/11/2021,9.8,9.0
322,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,11/12/2021,13.0,3.0
323,Boston University School of Education GLOBE v-School,Mountford St. / Lenox St. Island,42.349035,-71.109894,11/12/2021,12.3,3.0
324,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,11/13/2021,11.1,9.0
325,Boston University School of Education GLOBE v-School,BU Beach,42.351284,-71.106007,11/16/2021,5.4,2.0
326,Boston University School of Education GLOBE v-School,Marsh Plaza,42.350278,-71.106389,11/16/2021,3.5,9.0
327,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,11/17/2021,7.8,9.0
328,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,11/17/2021,-1.6,3.0
329,Boston University School of Education GLOBE v-School,Mountford St. / Lenox St. Island,42.349035,-71.109894,11/17/2021,7.4,3.0
330,Boston University School of Education GLOBE v-School,BU Beach,42.351284,-71.106007,11/18/2021,14.6,2.0
331,Boston University School of Education GLOBE v-School,Charlesgate & Beacon,42.350087,-71.092711,11/18/2021,11.3,3.0
332,Boston University School of Education GLOBE v-School,Marsh Plaza,42.350278,-71.106389,11/18/2021,16.2,9.0
333,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,11/19/2021,12.9,9.0
334,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,11/26/2021,-9.3,3.0
335,Boston University School of Education GLOBE v-School,BU Beach,42.351284,-71.106007,11/30/2021,37.1,2.0
336,Boston University School of Education GLOBE v-School,Charlesgate & Beacon,42.350087,-71.092711,11/30/2021,-10.8,3.0
337,Boston University School of Education GLOBE v-School,Marsh Plaza,42.350278,-71.106389,11/30/2021,-4.6,9.0
338,Boston University School of Education GLOBE v-School,Packards Corner,42.351755,-71.124736,11/30/2021,1.1,3.0
339,Boston University School of Education GLOBE v-School,Westminster Massachusetts,42.293564,-71.71875,11/30/2021,-2.6,9.0
340,Boston University School of Education GLOBE v-School,Mountford St. / Lenox St. Island,42.349035,-71.109894,12/1/2021,5.4,3.0
341,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,12/2/2021,2.8,9.0
342,Boston University School of Education GLOBE v-School,Charlesgate & Beacon,42.350087,-71.092711,12/2/2021,1.1,3.0
343,Boston University School of Education GLOBE v-School,Marsh Plaza,42.350278,-71.106389,12/2/2021,7.5,9.0
344,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,12/3/2021,-10.5,3.0
345,Boston University School of Education GLOBE v-School,Charlesgate & Beacon,42.350087,-71.092711,12/7/2021,-7.4,3.0
346,Boston University School of Education GLOBE v-School,Mountford St. / Lenox St. Island,42.349035,-71.109894,12/8/2021,-1.4,3.0
347,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,12/9/2021,0.6,9.0
