id,University,Team nickname,City,State,Enrollment,Current conference
92,South Alabama,Jaguars,Mobile,Alabama,15100.0,Sun Belt
93,South Carolina,Gamecocks,Columbia,South Carolina,50100.0,SEC
94,South Florida,Bulls,Tampa,Florida,50700.0,American
95,Southern Miss,Golden Eagles,Hattiesburg,Mississippi,14500.0,C-USA
96,Stanford,Cardinal,Stanford,California,16500.0,Pac-12
97,Syracuse,Orange,Syracuse,New York,22900.0,ACC
98,TCU,Horned Frogs,Fort Worth,Texas,10400.0,Big 12
99,Temple,Owls,Philadelphia,Pennsylvania,40000.0,American
100,Tennessee,Volunteers,Knoxville,Tennessee,28900.0,SEC
101,Texas,Longhorns,Austin,Texas,51800.0,Big 12
102,Texas A&M,Aggies,College Station,Texas,69400.0,SEC
103,Texas State,Bobcats,San Marcos,Texas,38800.0,Sun Belt
104,Texas Tech,Red Raiders,Lubbock,Texas,38200.0,Big 12
105,Toledo,Rockets,Toledo,Ohio,23100.0,MAC
106,Troy,Trojans,Troy,Alabama,18100.0,Sun Belt
107,Tulane,Green Wave,New Orleans,Louisiana,14100.0,American
108,Tulsa,Golden Hurricane,Tulsa,Oklahoma,4300.0,American
109,UAB,Blazers,Birmingham,Alabama,21900.0,C-USA
110,UCF,Knights,Orlando,Florida,68600.0,American
111,UCLA,Bruins,Los Angeles,California,45400.0,Pac-12
112,UConn,Huskies,Storrs,Connecticut,32200.0,Independent
113,UMass,Minutemen,Amherst,Massachusetts,30600.0,Independent
114,UNLV,Rebels,Las Vegas,Nevada,30500.0,Mountain West
115,USC,Trojans,Los Angeles,California,45700.0,Pac-12
116,UTEP,Miners,El Paso,Texas,25100.0,C-USA
117,UTSA,Roadrunners,San Antonio,Texas,30700.0,C-USA
118,Utah,Utes,Salt Lake City,Utah,33000.0,Pac-12
119,Utah State,Aggies,Logan,Utah,29400.0,Mountain West
120,Vanderbilt,Commodores,Nashville,Tennessee,13100.0,SEC
121,Virginia,Cavaliers,Charlottesville,Virginia,24400.0,ACC
122,Virginia Tech,Hokies,Blacksburg,Virginia,33400.0,ACC
123,Wake Forest,Demon Deacons,Winston-Salem,North Carolina,8100.0,ACC
124,Washington,Huskies,Seattle,Washington,47900.0,Pac-12
125,Washington State,Cougars,Pullman,Washington,30600.0,Pac-12
126,West Virginia,Mountaineers,Morgantown,West Virginia,30000.0,Big 12
127,Western Kentucky,Hilltoppers,Bowling Green,Kentucky,20300.0,C-USA
128,Western Michigan,Broncos,Kalamazoo,Michigan,22900.0,MAC
129,Wisconsin,Badgers,Madison,Wisconsin,44400.0,Big Ten
130,Wyoming,Cowboys,Laramie,Wyoming,12400.0,Mountain West
