id,event,race,city,country,distance,elevation_gain,elevation_loss,aid_stations
345,Wicklow Way 50 Miles,100 Miles,Wicklow,Ireland,160.7,5750.0,-5750.0,4.0
346,Falls 100 Ultra Trail Race,100 Mile,FallsofRough,United States,168.8,3350.0,-3350.0,41.0
347,Chattanooga 100 Mile Trail Race,Chattanooga 100 Mile Trail Race,RisingFawn,United States,158.1,3770.0,-3770.0,14.0
348,Gede Pangrango 100,150KM,Cibodas,Indonesia,164.0,14430.0,-14440.0,3.0
349,HK168,Full 168,TaiMeiTuk,"Hong Kong, China",169.1,10490.0,-10490.0,14.0
350,Best of San Diego 100 Miler,100 Miler,SanDiego,United States,163.1,2340.0,-2340.0,5.0
351,Louceni,173 km,UstinadLabem,Czech Republic,172.3,6400.0,-6560.0,9.0
352,Ultra-Trail® Three Gorges,169 Km,Yichang,China,171.4,10140.0,-10000.0,15.0
353,Oman Desert Marathon,Oman Desert Marathon,Bidiyah,Oman,163.7,3850.0,-4200.0,13.0
354,Tunnel Hill  100 & 50 mile runs,100mi,Vienna,United States,161.4,1570.0,-1560.0,21.0
355,Pong Yaeng Trail,Pong Yaeng Trail 166,ChiangMai,Thailand,164.9,7830.0,-7830.0,17.0
356,Feral Pig Ultra,Feral Pig 100 Mile,Mundaring,Australia,163.3,4070.0,-4200.0,15.0
357,PINHOTI 100,100 MILES,Sylacauga,United States,161.9,4930.0,-5060.0,0.0
358,Bhatti Lakes Ultra,160 Km,Faridabad,India,160.1,1020.0,-1020.0,0.0
359,Bromo Tengger Semeru 100 Ultra,BTS 170K,Bogor,Indonesia,169.3,7530.0,-7530.0,15.0
360,Kullamannen,100 miles,Kullaberg,Sweden,161.8,4310.0,-4280.0,14.0
361,Cactus Rose,100 Mile,Bandera,United States,162.4,3500.0,-3500.0,20.0
362,White Rose Ultra,100 Mile,Huddersfield,United Kingdom,165.4,4380.0,-4430.0,5.0
363,Halloween hike,160 km,Kannonkoski,Finland,168.6,2080.0,-2080.0,5.0
364,Javelina Jundred,100 Miles,FortMcDowell,United States,160.2,2300.0,-2300.0,26.0
365,GRAN VUELTA VALLE DEL GENAL,100 MILLAS DEL GENAL,BENARRABA,Spain,162.8,8020.0,-7490.0,17.0
366,Indomit costa esmeralda ultra-trail®,100 MILLES,Gramado,Brazil,160.3,4730.0,-4730.0,12.0
367,Bèrghem Ultra Trail,Furuberget Endurance,Hamar,Norway,169.7,7440.0,-7440.0,18.0
368,Dalmacija Ultra-Trail®,Sky Dut,Omiš,Croatia,159.3,7140.0,-7170.0,14.0
369,Mines of Spain,100 Mile,Davenport,United States,170.0,4360.0,-4360.0,19.0
370,Rodopi Ultra Trail,Rodopi Advendurun,Haidou,Greece,163.0,6910.0,-6910.0,6.0
371,Le Grand Raid De La Réunion,La Diagonale Des Fous,SaintDenis,France,168.1,9610.0,-9560.0,17.0
372,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,161.1,1580.0,-1580.0,14.0
373,Cloudsplitter 100,100 Mile,Norton,United States,166.3,5310.0,-5310.0,21.0
374,Hume And Hovell Ultra,100 Mile,Tumbarumba,Australia,162.7,3670.0,-3660.0,10.0
375,INDIANA TRAIL 100,100 mi,Albion,United States,161.7,3490.0,-3490.0,5.0
376,Virgin Forest Trail,Ultra-Trail®,PARANESTI,Greece,162.6,6920.0,-6920.0,15.0
377,Crimea X Run,Stage Race,Yalta,Ukraine,174.7,9480.0,-9530.0,8.0
378,Bromont Ultra,160km,Bromont,Canada,158.1,6090.0,-6090.0,17.0
379,100 Miles Sud De France,100 Miles,bolquere,France,172.6,8130.0,-9870.0,15.0
380,Grindstone 100,Grindstone 100,Swoope,United States,159.6,6980.0,-6980.0,15.0
381,Pirin Ultra,160km,Bansko,Bulgaria,165.1,10310.0,-10300.0,9.0
382,Szlak Orlich Gniazd - Ultra,Szlak Orlich Gniazd - Ultra,KwasniówDolny,Poland,161.1,2730.0,-2730.0,7.0
383,Ultra-Trail del Rincon,UTR 170K,Castielfabib,Spain,171.9,6890.0,-6890.0,15.0
384,NERANG 200 miler,NERANG 100 miler,Nerang,Australia,161.7,5820.0,-5820.0,6.0
385,WUT - Wienerwald Ultra Trail,TITAN-WUT,Purkersdorf,Austria,163.8,5360.0,-5380.0,15.0
386,BEAR 100,BEAR 100,Smithfield,United States,160.93,6863.0,-6576.0,13.0
387,Lycian Way Ultra Marathon,LYUM XXL - 174K,İstanbul,Turkey,174.4,6070.0,-6390.0,16.0
388,Black River Run,100 Miles,Västerås,Sweden,161.5,1030.0,-1030.0,9.0
389,Cotswold Way Century,102 Miles,ChippingCampden,United Kingdom,165.7,4150.0,-4270.0,10.0
390,Waterous Trail On Foot,WTF 100,Dwellingup,Australia,162.1,3840.0,-3840.0,9.0
391,Adamello Ultra-Trail®,Ultra-Trail® - 180 km,Vezzad'Oglio,Italy,165.0,11380.0,-11380.0,19.0
392,Karkloof100,Karkloof100,Howick,South Africa,157.0,3330.0,-3410.0,9.0
393,Mogollon Monster 100,MOGOLLON MONSTER 100,Pine,United States,161.5,5470.0,-5460.0,12.0
394,Old Cascadia,100 Mile,BlueRiver,United States,165.7,8120.0,-8110.0,14.0
395,Shinetsu Five Mountains Trail,100 miles,Ohzatagiri,"Myoko, Japan",164.3,6420.0,-6240.0,9.0
396,GARMIN ULTRA RACE STOLOWE MOUNTAINS,Challange 158,RADKÓW,Poland,77.5,2460.0,-2460.0,11.0
397,PINE TO PALM 100 MILE ENDURANCE RUN,PINE TO PALM 100 MILE ENDURANCE RUN,Ashland,United States,155.8,5785.0,-5785.0,0.0
398,THE GREAT NORTH WALK 100S,100 MILES,Patonga,Australia,173.3,4870.0,-4870.0,6.0
399,Superior Fall Trail Race,100m,Lutsen,United States,168.0,5200.0,-5060.0,13.0
400,SwissPeaks Trail,170K Valais*Wallis,LeBouveret,Switzerland,165.0,10780.0,-12020.0,13.0
401,Ultra Tour Monte Rosa,Ultra Tour 170 km,Grächen,Switzerland,170.0,10990.0,-10990.0,15.0
402,Ultra Tour Monte Rosa,4 Stage Race 170 km,Grächen,Switzerland,171.6,10940.0,-10920.0,11.0
403,Vadrózsa,Vadrózsa 160,Rózsaszentmárton,Hungary,159.6,6340.0,-6350.0,17.0
404,UTMB®,UTMB®,Chamonix,France,170.0,9990.0,-9990.0,16.0
405,Velebit 100 miles,Velebit 100 miles,Zagreb,Croatia,157.5,6430.0,-6440.0,4.0
406,Ultra Tour des 4 Massifs,Ut4M160 Xtrem,Grenoble,France,163.7,10710.0,-10770.0,16.0
407,Ultra Tour des 4 Massifs,Ut4M160 Challenge,Grenoble,France,128.6,8690.0,-8500.0,12.0
408,"Beacons 100/50, Beacons Ultra/Marathon - Force12 Events -",Beacons 100,Brecon,United Kingdom,162.6,6730.0,-6730.0,5.0
409,Habanero Hundred,100M,CatSprings,United States,157.6,1840.0,-1800.0,0.0
410,Leadville Trail 100 Run,Leadville Trial 100 Run,Leadville,United States,162.2,4490.0,-4480.0,0.0
411,Kodiak Ultra Marathons,Kodiak 100 Mile,BigBearLake,United States,163.8,5210.0,-5220.0,15.0
412,Persenk Ultra,PERSENK ULTRA,Asenovgrad,Bulgaria,157.6,7090.0,-7120.0,13.0
413,Mt. Wumeng Ultra Trail,168KM solo,Zhaotong,China,164.6,7790.0,-7350.0,14.0
414,Mt. Wumeng Ultra Trail,168KM team,Zhaotong,China,164.6,7790.0,-7350.0,14.0
415,Ute 100 Mile Trail Race,Ute 100 Mile Trail Race,OldLaSal,United States,159.5,6180.0,-6180.0,9.0
416,Chongli100 Ultra Sky Trail Challenge,168 Km,chongji,China,166.6,7290.0,-7290.0,12.0
417,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,168.0,3420.0,-3460.0,14.0
418,High Lonesome 100,100M,Nathrop,United States,160.0,6480.0,-6480.0,12.0
419,Ouray 100 Mile Endurance Run,100 Mile,Ouray,United States,164.8,11420.0,-11420.0,15.0
420,Burning River Endurance Run,100 Mile,Hudson,United States,164.4,2610.0,-2510.0,14.0
421,The GAX 100 Miles,The GAX 100 Miles,Ystad,Sweden,160.8,1500.0,-1500.0,3.0
422,Garmin Runfire Salt Lake Ultra Trail,100 Mile,ulukisla,Turkey,164.5,700.0,-700.0,15.0
423,Montreux Trail Festival,MXtrem,Savigny,Switzerland,161.9,11530.0,-11520.0,15.0
424,Vermont 100 Endurance Race,100M,WestWindsor,United States,158.0,5390.0,-5380.0,19.0
425,YOU YANGS Hardcore 100Miler,100 MI,LittleRiver,Australia,164.2,3280.0,-3280.0,2.0
426,Elephant Trail Race,160 Km (100 Mile),PortMacquarie,Australia,162.4,6930.0,-6930.0,13.0
427,Tahoe Rim Trail Endurance Run,100 Mile,Carsoncity,United States,160.4,6140.0,-6140.0,0.0
428,Columbia China Ultra 168-Chongli,168km,Chongli,China,166.9,8130.0,-8130.0,14.0
429,Silverheels Endurance Run,100 Mile,Fairplay,United States,168.3,4890.0,-4880.0,22.0
430,Sinister 7 Ultra,Solo,Blairmore,Canada,159.9,5720.0,-5740.0,15.0
431,Pen Llyn Ultra 100,Pen Llyn Ultra 100,Pwllheli,United Kingdom,162.6,3210.0,-3170.0,7.0
432,Western States Endurance Run,Western States Endurance Run,Auburn,United States,161.6,5370.0,-6890.0,21.0
433,South Wales 100,South Wales 100,Cardiff,United Kingdom,167.1,5660.0,-5670.0,11.0
434,Ultra Coahuila,100M,Arteaga,Mexico,159.2,6080.0,-6060.0,12.0
435,ULTRA01 by XT,ULTRA01 by XT,OYONNAX,France,163.3,5010.0,-5010.0,5.0
436,X Trail Corrèze Dordogne,Trail des tours par équipes,Argentat,France,48.4,2010.0,-2300.0,4.0
437,Ultra-Trail® Gaspesia 100,100 miles,Percé,Canada,159.1,4010.0,-4020.0,21.0
438,Bighorn Trail Run,100M,Sheridan,United States,167.3,6740.0,-6800.0,7.0
439,Ultra-Trail® Malopolska,UTM 170,KasinkaMala,Poland,172.8,8870.0,-8870.0,11.0
440,Ultra-Trail® Malopolska,UTM 170 NA RATY,KasinkaMala,Poland,170.0,8650.0,-8650.0,9.0
441,Centurion South Downs Way 100,Centurion South Downs Way 100,Worthing,United Kingdom,155.9,3390.0,-3440.0,14.0
442,Laulasmaa Ultra,Laulasmaa Ultra 8 loops,Laulasmaa,Estonia,170.5,1880.0,-1880.0,56.0
443,Oh Meu Deus,100 Milhas OMD,Seia,Portugal,172.3,7530.0,-7530.0,13.0
444,SAN DIEGO 100,San Diego 100,Oceanside,United States,161.3,3950.0,-3950.0,15.0
445,Kettle Moraine 100,100 Mile,LaGrange,United States,160.9,2660.0,-2660.0,12.0
446,Bryce Canyon,100 Mile,Hatch,United States,158.1,4770.0,-4800.0,13.0
447,Chicamocha Canyon Race,100 miles,SanGil,Colombia,164.6,7090.0,-7070.0,14.0
448,Jurassic Coast 100,100 miles,Swanage,United Kingdom,168.2,4740.0,-4740.0,14.0
449,Scout Mountain Ultras,162K,Pocatello,United States,162.2,6320.0,-6300.0,11.0
450,The Arctic Triple Lofoten Ultra-Trail®,100 Miles,SVOLVÆR,Norway,165.1,6610.0,-6610.0,10.0
451,6th Elton Volgabus Ultra-Trail®,Ultimate 100 miles,Eltonvillage,Russia,163.6,250.0,-250.0,8.0
452,Nuts Karhunkierros,160K,Kuusamo,Finland,167.5,2570.0,-2570.0,7.0
453,Fiambala Desert Trail,ULTRA DESERT TRAIL X 5 DIAS,Fiambala,Argentina,169.6,3540.0,-3250.0,12.0
454,Soria Moria til Verdens Ende,Soria Moria til Verdens Ende,VerdensEnde,Norway,161.5,3310.0,-3770.0,3.0
455,Trainic-World in Sainokuni,100mile,Ogose,Japan,174.6,9760.0,-9760.0,16.0
456,Hardcore Hundred Miles Trail Ultramarathon,Hardcore Hundred Miles Trail Ultramarathon,Kayapa,Philippines,161.9,11840.0,-11860.0,11.0
457,Penang Eco 100,100 miles,BukitMertajam,Malaysia,166.5,4250.0,-4260.0,15.0
458,Pembrokeshire Ultramarathons,100.0,StDogmaels,United Kingdom,162.0,5550.0,-5550.0,7.0
459,Ultra-Trail Snowdonia,UTS-100,CapelCurig,United Kingdom,168.1,10220.0,-10220.0,15.0
460,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,161.2,3210.0,-3160.0,13.0
461,Hubert 100 Miles,Hubert 100 Miles,ClarenceGardens,Australia,155.4,2350.0,-2350.0,9.0
462,Salomon Hammer Trail,100 Miles,allinge,Denmark,156.0,6000.0,-6620.0,12.0
463,Aktivitus Trailrace,Ultra-Trail®,Jonsered,Sweden,164.8,3040.0,-3040.0,8.0
464,Altra100,100 Mile,Banaue,Philippines,160.3,10380.0,-10900.0,14.0
465,Ultra-Trail Mt. Fuji,UTMF,Fuji,Japan,167.4,7610.0,-7680.0,9.0
466,Ultra-Trail® Drakensberg,UTD 160,Underberg,South Africa,166.0,5850.0,-6980.0,8.0
467,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,159.1,1640.0,-1640.0,13.0
468,Zion,100 Mile,Virgin,United States,160.5,3760.0,-3760.0,15.0
469,Mustang Trail Race,Mustang Trail Race,Kathmandu,Nepal,168.3,9870.0,-9170.0,8.0
470,Jiangnan100 Ultra Trail,168Km,Ningbo,China,157.1,8110.0,-8100.0,13.0
471,Zumbro Endurance Run,100m,Theilman,United States,159.8,4210.0,-4210.0,22.0
472,100 Miles Of Istria,RED,Umag,Croatia,168.0,6540.0,-6820.0,12.0
473,Patagonia Run,100 Millas,SanMartinDeLosAndes,Argentina,163.0,6600.0,-6580.0,16.0
474,Lost Island Ultra,The Vodafone Lost Island Ultra,Nadi,Fiji,166.2,4800.0,-4420.0,14.0
475,Badger Mountain Challenge,100 Mile,Kennewick,United States,158.4,4510.0,-4500.0,18.0
476,Victoria 162,3-day Race,HongKong,"Hong Kong, China",163.7,7160.0,-7150.0,21.0
477,Ultra Trail Huang Shan,170 Km,Huangshan,China,167.5,9210.0,-9200.0,15.0
478,Northburn 100 Miler,100 Mile,Cromwell,New Zealand,162.6,10010.0,-10030.0,12.0
479,Gaoligong by UTMB,MGU,Tengchong,China,160.0,8400.0,-8417.0,17.0
480,Addo Elephant Trail Run,100 Mile,Addo,South Africa,161.2,5640.0,-5130.0,17.0
481,Antelope Canyon,100 Mile,Page,United States,159.5,1740.0,-1740.0,10.0
482,La Misión,160 Km,SanMartíndelosAndes,Argentina,163.9,6810.0,-6800.0,2.0
483,Les Traces du Nord Basse-Terre,L'Ultra-Trail®,Petit-Bourg,France,155.4,6290.0,-6300.0,14.0
484,Lone Star 100,100M,ElPaso,United States,158.6,5930.0,-5850.0,9.0
485,Tarawera 100 Mile Endurance Run,Tarawera 100 Mile Endurance Run,Rotorua,New Zealand,164.1,5520.0,-5520.0,10.0
486,Rocky Raccoon,100 Mile,Huntsville,United States,158.2,1970.0,-1970.0,19.0
487,Run The Rann,RTR 161 Km,Dholavira,India,160.4,2310.0,-2290.0,10.0
488,Coldwater Rumble,100 Miles,Goodyear,United States,159.3,1660.0,-1650.0,16.0
489,Montane Spine Races,Challenger,Edale,United Kingdom,174.8,4590.0,-4590.0,4.0
490,Montane Spine Races,MRT Challenge,Edale,United Kingdom,174.8,4200.0,-4200.0,4.0
491,Sandsjöbacka Trail,Ultra Triple,Åsa,Sweden,159.5,2490.0,-2510.0,9.0
492,S1 Trail La Corsa Della Bora,S1 Ipertrail,TRIESTE,Italy,165.2,6640.0,-6640.0,6.0
493,S1 Trail La Corsa Della Bora,S1 Ipertrail Team,TRIESTE,Italy,165.2,6640.0,-6640.0,6.0
494,UTSZ Trail Races,100Miles,shenzhen,China,162.4,7230.0,-7200.0,16.0
495,Prazska Stovka - Prague Ultra Trail,170 Km,Praha,Czech Republic,168.6,4720.0,-4830.0,8.0
496,The Hitchcock Experience,100 Mile,HoneyCreek,United States,169.2,5470.0,-5430.0,21.0
497,Ultra-Trail® Panoramic,100Miles,AmphurMuang,Thailand,162.9,7130.0,-6970.0,10.0
498,Eco Madeira Ultra Marathon,Eco Madeira Ultra Marathon,CâmaradeLobos,Portugal,164.9,7130.0,-7130.0,11.0
499,HK168,Full 168,TaiMeiTuk,"Hong Kong, China",161.5,7880.0,-7870.0,14.0
500,Wicklow Way 50 Miles,100 Miles,Wicklow,Ireland,160.8,5490.0,-5480.0,4.0
501,Alpine Challenge,100 Mile Individual,BerrysCreek,Australia,155.3,6420.0,-6420.0,4.0
502,Best of San Diego 100 Miler,100 Miler,SanDiego,United States,163.0,2360.0,-2360.0,13.0
503,Ultra-Trail® Three Gorges,172 Km,Yichang,China,174.1,10200.0,-10070.0,17.0
504,AITUYE Shenzhen Costline 168 International Trail,168KM,Shenzhen,China,161.9,5840.0,-5830.0,17.0
505,Feral Pig Ultra,Feral Pig 100 Mile,Mundaring,Australia,162.8,3300.0,-3420.0,15.0
506,Oman Desert Marathon,Oman Desert Marathon,Bidiyah,Oman,167.0,3260.0,-3610.0,14.0
507,PINHOTI 100,100 MILES,Sylacauga,United States,161.9,4930.0,-5060.0,0.0
508,Kullamannen,100 miles,Kullaberg,Sweden,157.4,2900.0,-2930.0,14.0
509,White Rose Ultra,100 Mile,Huddersfield,United Kingdom,162.2,3870.0,-4050.0,5.0
510,Javelina Jundred,100 Miles,FortMcDowell,United States,159.4,1760.0,-1760.0,26.0
511,Indomit costa esmeralda ultra-trail®,100 MILLES,Gramado,Brazil,160.9,4440.0,-4440.0,12.0
512,Bèrghem Ultra Trail,Bèrghem Ultra100M Stenfjellet,Hamar,Norway,162.0,2940.0,-2940.0,1.0
513,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,161.8,2120.0,-2120.0,14.0
514,Autumn Asylum,March Extended,Rajamäki,Finland,168.2,1360.0,-1360.0,1.0
515,Dalmacija Ultra-Trail®,Sky Dut,Omiš,Croatia,155.3,6720.0,-6740.0,13.0
516,Rodopi Ultra Trail,Rodopi Advendurun,Haidou,Greece,162.1,6590.0,-6580.0,6.0
517,Grand Raid De La Réunion,La Diagonale Des Fous,SaintDenis,France,164.9,10000.0,-9960.0,18.0
518,Hume And Hovell Ultra,100 Mile,Tumbarumba,Australia,160.0,3990.0,-3990.0,10.0
519,The North Face Endurance Challenge Chile,160 Km,Huechuraba,Chile,159.5,7890.0,-8020.0,16.0
520,Bhatti Lakes Ultra,160 Km,Faridabad,India,161.1,1110.0,-1110.0,0.0
521,Virgin Forest Trail,Ultra-Trail®,PARANESTI,Greece,166.4,7540.0,-7530.0,15.0
522,Crimea X Run,Stage Race,Yalta,Ukraine,159.3,9430.0,-9400.0,12.0
523,OSJ Koumi,100 Miles,KoumiTown,Japan,170.9,7720.0,-7720.0,4.0
524,Bromont Ultra,160km,Bromont,Canada,162.2,5880.0,-5870.0,17.0
525,Cloudsplitter 100,100 Mile,Norton,United States,165.2,5300.0,-5300.0,21.0
526,100 Miles Sud De France,100 Miles,bolquere,France,166.1,8060.0,-9800.0,15.0
527,EstrelAçor Ultra Endurance,EstrelAçor 180km,PenhasdaSaúde,Portugal,174.9,7930.0,-7930.0,15.0
528,Grindstone 100,Grindstone 100,Swoope,United States,159.6,6980.0,-6980.0,15.0
529,Szlak Orlich Gniazd - Ultra,Szlak Orlich Gniazd - Ultra,KwasniówDolny,Poland,161.8,2780.0,-2760.0,7.0
530,NERANG 100 miler 2017,NERANG 100 miler,Nerang,Australia,161.5,5710.0,-5710.0,6.0
531,BEAR 100,BEAR 100,Smithfield,United States,163.4,6380.0,-6050.0,13.0
532,Cotswold Way Century,100 Miles,ChippingCampden,United Kingdom,166.7,4210.0,-4370.0,10.0
533,Mountain Lakes 100,Mountain Lakes 100,OlallieLake,United States,155.9,3570.0,-3570.0,14.0
534,Waterous Trail On Foot,WTF 100,Dwellingup,Australia,161.9,3210.0,-3210.0,9.0
535,Karkloof100,Karkloof100,Howick,South Africa,156.6,3440.0,-3440.0,9.0
536,Black River Run,100 Miles,Västerås,Sweden,161.0,1090.0,-1090.0,9.0
537,Mark Twain Endurance Runs,100 Mile,Berryman,United States,161.8,2300.0,-2300.0,5.0
538,Mogollon Monster 100,MOGOLLON MONSTER 100,Pine,United States,162.8,5500.0,-5500.0,13.0
539,THE GREAT NORTH WALK 100S,100 MILES,Patonga,Australia,170.6,5520.0,-5520.0,6.0
540,Superior Fall Trail Race,100 Mile,Lutsen,United States,168.0,5200.0,-5060.0,13.0
541,SwissPeaks Trail,170K Valais*Wallis,LeBouveret,Switzerland,171.0,10560.0,-12530.0,12.0
542,Ultra Tour Monte Rosa,4 Stage Race 170 km,Grächen,Switzerland,161.0,12250.0,-12250.0,11.0
543,Vadrózsa 50,Vadrózsa 160,Rózsaszentmárton,Hungary,159.6,6340.0,-6350.0,17.0
544,Ultra Tour Monte Rosa,Ultra Tour 170 (GG),Grächen,Switzerland,163.8,11030.0,-11010.0,15.0
545,Ultra Trail Mt. Bogda,168km,Fukang,China,161.8,8400.0,-8400.0,15.0
546,UTMB®,UTMB®,Chamonix,France,168.6,9980.0,-9980.0,16.0
547,Kodiak Ultra Marathons,Kodiak 100 Mi,BigBearLake,United States,163.1,5150.0,-5140.0,16.0
548,Persenk Ultra,PERSENK ULTRA,Asenovgrad,Bulgaria,157.0,7100.0,-7120.0,13.0
549,Ultra Tour Des 4 Massifs,Ut4M160 Xtrem,Grenoble,France,171.3,11390.0,-11390.0,15.0
550,Chongli100 Ultra Sky Trail Challenge,168 Km,chongji,China,165.4,7370.0,-7370.0,12.0
551,Force 12 Events,Beacons 100,Brecon,United Kingdom,162.6,6730.0,-6730.0,5.0
552,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,170.2,3490.0,-3520.0,14.0
553,Silverheels Endurance Run,100 Mile,Fairplay,United States,168.2,5470.0,-5470.0,22.0
554,Ouray 100 Mile Endurance Run,100 Mile,Ouray,United States,167.2,11420.0,-11420.0,15.0
555,Burning River Endurance Run,100 Mile,Hudson,United States,164.6,2610.0,-2530.0,14.0
556,Garmin Runfire Salt Lake Ultra Trail,Ultra Trail,ulukisla,Turkey,161.4,610.0,-610.0,18.0
557,High Lonesome 100,100M,Nathrop,United States,160.2,7710.0,-7720.0,12.0
558,Montreux Trail Festival,MXtreme 160,Savigny,Switzerland,162.6,11530.0,-11520.0,15.0
559,YOU YANGS Hardcore 100Miler,100 MI,LittleRiver,Australia,164.2,3280.0,-3280.0,2.0
560,OSJ Ontake 100,100 Miles,Otaki,Japan,155.7,5270.0,-5280.0,6.0
561,Tahoe Rim Trail Endurance Run,100 Mile,Carsoncity,United States,160.4,6140.0,-6140.0,0.0
562,Vermont 100 Endurance Race,100M,WestWindsor,United States,157.5,4860.0,-4870.0,19.0
563,Columbia 168 Ultra-Trail® Challenge Chongli,168km,Chongli,China,168.9,7340.0,-7330.0,16.0
564,Sinister 7 Ultra,Solo,Blairmore,Canada,159.5,5770.0,-5790.0,15.0
565,The GAX 100 Miles,The GAX 100 Miles,Ystad,Sweden,161.2,1640.0,-1640.0,3.0
566,Andorra Ultra Trail Vallnord,Ronda dels cims,Ordino,Andorra,170.0,13500.0,-13500.0,0.0
567,Ehunmilak Ultra-Trail®,Ehunmilak Ultra-Trail®,Beasain,Spain,170.7,10160.0,-10160.0,15.0
568,Aktivitus Trailrace,Ultra-Trail®,Jonsered,Sweden,160.4,2620.0,-2620.0,8.0
569,Ultra-Trail® du Mont-Albert,Grande Traversée Ultra-Trail®,Sainte-Anne-des-Monts,Canada,167.3,7340.0,-7170.0,14.0
570,100 Mile Spa,100 Mile Spa,Spa,Belgium,156.9,3820.0,-3870.0,5.0
571,MONTANE® Spine® Summer Races,Flare,Edale,United Kingdom,174.8,4200.0,-4200.0,6.0
572,Western States Endurance Run,Western States Endurance Run,Auburn,United States,161.6,5370.0,-6890.0,21.0
573,South Wales 100,South Wales 100,Cardiff,United Kingdom,165.9,6270.0,-6280.0,11.0
574,Ultra Coahuila,100M,Arteaga,Mexico,160.0,6090.0,-6090.0,12.0
575,Ultra-Trail® Gaspesia 100,100 miles,Percé,Canada,158.4,3860.0,-3970.0,21.0
576,XTRAIL 100,Xtrail Kanas 168km Trail Run,Burjin,China,165.5,5950.0,-5950.0,10.0
577,Bighorn Trail Run,100M,Sheridan,United States,167.3,6740.0,-6800.0,7.0
578,Bryce Canyon,100 Mile,Hatch,United States,159.4,4800.0,-4800.0,13.0
579,Festiwal Biegu Rzeznika,Bieg Rzeznika Ultra 160K,Cisna,Poland,159.8,5250.0,-5250.0,12.0
580,Centurion South Downs Way 100,Centurion South Downs Way 100,Worthing,United Kingdom,156.7,3400.0,-3460.0,14.0
581,SAN DIEGO 100,San Diego 100,Oceanside,United States,158.0,4020.0,-4030.0,15.0
582,Kettle Moraine 100,100 Mile,LaGrange,United States,161.1,2570.0,-2570.0,12.0
583,The Arctic Triple Lofoten Ultra-Trail®,100 Miles,SVOLVÆR,Norway,165.6,6680.0,-6690.0,10.0
584,5th Elton Volgabus Ultra-Trail®,Ultimate 100 miles,Eltonvillage,Russia,163.6,250.0,-250.0,8.0
585,Soria Moria til Verdens Ende,Soria Moria til Verdens Ende,VerdensEnde,Norway,168.1,3350.0,-3840.0,3.0
586,Sulphur Springs Trail Run,100 MILES,Ancaster,Canada,161.0,3220.0,-3220.0,0.0
587,Chicamocha Canyon Race,164 Km,SanGil,Colombia,165.5,8560.0,-8560.0,14.0
588,NUTS Karhunkierros,160k,Kuusamo,Finland,163.2,3650.0,-3640.0,7.0
589,Trainic-World in Sainokuni,100mile,Ogose,Japan,166.3,9670.0,-9670.0,16.0
590,Hardcore Hundred Miles Trail Ultramarathon,Hardcore Hundred Miles Trail Ultramarathon,Kayapa,Philippines,163.7,11840.0,-11860.0,11.0
591,Ultra-Trail® Malopolska,UTM 170,KasinkaMala,Poland,173.8,8450.0,-8450.0,11.0
592,Cruel Jewel,Cruel Jewel 100,Blairsville,United States,174.2,8660.0,-8650.0,11.0
593,Penang Eco 100,100 miles,BukitMertajam,Malaysia,164.6,4080.0,-4080.0,15.0
594,Salomon Hammer Trail,100 Miles,allinge,Denmark,161.5,5840.0,-5840.0,12.0
595,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,160.7,1880.0,-1850.0,13.0
596,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,160.3,1780.0,-1780.0,13.0
597,Mustang Trail Race,Mustang Trail Race,Kathmandu,Nepal,164.8,8660.0,-7980.0,8.0
598,100 Miles Of Istria,100 Miles,Umag,Croatia,170.4,7100.0,-7390.0,12.0
599,Zion,100 Mile,Virgin,United States,161.1,3800.0,-3800.0,15.0
600,Zumbro Endurance Run,Zumbro 100 Mile Endurance Run,Theilman,United States,159.7,4250.0,-4250.0,22.0
601,Ultra Fiord,100 Miles,PuertoNatales,Chile,166.3,5400.0,-5480.0,14.0
602,Badger Mountain Challenge,100 Mile,Kennewick,United States,156.7,4760.0,-4750.0,15.0
603,Northburn 100 Miler,100 Mile,Cromwell,New Zealand,162.5,10020.0,-10020.0,12.0
604,Addo Elephant Trail Run,100 Mile,Addo,South Africa,161.2,5640.0,-5170.0,16.0
605,ULTRA-TRAIL® SIERRAS DEL BANDOLERO,ULTRA-TRAIL® SIERRAS DEL BANDOLERO,PradodelRey,Spain,163.4,6640.0,-6640.0,14.0
606,La Mision,160 Km,SanMartíndelosAndes,Argentina,162.5,6480.0,-6480.0,1.0
607,La Mision,160 km Equipos,SanMartíndelosAndes,Argentina,163.9,6810.0,-6800.0,2.0
608,Arctic Ultra,100 Miles,Arvika,Sweden,159.6,2780.0,-2780.0,14.0
609,Run The Rann,RTR 161 Km,Dholavira,India,159.0,2230.0,-2220.0,10.0
610,Run of Kutch,160 Km,Bangalore,India,169.5,110.0,-110.0,12.0
611,Rocky Raccoon,100 Mile,Huntsville,United States,158.6,1970.0,-1970.0,19.0
