id,event,race,city,country,distance,elevation_gain,elevation_loss,aid_stations
156,HOKA ONE ONE Rocky Raccoon,100 Mile,Huntsville,United States,163.1,2260.0,-2260.0,19.0
157,LE DERNIER HOMME DEBOUT MORVAN,24 Boucles,Chateau-Chinon,France,169.9,5740.0,-5740.0,1.0
158,Coldwater Rumble,100 Miles,Goodyear,United States,161.8,2660.0,-2670.0,16.0
159,MONTANE® Spine® Races,MONTANE® Spine® Challenger,Edale,United Kingdom,174.2,4770.0,-4770.0,4.0
160,MONTANE® Spine® Races,MRT Challenge,Edale,United Kingdom,174.2,4770.0,-4770.0,4.0
161,S1 Trail La Corsa Della Bora,Ultra,TRIESTE,Italy,166.3,6750.0,-7110.0,9.0
162,GOLDEN 100 HONG KONG,100Miles,HongKong,"Hong Kong, China",163.0,9180.0,-9130.0,16.0
163,UTSZ Trail Races,100Miles,shenzhen,China,166.6,8110.0,-8120.0,16.0
164,Mad Fox Ultra Revenge,Valhalla Race,PereslavlZalesskiy,Russia,156.2,1650.0,-1650.0,10.0
165,La Misión  - VLA - Argentina,La Misión 160 VLA -,VillalaAngostura,Argentina,163.3,7240.0,-7240.0,1.0
166,Brazos Bend 100,100M,Needville,United States,162.3,2730.0,-2720.0,6.0
167,Falls 100 Ultra Trail Race,100 Mile,FallsofRough,United States,162.5,4230.0,-4230.0,41.0
168,Exodus Ultra Marathon,Exodus,Llanfechain,United Kingdom,170.0,6550.0,-6540.0,3.0
169,Sky Ultra Pico Mx,Sky Ultra Pico Mx 100M,ORIZABA,Mexico,159.6,8270.0,-8240.0,16.0
170,Ultra-Trail® Panoramic,100Miles,AmphurMuang,Thailand,157.0,6040.0,-6050.0,15.0
171,HK168,Full168,TaiMeiTuk,"Hong Kong, China",168.8,10400.0,-10400.0,14.0
172,Oman by UTMB,170km,Muscat,Oman,170.9,10570.0,-10490.0,25.0
173,Ultra Trail Three Gorges,UTTG,Yichang,China,172.8,10410.0,-10230.0,13.0
174,Alpine Challenge,100 Mile Individual,BerrysCreek,Australia,155.3,6450.0,-6450.0,4.0
175,Best of San Diego 100 Miler,100 Miler,SanDiego,United States,161.6,2560.0,-2520.0,5.0
176,Oman Desert Marathon,Oman Desert Marathon,Bidiyah,Oman,163.0,3120.0,-3590.0,13.0
177,Pong Yaeng Trail,Pong Yaeng Trail 166,ChiangMai,Thailand,172.2,8000.0,-8000.0,14.0
178,Tunnel Hill  100 & 50 mile runs,100mi,Vienna,United States,161.4,1540.0,-1540.0,21.0
179,Bhatti Lakes Ultra,160 Km,Faridabad,India,160.7,960.0,-960.0,0.0
180,Pinhoti 100,Pinhoti 100,Sylacauga,United States,155.0,4060.0,-4180.0,17.0
181,Bromo Tengger Semeru 100 Ultra,BTS 170K,Bogor,Indonesia,169.5,7540.0,-7540.0,15.0
182,Kullamannen,Kullamannen Ultra 100 Miles,Kullaberg,Sweden,174.4,4260.0,-4240.0,11.0
183,Cactus Rose,100 Mile,Bandera,United States,162.4,3500.0,-3500.0,20.0
184,Halloween hike,160 km,Kannonkoski,Finland,159.0,2130.0,-2130.0,4.0
185,Javelina Jundred,100 Miles,FortMcDowell,United States,160.5,1720.0,-1720.0,26.0
186,GRAN VUELTA VALLE DEL GENAL,100 millas Valle del Genal,BENARRABA,Spain,162.0,7400.0,-7400.0,20.0
187,Around The Valley - Sovev Emek,166km,ainhasofet,Israel,164.2,3380.0,-3390.0,18.0
188,Jordan Running Adventure Race,165 km non stop,WadiRum,Jordan,165.2,2790.0,-2560.0,0.0
189,Shanhaiguan Trail Race,168K,qinhuangdao,China,160.2,9470.0,-9230.0,14.0
190,Mines of Spain,100 Mile,Davenport,United States,169.0,4330.0,-4330.0,19.0
191,Rodopi Ultra Trail,Rodopi Advendurun,Haidou,Greece,162.9,6910.0,-6910.0,6.0
192,Le Grand Raid De La Réunion,La Diagonale Des Fous,SaintDenis,France,168.1,9610.0,-9560.0,15.0
193,Crimea X Run,Stage Race,Yalta,Ukraine,169.1,8310.0,-8140.0,11.0
194,Ultra Trails Lake Tahoe,100 Mile,Truckee,United States,159.2,6590.0,-6590.0,20.0
195,Bromont Ultra,160km,Bromont,Canada,155.6,6220.0,-6220.0,17.0
196,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,161.5,2060.0,-2060.0,14.0
197,Cloudsplitter 100,100 Mile,Norton,United States,160.7,5660.0,-5660.0,16.0
198,Hume And Hovell Ultra,100 Mile,Tumbarumba,Australia,163.1,4610.0,-4600.0,10.0
199,INDIANA TRAIL 100,100 mi,Albion,United States,162.4,3480.0,-3460.0,5.0
200,Markotkh - R,100 miles - Solo,Novorossiysk,Russia,162.7,6910.0,-6910.0,34.0
201,Midstate Massive Ultra Trail,Midstate Massive Ultra Trail,NewIpswitch,United States,162.4,3720.0,-3970.0,16.0
202,Snowdon Ultra,Snowdon Ultra 100,BetwsyCoed,United Kingdom,163.5,7600.0,-7600.0,13.0
203,The Cederberg Traverse,100 Mile,Cederberg,South Africa,163.0,6500.0,-6500.0,5.0
204,The North Face Endurance Challenge Chile,160 Km,Huechuraba,Chile,163.9,8220.0,-9860.0,16.0
205,ULTRA DE ULTRAS,170 Km ULTRA DE ULTRAS,CUNDINAMARCA,Colombia,170.0,9910.0,-9910.0,14.0
206,Virgin Forest Trail,Ultra-Trail®,PARANESTI,Greece,163.9,7260.0,-7260.0,15.0
207,100 Miles Sud De France,100 Miles,bolquere,France,172.5,8420.0,-10160.0,15.0
208,Grindstone 100,Grindstone 100,Swoope,United States,159.6,6980.0,-6980.0,15.0
209,MesaStila 100,170 Km,Magelang,Indonesia,167.9,9590.0,-9590.0,11.0
210,SLO100,SLO100 KRPAN 171 km,Cerknica,Slovenia,173.5,7790.0,-7790.0,11.0
211,Szlak Orlich Gniazd - Ultra,Szlak Orlich Gniazd - Ultra,KwasniówDolny,Poland,161.3,2710.0,-2690.0,7.0
212,Ultra-Trail el Rincon,UTR 170K,Castielfabib,Spain,172.1,6730.0,-6720.0,15.0
213,Waterous Trail On Foot,WTF 100,Dwellingup,Australia,163.0,3960.0,-3960.0,7.0
